institution,counter
Middle East Technical University,1
University of Western Australia,1
Commonwealth Scientific and Industrial Research Organisation,1
University of Electronic Science and Technology of China,1
Indiana University,1
Yonsei University,1
French Institute for Research in Computer Science and Automation,2
École Normale Supérieure,2
Graz University of Technology,4
Google,4
York University,4
University of Oxford,5
City University of Hong Kong,1
University of Science and Technology of China,1
Newcastle University,2
"University of California, Merced",2
Carnegie Mellon University,4
University of East Anglia,2
ETH Zurich,1
"University of Technology, Sydney",2
Facebook,2
Australian National University,1
Mitsubishi Electric Research Laboratories,1
The Chinese University of Hong Kong,2
University of Sydney,1
SenseTime,2
Zhejiang University,1
Georgia Institute of Technology,2
University of Wisconsin-Madison,1
University of York,1
University of Barcelona,1
Georgia Tech Research Institute,1
Jilin University,2
National Technical University of Athens,1
Tencent,1
South China University of Technology,1
