number,name
1,"('Facebook', 5)&('Carnegie Mellon University', 2)&('University of Technology, Sydney', 2)"
2,"('ETH Zurich', 1)"
3,"('University of California, Merced', 2)&('Newcastle University', 2)&('Carnegie Mellon University', 2)&('University of East Anglia', 1)"
4,"('The Chinese University of Hong Kong', 3)&('Tencent', 2)&('South China University of Technology', 1)&('University of Oxford', 1)"
5,"('École Normale Supérieure', 2)&('French Institute for Research in Computer Science and Automation', 1)"
6,"('University of Oxford', 2)&('Graz University of Technology', 2)&('York University', 1)&('Google', 1)"
7,
8,"('City University of Hong Kong', 1)&('University of Science and Technology of China', 1)"
9,"('University of Sydney', 2)&('The Chinese University of Hong Kong', 1)&('SenseTime', 1)"
10,"('SenseTime', 4)&('Zhejiang University', 1)"
11,"('Georgia Institute of Technology', 3)&('University of Wisconsin-Madison', 1)"
12,"('University of Electronic Science and Technology of China', 1)"
13,"('Yonsei University', 4)"
14,
15,"('Georgia Institute of Technology', 3)&('Georgia Tech Research Institute', 1)"
16,"('Middle East Technical University', 3)"
17,"('University of Western Australia', 2)&('Commonwealth Scientific and Industrial Research Organisation', 1)"
18,"('University of Barcelona', 1)"
19,"('Jilin University', 3)"
20,"('Indiana University', 2)"
21,"('Mitsubishi Electric Research Laboratories', 1)&('Australian National University', 1)"
22,"('University of York', 2)"
23,"('National Technical University of Athens', 2)"
