"author","community"
"Miao Liu",11
"Xin Chen",11
"Yun Zhang",11
"Yin Li",11
"James M. Rehg",11
"Jongkwang Hong",13
"Bora Cho",13
"Yong Won Hong",13
"Hyeran Byun",13
"Jue Wang",21
"Anoop Cherian",21
"Christoph Feichtenhofer",6
"Axel Pinz",6
"Andrew Zisserman",6
"Jingran Zhang",12
"Fumin Shen",12
"Xing Xu",12
"Heng Tao Shen",12
"Rohit Girdhar",1
"Du Tran",1
"Lorenzo Torresani",1
"Deva Ramanan",1
"Linchao Zhu",1
"Du Tran",1
"Laura Sevilla-Lara",1
"Yi Yang",1
"Matt Feiszli",1
"Heng Wang",1
"Lei Wang",17
"Piotr Koniusz",17
"Du Q. Huynh",17
"Yi Zhu",3
"Zhenzhong Lan",3
"Shawn Newsam",3
"Alexander G. Hauptmann",3
"Swathikiran Sudhakaran",18
"Sergio Escalera",18
"Oswald Lanz",18
"Ali Diba",2
"Mohsen Fayyaz",2
"Vivek Sharma",2
"Manohar Paluri",2
"Jürgen Gall",2
"Rainer Stiefelhagen",2
"Luc Van Gool",2
"M. Esat Kalfaoglu",16
"Sinan Kalkan",16
"A. Aydin Alatan",16
"Zhaofan Qiu",8
"Ting Yao",8
"Chong-Wah Ngo",8
"Xinmei Tian",8
"Tao Mei",8
"Guoxi Huang",22
"Adrian G. Bors",22
"Gül Varol",5
"Ivan Laptev",5
"Cordelia Schmid",5
"Nieves Crasto",5
"Philippe Weinzaepfel",5
"Karteek Alahari",5
"Cordelia Schmid",5
"Heeseung Kwon",14
"Manjin Kim",14
"Suha Kwak",14
"Minsu Cho",14
"Haodong Duan",7
"Yue Zhao",7
"Yuanjun Xiong",7
"Wentao Liu",7
"Dahua Lin",7
"Shuyang Sun",9
"Zhanghui Kuang",9
"Lu Sheng",9
"Wanli Ouyang",9
"Wei Zhang",9
"Joao Carreira",6
"Andrew Zisserman",6
"Quanle Liu",19
"Xiangjiu Che",19
"Mei Bie",19
"Quanle Liu",19
"Xiangjiu Che",19
"Mei Bie",19
"AJ Piergiovanni",20
"Michael S. Ryoo",20
"Jiangliu Wang",4
"Jianbo Jiao",4
"Linchao Bao",4
"Shengfeng He",4
"Yunhui Liu",4
"Yun-Hui Liu",4
"Wei Liu",4
"Christoph Feichtenhofer",6
"Axel Pinz",6
"Richard P. Wildes",6
"Boyuan Jiang",10
"Mengmeng Wang",10
"Weihao Gan",10
"Wei Wu",10
"Junjie Yan",10
"Petros Koutras",23
"Petros Maragos",23
"Yi Zhu",3
"Yang Long",3
"Yu Guan",3
"Shawn Newsam",3
"Ling Shao",3
"Chih-Yao Ma",15
"Min-Hung Chen",15
"Zsolt Kira",15
"Ghassan AlRegib",15
"Karen Simonyan",6
"Andrew Zisserman",6
