"title","authors","affiliations","paper_date","metric","year"
"Late Temporal Modeling in 3D CNN Architectures with BERT for Action Recognition@@@R2+1D-BERT","M. Esat Kalfaoglu","Middle East Technical University",2020-08-03,"85.10",2020
"Late Temporal Modeling in 3D CNN Architectures with BERT for Action Recognition@@@R2+1D-BERT","Sinan Kalkan","Middle East Technical University",2020-08-03,"85.10",2020
"Late Temporal Modeling in 3D CNN Architectures with BERT for Action Recognition@@@R2+1D-BERT","A. Aydin Alatan","Middle East Technical University",2020-08-03,"85.10",2020
"Omni-sourced Webly-supervised Learning for Video Recognition@@@OmniSource (SlowOnly-8x8-R101-RGB + I3D Flow)","Haodong Duan","",2020-03-29,"83.8",2020
"Omni-sourced Webly-supervised Learning for Video Recognition@@@OmniSource (SlowOnly-8x8-R101-RGB + I3D Flow)","Yue Zhao","",2020-03-29,"83.8",2020
"Omni-sourced Webly-supervised Learning for Video Recognition@@@OmniSource (SlowOnly-8x8-R101-RGB + I3D Flow)","Yuanjun Xiong","",2020-03-29,"83.8",2020
"Omni-sourced Webly-supervised Learning for Video Recognition@@@OmniSource (SlowOnly-8x8-R101-RGB + I3D Flow)","Wentao Liu","",2020-03-29,"83.8",2020
"Omni-sourced Webly-supervised Learning for Video Recognition@@@OmniSource (SlowOnly-8x8-R101-RGB + I3D Flow)","Dahua Lin","",2020-03-29,"83.8",2020
"@@@BubbleNET","","",NA,"82.60",NA
"Hallucinating IDT Descriptors and I3D Optical Flow Features for Action Recognition with CNNs@@@HAF+BoW/FV halluc","Lei Wang","University of Western Australia",2019-06-13,"82.48",2019
"Hallucinating IDT Descriptors and I3D Optical Flow Features for Action Recognition with CNNs@@@HAF+BoW/FV halluc","Piotr Koniusz","Commonwealth Scientific and Industrial Research Organisation",2019-06-13,"82.48",2019
"Hallucinating IDT Descriptors and I3D Optical Flow Features for Action Recognition with CNNs@@@HAF+BoW/FV halluc","Du Q. Huynh","University of Western Australia",2019-06-13,"82.48",2019
"Cooperative Cross-Stream Network for Discriminative Action Representation@@@CCS + TSN (ImageNet+Kinetics pretrained)","Jingran Zhang","",2019-08-27,"81.9",2019
"Cooperative Cross-Stream Network for Discriminative Action Representation@@@CCS + TSN (ImageNet+Kinetics pretrained)","Fumin Shen","",2019-08-27,"81.9",2019
