institution,counter
Middle East Technical University,1
City University of Hong Kong,2
Microsoft,3
University of Science and Technology of China,2
Graz University of Technology,4
Google,6
University of Oxford,5
French Institute for Research in Computer Science and Automation,5
École Normale Supérieure,5
ETH Zurich,1
University of Electronic Science and Technology of China,1
Yonsei University,1
Newcastle University,2
"University of California, Merced",2
Carnegie Mellon University,3
University of East Anglia,2
Peking University,1
Huawei,1
Zhejiang University,1
SenseTime,2
Facebook,2
National University of Singapore,1
The Chinese University of Hong Kong,2
University of Sydney,1
Georgia Institute of Technology,2
University of Wisconsin-Madison,1
University of York,1
National Institute of Advanced Industrial Science and Technology,1
Jilin University,2
Tianjin University,1
Chinese Academy of Sciences,1
Georgia Tech Research Institute,1
University of Amsterdam,1
"University of Maryland, College Park",2
University of Texas at Austin,2
Stanford University,2
Intel,3
Technische Universität München,3
Tencent,1
South China University of Technology,1
