number,name
1,"('Stanford University', 6)&('Google', 3)&('University of Texas at Austin', 1)&('University of Maryland, College Park', 1)"
2,
3,"('École Normale Supérieure', 2)&('French Institute for Research in Computer Science and Automation', 1)"
4,"('ETH Zurich', 1)"
5,"('The Chinese University of Hong Kong', 3)&('Tencent', 2)&('South China University of Technology', 1)&('University of Oxford', 1)"
6,"('University of California, Merced', 2)&('Newcastle University', 2)&('Carnegie Mellon University', 2)&('University of East Anglia', 1)"
7,"('Microsoft', 3)&('Tianjin University', 2)&('Chinese Academy of Sciences', 1)"
8,"('Microsoft', 2)&('City University of Hong Kong', 1)&('University of Science and Technology of China', 1)"
9,"('SenseTime', 4)&('Zhejiang University', 1)"
10,"('National University of Singapore', 4)&('Facebook', 1)"
11,"('University of Sydney', 2)&('The Chinese University of Hong Kong', 1)&('SenseTime', 1)"
12,"('Georgia Institute of Technology', 3)&('University of Wisconsin-Madison', 1)"
13,"('University of Oxford', 2)&('Graz University of Technology', 2)&('Google', 1)"
14,"('University of Electronic Science and Technology of China', 1)"
15,"('Yonsei University', 4)"
16,"('Peking University', 3)&('Huawei', 1)"
17,
18,"('Georgia Institute of Technology', 3)&('Georgia Tech Research Institute', 1)"
19,"('Carnegie Mellon University', 2)&('Facebook', 2)"
20,"('Technische Universität München', 3)&('Intel', 1)"
21,"('Middle East Technical University', 3)"
22,"('National Institute of Advanced Industrial Science and Technology', 3)"
23,"('Jilin University', 3)"
24,
25,"('University of York', 2)"
26,"('University of Amsterdam', 2)"
27,
