"communities","year","papers","results","authors","SOTA"
"1",2014,1,1,6,1
"1",2015,1,1,6,1
"10",2018,1,1,5,1
"11",2017,1,1,5,1
"12",2019,1,1,5,1
"13",2014,1,1,2,1
"13",2016,1,1,3,1
"13",2017,2,2,2,1
"14",2019,1,1,4,1
"15",2019,1,1,4,1
"16",2019,1,1,4,1
"17",2019,1,1,4,1
"18",2017,1,1,4,1
"19",2019,1,1,4,1
"2",2014,1,1,4,1
"2",2015,1,1,4,1
"2",2020,1,1,5,1
"2+3",2016,1,1,2,1
"20",2019,3,3,4,1
"21",2020,1,1,3,1
"22",2017,1,1,3,1
"23",2019,2,2,3,1
"24",2012,1,1,3,1
"25",2020,1,1,2,1
"26",2019,1,1,2,1
"27",2019,1,1,2,1
"3",2016,1,1,3,1
"3",2018,1,1,4,NA
"3",2019,2,2,4,1
"4",2019,1,1,7,1
"5",2019,1,1,7,1
"6",2017,1,1,4,1
"6",2018,1,1,5,NA
"7",2018,1,1,6,1
"8",2017,1,1,3,1
"8",2019,1,1,5,1
"9",2019,1,1,5,1
