"author","community"
"Miao Liu","12"
"Xin Chen","12"
"Yun Zhang","12"
"Yin Li","12"
"James M. Rehg","12"
"Xiaojiang Peng","2"
"Limin Wang","2"
"Xingxing Wang","2"
"Yu Qiao","2"
"Joe Yue-Hei Ng","1"
"Matthew Hausknecht","1"
"Sudheendra Vijayanarasimhan","1"
"Oriol Vinyals","1"
"Rajat Monga","1"
"George Toderici","1"
"Kensho Hara","22"
"Hirokatsu Kataoka","22"
"Yutaka Satoh","22"
"Jongkwang Hong","15"
"Bora Cho","15"
"Yong Won Hong","15"
"Hyeran Byun","15"
"Christoph Feichtenhofer","13"
"Axel Pinz","13"
"Andrew Zisserman","13"
"Jingran Zhang","14"
"Fumin Shen","14"
"Xing Xu","14"
"Heng Tao Shen","14"
"Jiaojiao Zhao","26"
"Cees G. M. Snoek","26"
"Rohit Girdhar","19"
"Du Tran","19"
"Lorenzo Torresani","19"
"Deva Ramanan","19"
"Yi Zhu","6"
"Zhenzhong Lan","6"
"Shawn Newsam","6"
"Alexander G. Hauptmann","6"
"Xianyuan Wang","17"
"Zhenjiang Miao","17"
"Ruyi Zhang","17"
"Shanshan Hao","17"
"Andrej Karpathy","1"
"George Toderici","1"
"Sanketh Shetty","1"
"Thomas Leung","1"
"Rahul Sukthankar","1"
"Li Fei-Fei","1"
"Ali Diba","4"
"Mohsen Fayyaz","4"
"Vivek Sharma","4"
"Manohar Paluri","4"
"Jürgen Gall","4"
"Rainer Stiefelhagen","4"
"Luc Van Gool","4"
"M. Esat Kalfaoglu","21"
"Sinan Kalkan","21"
"A. Aydin Alatan","21"
"Zhaofan Qiu","8"
"Ting Yao","8"
"Chong-Wah Ngo","8"
"Xinmei Tian","8"
"Tao Mei","8"
"Zhaofan Qiu","8"
"Ting Yao","8"
"Tao Mei","8"
"Guoxi Huang","25"
"Adrian G. Bors","25"
"Gül Varol","3"
"Ivan Laptev","3"
"Cordelia Schmid","3"
"Nieves Crasto","3"
"Philippe Weinzaepfel","3"
"Karteek Alahari","3"
"Cordelia Schmid","3"
"Nieves Crasto","3"
"Philippe Weinzaepfel","3"
"Karteek Alahari","3"
"Cordelia Schmid","3"
"Ahmed Mazari","27"
"Hichem Sahbi","27"
"Yunpeng Chen","10"
"Yannis Kalantidis","10"
"Jianshu Li","10"
"Shuicheng Yan","10"
"Jiashi Feng","10"
"Xiaojiang Peng","2+3"
"Cordelia Schmid","2+3"
"Haodong Duan","2"
"Yue Zhao","2"
"Yuanjun Xiong","2"
"Wentao Liu","2"
"Dahua Lin","2"
"Shuyang Sun","11"
"Zhanghui Kuang","11"
"Lu Sheng","11"
"Wanli Ouyang","11"
"Wei Zhang","11"
"Vasileios Choutas","3"
"Philippe Weinzaepfel","3"
"Jerome Revaud","3"
"Cordelia Schmid","3"
"Joao Carreira","13"
"Andrew Zisserman","13"
"Joao Carreira","13"
"Andrew Zisserman","13"
"Quanle Liu","23"
"Xiangjiu Che","23"
"Mei Bie","23"
"Quanle Liu","23"
"Xiangjiu Che","23"
"Mei Bie","23"
"Okan Köpüklü","20"
"Neslihan Kose","20"
"Ahmet Gunduz","20"
"Gerhard Rigoll","20"
"Okan Köpüklü","20"
"Neslihan Kose","20"
"Ahmet Gunduz","20"
"Gerhard Rigoll","20"
"Okan Köpüklü","20"
"Neslihan Kose","20"
"Ahmet Gunduz","20"
"Gerhard Rigoll","20"
"Jiangliu Wang","5"
"Jianbo Jiao","5"
"Linchao Bao","5"
"Shengfeng He","5"
"Yunhui Liu","5"
"Yun-Hui Liu","5"
"Wei Liu","5"
"Boyuan Jiang","9"
"Mengmeng Wang","9"
"Weihao Gan","9"
"Wei Wu","9"
"Junjie Yan","9"
"Xiaolin Song","7"
"Cuiling Lan","7"
"Wenjun Zeng","7"
"Junliang Xing","7"
"Xiaoyan Sun","7"
"Jingyu Yang","7"
"Limin Wang","2"
"Yuanjun Xiong","2"
"Zhe Wang","2"
"Yu Qiao","2"
"Yi Zhu","6"
"Yang Long","6"
"Yu Guan","6"
"Shawn Newsam","6"
"Ling Shao","6"
"Chih-Yao Ma","18"
"Min-Hung Chen","18"
"Zsolt Kira","18"
"Ghassan AlRegib","18"
"Karen Simonyan","13"
"Andrew Zisserman","13"
"Lu Chi","16"
"Guiyu Tian","16"
"Yadong Mu","16"
"Qi Tian","16"
"Khurram Soomro","24"
"Amir Roshan Zamir","24"
"Mubarak Shah","24"
