"title","authors","affiliations","paper_date","metric","year"
"Late Temporal Modeling in 3D CNN Architectures with BERT for Action Recognition@@@R2+1D-BERT","M. Esat Kalfaoglu","Middle East Technical University",2020-08-03,"98.69",2020
"Late Temporal Modeling in 3D CNN Architectures with BERT for Action Recognition@@@R2+1D-BERT","Sinan Kalkan","Middle East Technical University",2020-08-03,"98.69",2020
"Late Temporal Modeling in 3D CNN Architectures with BERT for Action Recognition@@@R2+1D-BERT","A. Aydin Alatan","Middle East Technical University",2020-08-03,"98.69",2020
"Omni-sourced Webly-supervised Learning for Video Recognition@@@OmniSource (SlowOnly-8x8-R101-RGB + I3D-Flow)","Haodong Duan","",2020-03-29,"98.6",2020
"Omni-sourced Webly-supervised Learning for Video Recognition@@@OmniSource (SlowOnly-8x8-R101-RGB + I3D-Flow)","Yue Zhao","",2020-03-29,"98.6",2020
"Omni-sourced Webly-supervised Learning for Video Recognition@@@OmniSource (SlowOnly-8x8-R101-RGB + I3D-Flow)","Yuanjun Xiong","",2020-03-29,"98.6",2020
"Omni-sourced Webly-supervised Learning for Video Recognition@@@OmniSource (SlowOnly-8x8-R101-RGB + I3D-Flow)","Wentao Liu","",2020-03-29,"98.6",2020
"Omni-sourced Webly-supervised Learning for Video Recognition@@@OmniSource (SlowOnly-8x8-R101-RGB + I3D-Flow)","Dahua Lin","",2020-03-29,"98.6",2020
"Learning Spatio-Temporal Representation with Local and Global Diffusion@@@LGD-3D Two-stream","Zhaofan Qiu","University of Science and Technology of China",2019-06-13,"98.2",2019
"Learning Spatio-Temporal Representation with Local and Global Diffusion@@@LGD-3D Two-stream","Ting Yao","",2019-06-13,"98.2",2019
"Learning Spatio-Temporal Representation with Local and Global Diffusion@@@LGD-3D Two-stream","Chong-Wah Ngo","City University of Hong Kong",2019-06-13,"98.2",2019
"Learning Spatio-Temporal Representation with Local and Global Diffusion@@@LGD-3D Two-stream","Xinmei Tian","",2019-06-13,"98.2",2019
"Learning Spatio-Temporal Representation with Local and Global Diffusion@@@LGD-3D Two-stream","Tao Mei","",2019-06-13,"98.2",2019
"Quo Vadis, Action Recognition? A New Model and the Kinetics Dataset@@@Two-stream I3D (on pre-trained)","Joao Carreira","Google",2017-05-22,"98.0",2017
"Quo Vadis, Action Recognition? A New Model and the Kinetics Dataset@@@Two-stream I3D (on pre-trained)","Andrew Zisserman","University of Oxford",2017-05-22,"98.0",2017
"MARS: Motion-Augmented RGB Stream for Action Recognition@@@MARS+RGB+Flow (64 frames, Kinetics pretrained)","Nieves Crasto","",2019-06-01,"97.8",2019
"MARS: Motion-Augmented RGB Stream for Action Recognition@@@MARS+RGB+Flow (64 frames, Kinetics pretrained)","Philippe Weinzaepfel","",2019-06-01,"97.8",2019
"MARS: Motion-Augmented RGB Stream for Action Recognition@@@MARS+RGB+Flow (64 frames, Kinetics pretrained)","Karteek Alahari","",2019-06-01,"97.8",2019
"MARS: Motion-Augmented RGB Stream for Action Recognition@@@MARS+RGB+Flow (64 frames, Kinetics pretrained)","Cordelia Schmid","",2019-06-01,"97.8",2019
"Large Scale Holistic Video Understanding@@@HATNet (32 frames)","Ali Diba","",2019-04-25,"97.8",2019
"Large Scale Holistic Video Understanding@@@HATNet (32 frames)","Mohsen Fayyaz","",2019-04-25,"97.8",2019
"Large Scale Holistic Video Understanding@@@HATNet (32 frames)","Vivek Sharma","",2019-04-25,"97.8",2019
"Large Scale Holistic Video Understanding@@@HATNet (32 frames)","Manohar Paluri","",2019-04-25,"97.8",2019
"Large Scale Holistic Video Understanding@@@HATNet (32 frames)","Jürgen Gall","ETH Zurich",2019-04-25,"97.8",2019
"Large Scale Holistic Video Understanding@@@HATNet (32 frames)","Rainer Stiefelhagen","",2019-04-25,"97.8",2019
"Large Scale Holistic Video Understanding@@@HATNet (32 frames)","Luc Van Gool","",2019-04-25,"97.8",2019
"Cooperative Cross-Stream Network for Discriminative Action Representation@@@CCS + TSN (ImageNet+Kinetics pretrained)","Jingran Zhang","",2019-08-27,"97.4",2019
"Cooperative Cross-Stream Network for Discriminative Action Representation@@@CCS + TSN (ImageNet+Kinetics pretrained)","Fumin Shen","",2019-08-27,"97.4",2019
"Cooperative Cross-Stream Network for Discriminative Action Representation@@@CCS + TSN (ImageNet+Kinetics pretrained)","Xing Xu","University of Electronic Science and Technology of China",2019-08-27,"97.4",2019
"Cooperative Cross-Stream Network for Discriminative Action Representation@@@CCS + TSN (ImageNet+Kinetics pretrained)","Heng Tao Shen","",2019-08-27,"97.4",2019
"Contextual Action Cues from Camera Sensor for Multi-Stream Action Recognition@@@Multi-stream I3D ","Jongkwang Hong","Yonsei University",2019-03-20,"97.2",2019
"Contextual Action Cues from Camera Sensor for Multi-Stream Action Recognition@@@Multi-stream I3D ","Bora Cho","Yonsei University",2019-03-20,"97.2",2019
"Contextual Action Cues from Camera Sensor for Multi-Stream Action Recognition@@@Multi-stream I3D ","Yong Won Hong","Yonsei University",2019-03-20,"97.2",2019
"Contextual Action Cues from Camera Sensor for Multi-Stream Action Recognition@@@Multi-stream I3D ","Hyeran Byun","Yonsei University",2019-03-20,"97.2",2019
"Hidden Two-Stream Convolutional Networks for Action Recognition@@@Hidden Two-Stream","Yi Zhu","University of California, Merced",2017-04-02,"97.1",2017
"Hidden Two-Stream Convolutional Networks for Action Recognition@@@Hidden Two-Stream","Zhenzhong Lan","Carnegie Mellon University",2017-04-02,"97.1",2017
"Hidden Two-Stream Convolutional Networks for Action Recognition@@@Hidden Two-Stream","Shawn Newsam","University of California, Merced",2017-04-02,"97.1",2017
"Hidden Two-Stream Convolutional Networks for Action Recognition@@@Hidden Two-Stream","Alexander G. Hauptmann","Carnegie Mellon University",2017-04-02,"97.1",2017
"Two-Stream Video Classification with Cross-Modality Attention@@@CMA iter1-S","Lu Chi","Peking University",2019-08-01,"96.5",2019
"Two-Stream Video Classification with Cross-Modality Attention@@@CMA iter1-S","Guiyu Tian","Peking University",2019-08-01,"96.5",2019
"Two-Stream Video Classification with Cross-Modality Attention@@@CMA iter1-S","Yadong Mu","Peking University",2019-08-01,"96.5",2019
"Two-Stream Video Classification with Cross-Modality Attention@@@CMA iter1-S","Qi Tian","Huawei",2019-08-01,"96.5",2019
"STM: SpatioTemporal and Motion Encoding for Action Recognition@@@STM (ImageNet+Kinetics pretrain)","Boyuan Jiang","Zhejiang University",2019-08-07,"96.2",2019
"STM: SpatioTemporal and Motion Encoding for Action Recognition@@@STM (ImageNet+Kinetics pretrain)","Mengmeng Wang","SenseTime",2019-08-07,"96.2",2019
"STM: SpatioTemporal and Motion Encoding for Action Recognition@@@STM (ImageNet+Kinetics pretrain)","Weihao Gan","SenseTime",2019-08-07,"96.2",2019
"STM: SpatioTemporal and Motion Encoding for Action Recognition@@@STM (ImageNet+Kinetics pretrain)","Wei Wu","SenseTime",2019-08-07,"96.2",2019
"STM: SpatioTemporal and Motion Encoding for Action Recognition@@@STM (ImageNet+Kinetics pretrain)","Junjie Yan","SenseTime",2019-08-07,"96.2",2019
"Multi-Fiber Networks for Video Recognition@@@MF-Net, RGB only (ImageNet+Kinetics pretrained)","Yunpeng Chen","National University of Singapore",2018-07-30,"96.0",2018
"Multi-Fiber Networks for Video Recognition@@@MF-Net, RGB only (ImageNet+Kinetics pretrained)","Yannis Kalantidis","Facebook",2018-07-30,"96.0",2018
"Multi-Fiber Networks for Video Recognition@@@MF-Net, RGB only (ImageNet+Kinetics pretrained)","Jianshu Li","National University of Singapore",2018-07-30,"96.0",2018
"Multi-Fiber Networks for Video Recognition@@@MF-Net, RGB only (ImageNet+Kinetics pretrained)","Shuicheng Yan","National University of Singapore",2018-07-30,"96.0",2018
"Multi-Fiber Networks for Video Recognition@@@MF-Net, RGB only (ImageNet+Kinetics pretrained)","Jiashi Feng","National University of Singapore",2018-07-30,"96.0",2018
"Optical Flow Guided Feature: A Fast and Robust Motion Representation for Video Action Recognition@@@Optical Flow Guided Feature","Shuyang Sun","University of Sydney",2017-11-29,"96",2017
"Optical Flow Guided Feature: A Fast and Robust Motion Representation for Video Action Recognition@@@Optical Flow Guided Feature","Zhanghui Kuang","",2017-11-29,"96",2017
"Optical Flow Guided Feature: A Fast and Robust Motion Representation for Video Action Recognition@@@Optical Flow Guided Feature","Lu Sheng","The Chinese University of Hong Kong",2017-11-29,"96",2017
"Optical Flow Guided Feature: A Fast and Robust Motion Representation for Video Action Recognition@@@Optical Flow Guided Feature","Wanli Ouyang","University of Sydney",2017-11-29,"96",2017
"Optical Flow Guided Feature: A Fast and Robust Motion Representation for Video Action Recognition@@@Optical Flow Guided Feature","Wei Zhang","SenseTime",2017-11-29,"96",2017
"MARS: Motion-Augmented RGB Stream for Action Recognition@@@MARS+RGB+Flow (16 frames)","Nieves Crasto","",2019-06-01,"95.8",2019
"MARS: Motion-Augmented RGB Stream for Action Recognition@@@MARS+RGB+Flow (16 frames)","Philippe Weinzaepfel","",2019-06-01,"95.8",2019
"MARS: Motion-Augmented RGB Stream for Action Recognition@@@MARS+RGB+Flow (16 frames)","Karteek Alahari","",2019-06-01,"95.8",2019
"MARS: Motion-Augmented RGB Stream for Action Recognition@@@MARS+RGB+Flow (16 frames)","Cordelia Schmid","",2019-06-01,"95.8",2019
"Attention Distillation for Learning Video Representations@@@Prob-Distill","Miao Liu","Georgia Institute of Technology",2019-04-05,"95.7",2019
"Attention Distillation for Learning Video Representations@@@Prob-Distill","Xin Chen","",2019-04-05,"95.7",2019
"Attention Distillation for Learning Video Representations@@@Prob-Distill","Yun Zhang","Georgia Institute of Technology",2019-04-05,"95.7",2019
"Attention Distillation for Learning Video Representations@@@Prob-Distill","Yin Li","University of Wisconsin-Madison",2019-04-05,"95.7",2019
"Attention Distillation for Learning Video Representations@@@Prob-Distill","James M. Rehg","Georgia Institute of Technology",2019-04-05,"95.7",2019
"Learning spatio-temporal representations with temporal squeeze pooling@@@TesNet (ImageNet pretrained)","Guoxi Huang","University of York",2020-02-11,"95.2",2020
"Learning spatio-temporal representations with temporal squeeze pooling@@@TesNet (ImageNet pretrained)","Adrian G. Bors","University of York",2020-02-11,"95.2",2020
"I3D-LSTM: A New Model for Human Action Recognition@@@I3D-LSTM","Xianyuan Wang","",2019-08-09,"95.1",2019
"I3D-LSTM: A New Model for Human Action Recognition@@@I3D-LSTM","Zhenjiang Miao","",2019-08-09,"95.1",2019
"I3D-LSTM: A New Model for Human Action Recognition@@@I3D-LSTM","Ruyi Zhang","",2019-08-09,"95.1",2019
"I3D-LSTM: A New Model for Human Action Recognition@@@I3D-LSTM","Shanshan Hao","",2019-08-09,"95.1",2019
"Can Spatiotemporal 3D CNNs Retrace the History of 2D CNNs and ImageNet?@@@ResNeXt-101 (64f)","Kensho Hara","National Institute of Advanced Industrial Science and Technology",2017-11-27,"94.5",2017
"Can Spatiotemporal 3D CNNs Retrace the History of 2D CNNs and ImageNet?@@@ResNeXt-101 (64f)","Hirokatsu Kataoka","National Institute of Advanced Industrial Science and Technology",2017-11-27,"94.5",2017
"Can Spatiotemporal 3D CNNs Retrace the History of 2D CNNs and ImageNet?@@@ResNeXt-101 (64f)","Yutaka Satoh","National Institute of Advanced Industrial Science and Technology",2017-11-27,"94.5",2017
"R-STAN: Residual Spatial-Temporal Attention Network for Action Recognition@@@R-STAN-101","Quanle Liu","Jilin University",2019-06-19,"94.5",2019
"R-STAN: Residual Spatial-Temporal Attention Network for Action Recognition@@@R-STAN-101","Xiangjiu Che","Jilin University",2019-06-19,"94.5",2019
"R-STAN: Residual Spatial-Temporal Attention Network for Action Recognition@@@R-STAN-101","Mei Bie","Jilin University",2019-06-19,"94.5",2019
"Temporal-Spatial Mapping for Action Recognition@@@TSN+TSM","Xiaolin Song","Tianjin University",2018-09-11,"94.3",2018
"Temporal-Spatial Mapping for Action Recognition@@@TSN+TSM","Cuiling Lan","Microsoft",2018-09-11,"94.3",2018
"Temporal-Spatial Mapping for Action Recognition@@@TSN+TSM","Wenjun Zeng","Microsoft",2018-09-11,"94.3",2018
"Temporal-Spatial Mapping for Action Recognition@@@TSN+TSM","Junliang Xing","Chinese Academy of Sciences",2018-09-11,"94.3",2018
"Temporal-Spatial Mapping for Action Recognition@@@TSN+TSM","Xiaoyan Sun","Microsoft",2018-09-11,"94.3",2018
"Temporal-Spatial Mapping for Action Recognition@@@TSN+TSM","Jingyu Yang","Tianjin University",2018-09-11,"94.3",2018
"TS-LSTM and Temporal-Inception: Exploiting Spatiotemporal Dynamics for Activity Recognition@@@TS-LSTM","Chih-Yao Ma","Georgia Institute of Technology",2017-03-30,"94.1",2017
"TS-LSTM and Temporal-Inception: Exploiting Spatiotemporal Dynamics for Activity Recognition@@@TS-LSTM","Min-Hung Chen","Georgia Institute of Technology",2017-03-30,"94.1",2017
"TS-LSTM and Temporal-Inception: Exploiting Spatiotemporal Dynamics for Activity Recognition@@@TS-LSTM","Zsolt Kira","Georgia Tech Research Institute",2017-03-30,"94.1",2017
"TS-LSTM and Temporal-Inception: Exploiting Spatiotemporal Dynamics for Activity Recognition@@@TS-LSTM","Ghassan AlRegib","Georgia Institute of Technology",2017-03-30,"94.1",2017
"Quo Vadis, Action Recognition? A New Model and the Kinetics Dataset@@@Two-stream I3D","Joao Carreira","Google",2017-05-22,"93.4",2017
