title,communities,metric,paper_date,communities_name
Late Temporal Modeling in 3D CNN Architectures with BERT for Action Recognition@@@R2+1D-BERT,21,98.69,2020-08-03,{'Middle East Technical University'}
Omni-sourced Webly-supervised Learning for Video Recognition@@@OmniSource (SlowOnly-8x8-R101-RGB + I3D-Flow),2,98.6,2020-03-29,set()
Learning Spatio-Temporal Representation with Local and Global Diffusion@@@LGD-3D Two-stream,8,98.2,2019-06-13,"{'City University of Hong Kong', 'Microsoft', 'University of Science and Technology of China'}"
"Quo Vadis, Action Recognition? A New Model and the Kinetics Dataset@@@Two-stream I3D (on pre-trained)",13,98.0,2017-05-22,"{'Graz University of Technology', 'Google', 'University of Oxford'}"
"MARS: Motion-Augmented RGB Stream for Action Recognition@@@MARS+RGB+Flow (64 frames, Kinetics pretrained)",3,97.8,2019-06-01,"{'French Institute for Research in Computer Science and Automation', 'École Normale Supérieure'}"
Large Scale Holistic Video Understanding@@@HATNet (32 frames),4,97.8,2019-04-25,{'ETH Zurich'}
Cooperative Cross-Stream Network for Discriminative Action Representation@@@CCS + TSN (ImageNet+Kinetics pretrained),14,97.4,2019-08-27,{'University of Electronic Science and Technology of China'}
Contextual Action Cues from Camera Sensor for Multi-Stream Action Recognition@@@Multi-stream I3D ,15,97.2,2019-03-20,{'Yonsei University'}
Hidden Two-Stream Convolutional Networks for Action Recognition@@@Hidden Two-Stream,6,97.1,2017-04-02,"{'Newcastle University', 'University of California, Merced', 'Carnegie Mellon University', 'University of East Anglia'}"
Two-Stream Video Classification with Cross-Modality Attention@@@CMA iter1-S,16,96.5,2019-08-01,"{'Peking University', 'Huawei'}"
STM: SpatioTemporal and Motion Encoding for Action Recognition@@@STM (ImageNet+Kinetics pretrain),9,96.2,2019-08-07,"{'Zhejiang University', 'SenseTime'}"
"Multi-Fiber Networks for Video Recognition@@@MF-Net, RGB only (ImageNet+Kinetics pretrained)",10,96.0,2018-07-30,"{'Facebook', 'National University of Singapore'}"
Optical Flow Guided Feature: A Fast and Robust Motion Representation for Video Action Recognition@@@Optical Flow Guided Feature,11,96,2017-11-29,"{'The Chinese University of Hong Kong', 'University of Sydney', 'SenseTime'}"
MARS: Motion-Augmented RGB Stream for Action Recognition@@@MARS+RGB+Flow (16 frames),3,95.8,2019-06-01,"{'French Institute for Research in Computer Science and Automation', 'École Normale Supérieure'}"
Attention Distillation for Learning Video Representations@@@Prob-Distill,12,95.7,2019-04-05,"{'Georgia Institute of Technology', 'University of Wisconsin-Madison'}"
Learning spatio-temporal representations with temporal squeeze pooling@@@TesNet (ImageNet pretrained),25,95.2,2020-02-11,{'University of York'}
I3D-LSTM: A New Model for Human Action Recognition@@@I3D-LSTM,17,95.1,2019-08-09,set()
Can Spatiotemporal 3D CNNs Retrace the History of 2D CNNs and ImageNet?@@@ResNeXt-101 (64f),22,94.5,2017-11-27,{'National Institute of Advanced Industrial Science and Technology'}
R-STAN: Residual Spatial-Temporal Attention Network for Action Recognition@@@R-STAN-101,23,94.5,2019-06-19,{'Jilin University'}
Temporal-Spatial Mapping for Action Recognition@@@TSN+TSM,7,94.3,2018-09-11,"{'Tianjin University', 'Microsoft', 'Chinese Academy of Sciences'}"
TS-LSTM and Temporal-Inception: Exploiting Spatiotemporal Dynamics for Activity Recognition@@@TS-LSTM,18,94.1,2017-03-30,"{'Georgia Institute of Technology', 'Georgia Tech Research Institute'}"
"Quo Vadis, Action Recognition? A New Model and the Kinetics Dataset@@@Two-stream I3D",13,93.4,2017-05-22,"{'Graz University of Technology', 'Google', 'University of Oxford'}"
"Convolutional Two-Stream Network Fusion for Video Action Recognition@@@S:VGG-16, T:VGG-16",13,92.5,2016-04-22,"{'Graz University of Technology', 'Google', 'University of Oxford'}"
