"author","community"
"Adrià Puigdomènech Badia","2"
"Bilal Piot","2"
"Steven Kapturowski","2"
"Pablo Sprechmann","2"
"Alex Vitvitskyi","2"
"Daniel Guo","2"
"Charles Blundell","2"
"Volodymyr Mnih","2+1"
"Adrià Puigdomènech Badia","2+1"
"Mehdi Mirza","2+1"
"Alex Graves","2+1"
"Tim Harley","2+1"
"Timothy P. Lillicrap","2+1"
"David Silver","2+1"
"Koray Kavukcuoglu","2+1"
"Volodymyr Mnih","2+1"
"Adrià Puigdomènech Badia","2+1"
"Mehdi Mirza","2+1"
"Alex Graves","2+1"
"Tim Harley","2+1"
"Timothy P. Lillicrap","2+1"
"David Silver","2+1"
"Koray Kavukcuoglu","2+1"
"Volodymyr Mnih","2+1"
"Adrià Puigdomènech Badia","2+1"
"Mehdi Mirza","2+1"
"Alex Graves","2+1"
"Tim Harley","2+1"
"Timothy P. Lillicrap","2+1"
"David Silver","2+1"
"Koray Kavukcuoglu","2+1"
"Jongwook Choi","6+1"
"Yijie Guo","6+1"
"Marcin Moczulski","6+1"
"Junhyuk Oh","6+1"
"Neal Wu","6+1"
"Mohammad Norouzi","6+1"
"Honglak Lee","6+1"
"Georg Ostrovski","2+1"
"Marc G. Bellemare","2+1"
"Aaron van den Oord","2+1"
"Rémi Munos","2+1"
"Marlos C. Machado","1"
"Marc G. Bellemare","1"
"Michael Bowling","1"
"Marlos C. Machado","1"
"Marc G. Bellemare","1"
"Michael Bowling","1"
"Ian Osband","2"
"Charles Blundell","2"
"Alexander Pritzel","2"
"Benjamin Van Roy","2"
"H Van Hasselt","1"
"Hado van Hasselt","1"
"Arthur Guez","1"
"David Silver","1"
"H Van Hasselt","1"
"Hado van Hasselt","1"
"Arthur Guez","1"
"David Silver","1"
"H Van Hasselt","1"
"Hado van Hasselt","1"
"Arthur Guez","1"
"David Silver","1"
"Dan Horgan","1"
"John Quan","1"
"David Budden","1"
"Gabriel Barth-Maron","1"
"Matteo Hessel","1"
"Hado van Hasselt","1"
"H Van Hasselt","1"
"David Silver","1"
"Will Dabney","2+1"
"Mark Rowland","2+1"
"Marc G. Bellemare","2+1"
"Rémi Munos","2+1"
"Ziyu Wang","1"
"Tom Schaul","1"
"Matteo Hessel","1"
"Hado van Hasselt","1"
"H Van Hasselt","1"
"Marc Lanctot","1"
"Nando de Freitas","1"
"Dennis G. Wilson","9"
"Sylvain Cussat-Blanc","9"
"Hervé Luga","9"
"Julian F. Miller","9"
"Yuri Burda","4"
"Harrison Edwards","4"
"Amos J. Storkey","4"
"Oleg Klimov","4"
"Adrien Ecoffet","7"
"Joost Huizinga","7"
"Joel Lehman","7"
"Kenneth O. Stanley","7"
"Jeff Clune","7"
"Adrien Ecoffet","7"
"Joost Huizinga","7"
"Joel Lehman","7"
"Kenneth O. Stanley","7"
"Jeff Clune","7"
"Lasse Espeholt","2"
"Hubert Soyer","2"
"Rémi Munos","2"
"Karen Simonyan","2"
"Vlad Mnih","2"
"Volodymyr Mnih","2"
"Tom Ward","2"
"Yotam Doron","2"
"Vlad Firoiu","2"
"Tim Harley","2"
"Iain Dunning","2"
"Shane Legg","2"
"Koray Kavukcuoglu","2"
"Will Dabney","2+1"
"Georg Ostrovski","2+1"
"David Silver","2+1"
"Rémi Munos","2+1"
"Bradly C. Stadie","10"
"Sergey Levine","10"
"Pieter Abbeel","10"
"Marc G. Bellemare","2+1"
"Georg Ostrovski","2+1"
"Arthur Guez","2+1"
"Philip S. Thomas","2+1"
"Rémi Munos","2+1"
"Marc G. Bellemare","2+1"
"Georg Ostrovski","2+1"
"Arthur Guez","2+1"
"Philip S. Thomas","2+1"
"Rémi Munos","2+1"
"Yuri Burda","4"
"Harri Edwards","4"
"Deepak Pathak","4"
"Amos J. Storkey","4"
"Trevor Darrell","4"
"Alexei A. Efros","4"
"Arun Nair","1+2+3"
"Praveen Srinivasan","1+2+3"
"Sam Blackwell","1+2+3"
"Cagdas Alcicek","1+2+3"
"Rory Fearon","1+2+3"
"Alessandro De Maria","1+2+3"
"Vedavyas Panneershelvam","1+2+3"
"Mustafa Suleyman","1+2+3"
"Charles Beattie","1+2+3"
"Stig Petersen","1+2+3"
"Koray Kavukcuoglu","1+2+3"
"David Silver","1+2+3"
"Danijar Hafner","1"
"Timothy P. Lillicrap","1"
"Mohammad Norouzi","1"
"Jimmy Ba","1"
"Julian Schrittwieser","2+1"
"Ioannis Antonoglou","2+1"
"Thomas Hubert","2+1"
"Karen Simonyan","2+1"
"Laurent Sifre","2+1"
"Simon Schmitt","2+1"
"Arthur Guez","2+1"
"Edward Lockhart","2+1"
"Demis Hassabis","2+1"
"Thore Graepel","2+1"
"Timothy P. Lillicrap","2+1"
"David Silver","2+1"
"Meire Fortunato","2"
"Mohammad Gheshlaghi Azar","2"
"Bilal Piot","2"
"Jacob Menick","2"
"Ian Osband","2"
"Alex Graves","2"
"Vlad Mnih","2"
"Rémi Munos","2"
"Demis Hassabis","2"
"Olivier Pietquin","2"
"Charles Blundell","2"
"Shane Legg","2"
"Xiangxiang Chu","11"
"Tom Schaul","1"
"John Quan","1"
"Ioannis Antonoglou","1"
"David Silver","1"
"Steven Kapturowski","2+1"
"Georg Ostrovski","2+1"
"John Quan","2+1"
"Rémi Munos","2+1"
"Will Dabney","2+1"
"Xin Wang","5"
"Qiuyuan Huang","5"
"Asli Celikyilmaz","5"
"Jianfeng Gao","5"
"Dinghan Shen","5"
"Yuan-Fang Wang","5"
"William Yang Wang","5"
"Lei Zhang","5"
"Marc G. Bellemare","1"
"Yavar Naddaf","1"
"Joel Veness","1"
"Michael Bowling","1"
"Marc G. Bellemare","2+1"
"Sriram Srinivasan","2+1"
"Georg Ostrovski","2+1"
"Tom Schaul","2+1"
"David Saxton","2+1"
"Rémi Munos","2+1"
"Marc G. Bellemare","2+1"
"Sriram Srinivasan","2+1"
"Georg Ostrovski","2+1"
"Tom Schaul","2+1"
"David Saxton","2+1"
"Rémi Munos","2+1"
