"title","authors","affiliations","paper_date","metric","year"
"First return then explore@@@Go-Explore","Adrien Ecoffet","",2020-04-27,"43791",2020
"First return then explore@@@Go-Explore","Joost Huizinga","",2020-04-27,"43791",2020
"First return then explore@@@Go-Explore","Joel Lehman","",2020-04-27,"43791",2020
"First return then explore@@@Go-Explore","Kenneth O. Stanley","",2020-04-27,"43791",2020
"First return then explore@@@Go-Explore","Jeff Clune","",2020-04-27,"43791",2020
"Go-Explore: a New Approach for Hard-Exploration Problems@@@Go-Explore","Adrien Ecoffet","",2019-01-30,"43763",2019
"Go-Explore: a New Approach for Hard-Exploration Problems@@@Go-Explore","Joost Huizinga","",2019-01-30,"43763",2019
"Go-Explore: a New Approach for Hard-Exploration Problems@@@Go-Explore","Joel Lehman","",2019-01-30,"43763",2019
"Go-Explore: a New Approach for Hard-Exploration Problems@@@Go-Explore","Kenneth O. Stanley","",2019-01-30,"43763",2019
"Go-Explore: a New Approach for Hard-Exploration Problems@@@Go-Explore","Jeff Clune","",2019-01-30,"43763",2019
"Agent57: Outperforming the Atari Human Benchmark@@@Agent57","Adrià Puigdomènech Badia","Google",2020-03-30,"9352.01",2020
"Agent57: Outperforming the Atari Human Benchmark@@@Agent57","Bilal Piot","",2020-03-30,"9352.01",2020
"Agent57: Outperforming the Atari Human Benchmark@@@Agent57","Steven Kapturowski","",2020-03-30,"9352.01",2020
"Agent57: Outperforming the Atari Human Benchmark@@@Agent57","Pablo Sprechmann","",2020-03-30,"9352.01",2020
"Agent57: Outperforming the Atari Human Benchmark@@@Agent57","Alex Vitvitskyi","",2020-03-30,"9352.01",2020
"Agent57: Outperforming the Atari Human Benchmark@@@Agent57","Daniel Guo","",2020-03-30,"9352.01",2020
"Agent57: Outperforming the Atari Human Benchmark@@@Agent57","Charles Blundell","",2020-03-30,"9352.01",2020
"Exploration by Random Network Distillation@@@RND","Yuri Burda","OpenAI",2018-10-30,"8152",2018
"Exploration by Random Network Distillation@@@RND","Harrison Edwards","University of Edinburgh",2018-10-30,"8152",2018
"Exploration by Random Network Distillation@@@RND","Amos J. Storkey","University of Edinburgh",2018-10-30,"8152",2018
