title,communities,metric,paper_date,communities_name
First return then explore@@@Go-Explore,7,43791,2020-04-27,set()
Go-Explore: a New Approach for Hard-Exploration Problems@@@Go-Explore,7,43763,2019-01-30,set()
Agent57: Outperforming the Atari Human Benchmark@@@Agent57,2,9352.01,2020-03-30,"{'Google', 'Université de Montréal', 'Stanford University'}"
Exploration by Random Network Distillation@@@RND,4,8152,2018-10-30,"{'OpenAI', 'University of California, Berkeley', 'University of Edinburgh'}"
Contingency-Aware Exploration in Reinforcement Learning@@@A2C+CoEX,6+1,6635,2018-11-05,"{'Carnegie Mellon University', 'University of Michigan', 'Google', 'University of Cambridge', 'University of Alberta'}"
Count-Based Exploration with Neural Density Models@@@DQN-PixelCNN,2+1,3705.5,2017-03-03,"{'Carnegie Mellon University', 'Stanford University', 'Université de Montréal', 'Google', 'University of Cambridge', 'University of Alberta'}"
Unifying Count-Based Exploration and Intrinsic Motivation@@@DDQN-PC,2+1,3459,2016-06-06,"{'Carnegie Mellon University', 'Stanford University', 'Université de Montréal', 'Google', 'University of Cambridge', 'University of Alberta'}"
Count-Based Exploration in Feature Space for Reinforcement Learning@@@Sarsa-φ-EB,8,2745.4,2017-06-25,{'Australian National University'}
Large-Scale Study of Curiosity-Driven Learning@@@Intrinsic Reward Agent,4,2504.6,2018-08-13,"{'OpenAI', 'University of California, Berkeley', 'University of Edinburgh'}"
Distributed Prioritized Experience Replay@@@Ape-X,1,2500.0,2018-03-02,"{'University of Alberta', 'Google', 'University of Cambridge', 'Carnegie Mellon University'}"
Recurrent Experience Replay in Distributed Reinforcement Learning@@@R2D2,2+1,2061.3,2019-05-01,"{'Carnegie Mellon University', 'Stanford University', 'Université de Montréal', 'Google', 'University of Cambridge', 'University of Alberta'}"
Count-Based Exploration with the Successor Representation@@@DQN+SR,1,1778.8,2018-07-31,"{'University of Alberta', 'Google', 'University of Cambridge', 'Carnegie Mellon University'}"
Count-Based Exploration with the Successor Representation@@@DQNMMCe+SR,1,1778.6,2018-07-31,"{'University of Alberta', 'Google', 'University of Cambridge', 'Carnegie Mellon University'}"
Self-Imitation Learning@@@A2C + SIL,5,1100,2018-06-14,"{'Microsoft', 'Duke University', 'University of California, Santa Barbara'}"
Mastering Atari with Discrete World Models@@@DreamerV2,1,650,2020-10-05,"{'University of Alberta', 'Google', 'University of Cambridge', 'Carnegie Mellon University'}"
Count-Based Exploration in Feature Space for Reinforcement Learning@@@Sarsa-ε,8,399.5,2017-06-25,{'Australian National University'}
Unifying Count-Based Exploration and Intrinsic Motivation@@@A3C-CTS,2+1,273.7,2016-06-06,"{'Carnegie Mellon University', 'Stanford University', 'Université de Montréal', 'Google', 'University of Cambridge', 'University of Alberta'}"
@@@SARSA,,,,set()
