institution,counter
Stanford University,26
Université de Montréal,26
Google,32
university of lille,26
Northwestern University,26
Carnegie Mellon University,21
University of Cambridge,21
University of Alberta,21
Microsoft,3
"University of California, San Diego",2
Tsinghua University,1
Duke University,1
"University of California, Santa Barbara",1
Federal Institute of Rio Grande do Sul,1
Xiaomi,1
University of York,1
University of Toulouse,1
University of Fribourg,1
New York University,1
Polish Academy of Sciences,1
Intel,1
Imperial College London,1
