number,name
1,"('Google', 9)&('Stanford University', 2)&('Northwestern University', 1)&('Université de Montréal', 1)&('university of lille', 1)"
2,"('Google', 13)&('University of Alberta', 4)&('University of Cambridge', 1)&('Carnegie Mellon University', 1)"
3,"('Google', 1)"
4,"('Microsoft', 4)&('University of California, Santa Barbara', 3)&('Duke University', 1)"
5,"('Microsoft', 4)&('Tsinghua University', 1)&('University of California, San Diego', 1)"
6,"('Polish Academy of Sciences', 1)&('Intel', 1)"
7,
8,
9,"('Microsoft', 3)&('University of California, San Diego', 1)"
10,"('University of Toulouse', 3)&('University of York', 1)"
11,
12,"('University of Fribourg', 2)&('New York University', 1)"
13,"('Federal Institute of Rio Grande do Sul', 1)"
14,"('Xiaomi', 1)"
15,"('Imperial College London', 1)"
