"communities","year","papers","results","authors","SOTA"
"1",2013,1,1,7,1
"1",2016,4,4,12,1
"1",2017,1,1,12,NA
"1",2018,1,1,13,1
"1",2019,1,1,12,1
"1",2020,1,1,7,NA
"1+3",2015,1,1,12,1
"10",2018,1,1,4,1
"11+1",2020,1,1,4,1
"12",2018,1,1,3,1
"13",2020,1,1,1,1
"14",2018,1,1,1,1
"15",2019,1,1,1,1
"2",2012,2,2,4,1
"2",2015,4,4,7,1
"2+1",2015,8,8,11,1
"2+1",2016,1,1,6,NA
"2+1",2017,3,3,14,2
"2+1",2018,2,2,11,1
"2+1",2019,1,1,5,NA
"4",2018,1,1,8,1
"5",2019,1,1,6,1
"6",2018,1,1,6,1
"7",2017,1,1,5,1
"8",2015,1,1,5,1
"9",2017,1,1,4,1
