"author","community"
"Marc G. Bellemare","2+1"
"Will Dabney","2+1"
"Rémi Munos","2+1"
"Adrià Puigdomènech Badia","1"
"Bilal Piot","1"
"Steven Kapturowski","1"
"Pablo Sprechmann","1"
"Alex Vitvitskyi","1"
"Daniel Guo","1"
"Charles Blundell","1"
"Volodymyr Mnih","1"
"Adrià Puigdomènech Badia","1"
"Mehdi Mirza","1"
"Alex Graves","1"
"Tim Harley","1"
"Timothy P. Lillicrap","1"
"David Silver","1"
"Koray Kavukcuoglu","1"
"Volodymyr Mnih","1"
"Adrià Puigdomènech Badia","1"
"Mehdi Mirza","1"
"Alex Graves","1"
"Tim Harley","1"
"Timothy P. Lillicrap","1"
"David Silver","1"
"Koray Kavukcuoglu","1"
"Volodymyr Mnih","1"
"Adrià Puigdomènech Badia","1"
"Mehdi Mirza","1"
"Alex Graves","1"
"Tim Harley","1"
"Timothy P. Lillicrap","1"
"David Silver","1"
"Koray Kavukcuoglu","1"
"Ivan Sorokin","8"
"Alexey Seleznev","8"
"Mikhail Pavlov","8"
"Aleksandr Fedorov","8"
"Anastasiia Ignateva","8"
"Ian Osband","1"
"Charles Blundell","1"
"Alexander Pritzel","1"
"Benjamin Van Roy","1"
"H Van Hasselt","2+1"
"Hado van Hasselt","2+1"
"Arthur Guez","2+1"
"David Silver","2+1"
"H Van Hasselt","2+1"
"Hado van Hasselt","2+1"
"Arthur Guez","2+1"
"David Silver","2+1"
"H Van Hasselt","2+1"
"Hado van Hasselt","2+1"
"Arthur Guez","2+1"
"David Silver","2+1"
"H Van Hasselt","2+1"
"Hado van Hasselt","2+1"
"Arthur Guez","2+1"
"David Silver","2+1"
"Igor Adamski","6"
"Robert Adamski","6"
"Tomasz Grel","6"
"Adam Jedrych","6"
"Kamil Kaczmarek","6"
"Henryk Michalewski","6"
"Dan Horgan","2+1"
"John Quan","2+1"
"David Budden","2+1"
"Gabriel Barth-Maron","2+1"
"Matteo Hessel","2+1"
"H Van Hasselt","2+1"
"Hado van Hasselt","2+1"
"David Silver","2+1"
"Will Dabney","2+1"
"Mark Rowland","2+1"
"Marc G. Bellemare","2+1"
"Rémi Munos","2+1"
"Ziyu Wang","2"
"Tom Schaul","2"
"Matteo Hessel","2"
"H Van Hasselt","2"
"Hado van Hasselt","2"
"Marc Lanctot","2"
"Nando de Freitas","2"
"Ziyu Wang","2"
"Tom Schaul","2"
"Matteo Hessel","2"
"H Van Hasselt","2"
"Hado van Hasselt","2"
"Marc Lanctot","2"
"Nando de Freitas","2"
"Ziyu Wang","2"
"Tom Schaul","2"
"Matteo Hessel","2"
"H Van Hasselt","2"
"Hado van Hasselt","2"
"Marc Lanctot","2"
"Nando de Freitas","2"
"Ziyu Wang","2"
"Tom Schaul","2"
"Matteo Hessel","2"
"H Van Hasselt","2"
"Hado van Hasselt","2"
"Marc Lanctot","2"
"Nando de Freitas","2"
