"title","authors","affiliations","paper_date","metric","year"
"Mastering Atari, Go, Chess and Shogi by Planning with a Learned Model@@@MuZero","Julian Schrittwieser","",2019-11-19,"74335.30",2019
"Mastering Atari, Go, Chess and Shogi by Planning with a Learned Model@@@MuZero","Ioannis Antonoglou","",2019-11-19,"74335.30",2019
"Mastering Atari, Go, Chess and Shogi by Planning with a Learned Model@@@MuZero","Thomas Hubert","",2019-11-19,"74335.30",2019
"Mastering Atari, Go, Chess and Shogi by Planning with a Learned Model@@@MuZero","Karen Simonyan","",2019-11-19,"74335.30",2019
"Mastering Atari, Go, Chess and Shogi by Planning with a Learned Model@@@MuZero","Laurent Sifre","",2019-11-19,"74335.30",2019
"Mastering Atari, Go, Chess and Shogi by Planning with a Learned Model@@@MuZero","Simon Schmitt","",2019-11-19,"74335.30",2019
"Mastering Atari, Go, Chess and Shogi by Planning with a Learned Model@@@MuZero","Arthur Guez","",2019-11-19,"74335.30",2019
"Mastering Atari, Go, Chess and Shogi by Planning with a Learned Model@@@MuZero","Edward Lockhart","",2019-11-19,"74335.30",2019
"Mastering Atari, Go, Chess and Shogi by Planning with a Learned Model@@@MuZero","Demis Hassabis","",2019-11-19,"74335.30",2019
"Mastering Atari, Go, Chess and Shogi by Planning with a Learned Model@@@MuZero","Thore Graepel","",2019-11-19,"74335.30",2019
"Mastering Atari, Go, Chess and Shogi by Planning with a Learned Model@@@MuZero","Timothy P. Lillicrap","",2019-11-19,"74335.30",2019
"Mastering Atari, Go, Chess and Shogi by Planning with a Learned Model@@@MuZero","David Silver","",2019-11-19,"74335.30",2019
"Distributed Prioritized Experience Replay@@@Ape-X","Dan Horgan","Google",2018-03-02,"54681",2018
"Distributed Prioritized Experience Replay@@@Ape-X","John Quan","Google",2018-03-02,"54681",2018
"Distributed Prioritized Experience Replay@@@Ape-X","David Budden","Google",2018-03-02,"54681",2018
"Distributed Prioritized Experience Replay@@@Ape-X","Gabriel Barth-Maron","Google",2018-03-02,"54681",2018
"Distributed Prioritized Experience Replay@@@Ape-X","Matteo Hessel","Google",2018-03-02,"54681",2018
"Distributed Prioritized Experience Replay@@@Ape-X","H Van Hasselt","Google",2018-03-02,"54681",2018
"Distributed Prioritized Experience Replay@@@Ape-X","Hado van Hasselt","Google",2018-03-02,"54681",2018
"Distributed Prioritized Experience Replay@@@Ape-X","David Silver","Google",2018-03-02,"54681",2018
"Agent57: Outperforming the Atari Human Benchmark@@@Agent57","Adrià Puigdomènech Badia","Google",2020-03-30,"48680.86",2020
"Agent57: Outperforming the Atari Human Benchmark@@@Agent57","Bilal Piot","",2020-03-30,"48680.86",2020
"Agent57: Outperforming the Atari Human Benchmark@@@Agent57","Steven Kapturowski","",2020-03-30,"48680.86",2020
"Agent57: Outperforming the Atari Human Benchmark@@@Agent57","Pablo Sprechmann","",2020-03-30,"48680.86",2020
"Agent57: Outperforming the Atari Human Benchmark@@@Agent57","Alex Vitvitskyi","",2020-03-30,"48680.86",2020
"Agent57: Outperforming the Atari Human Benchmark@@@Agent57","Daniel Guo","",2020-03-30,"48680.86",2020
"Agent57: Outperforming the Atari Human Benchmark@@@Agent57","Charles Blundell","",2020-03-30,"48680.86",2020
"Fully Parameterized Quantile Function for Distributional Reinforcement Learning@@@FQF","Derek C Yang","University of California, San Diego",2019-11-05,"46498.3",2019
"Fully Parameterized Quantile Function for Distributional Reinforcement Learning@@@FQF","Li Zhao","Microsoft",2019-11-05,"46498.3",2019
"Fully Parameterized Quantile Function for Distributional Reinforcement Learning@@@FQF","Zichuan Lin","Tsinghua University",2019-11-05,"46498.3",2019
"Fully Parameterized Quantile Function for Distributional Reinforcement Learning@@@FQF","Tao Qin","Microsoft",2019-11-05,"46498.3",2019
"Fully Parameterized Quantile Function for Distributional Reinforcement Learning@@@FQF","Jiang Bian","Microsoft",2019-11-05,"46498.3",2019
"Fully Parameterized Quantile Function for Distributional Reinforcement Learning@@@FQF","Tie-Yan Liu","Microsoft",2019-11-05,"46498.3",2019
"IMPALA: Scalable Distributed Deep-RL with Importance Weighted Actor-Learner Architectures@@@IMPALA (deep)","Lasse Espeholt","",2018-02-05,"43595.78",2018
"IMPALA: Scalable Distributed Deep-RL with Importance Weighted Actor-Learner Architectures@@@IMPALA (deep)","Hubert Soyer","",2018-02-05,"43595.78",2018
"IMPALA: Scalable Distributed Deep-RL with Importance Weighted Actor-Learner Architectures@@@IMPALA (deep)","Rémi Munos","",2018-02-05,"43595.78",2018
"IMPALA: Scalable Distributed Deep-RL with Importance Weighted Actor-Learner Architectures@@@IMPALA (deep)","Karen Simonyan","",2018-02-05,"43595.78",2018
"IMPALA: Scalable Distributed Deep-RL with Importance Weighted Actor-Learner Architectures@@@IMPALA (deep)","Vlad Mnih","Google",2018-02-05,"43595.78",2018
"IMPALA: Scalable Distributed Deep-RL with Importance Weighted Actor-Learner Architectures@@@IMPALA (deep)","Volodymyr Mnih","Google",2018-02-05,"43595.78",2018
"IMPALA: Scalable Distributed Deep-RL with Importance Weighted Actor-Learner Architectures@@@IMPALA (deep)","Tom Ward","",2018-02-05,"43595.78",2018
"IMPALA: Scalable Distributed Deep-RL with Importance Weighted Actor-Learner Architectures@@@IMPALA (deep)","Yotam Doron","",2018-02-05,"43595.78",2018
"IMPALA: Scalable Distributed Deep-RL with Importance Weighted Actor-Learner Architectures@@@IMPALA (deep)","Vlad Firoiu","Google",2018-02-05,"43595.78",2018
"IMPALA: Scalable Distributed Deep-RL with Importance Weighted Actor-Learner Architectures@@@IMPALA (deep)","Tim Harley","",2018-02-05,"43595.78",2018
"IMPALA: Scalable Distributed Deep-RL with Importance Weighted Actor-Learner Architectures@@@IMPALA (deep)","Iain Dunning","Google",2018-02-05,"43595.78",2018
"IMPALA: Scalable Distributed Deep-RL with Importance Weighted Actor-Learner Architectures@@@IMPALA (deep)","Shane Legg","",2018-02-05,"43595.78",2018
