institution,counter
Carnegie Mellon University,1
Microsoft,6
University of Melbourne,1
University of Pittsburgh,1
University of Electronic Science and Technology of China,1
Singapore University of Technology and Design,1
"University of Technology, Sydney",3
University of Sydney,3
Massachusetts Institute of Technology,17
Google,22
Michigan State University,2
SenseTime,1
Chinese Academy of Sciences,2
Peking University,1
Facebook,9
University of Washington,2
"University of California, Berkeley",3
Virginia Tech,1
Alibaba Group,4
Tsinghua University,6
Naver Corporation,1
Yonsei University,1
University of Oxford,2
Moscow State University,2
Cornell University,5
National Research University – Higher School of Economics,2
Seoul National University,1
University of Southampton,1
University of Science and Technology of China,1
"University of California, Merced",1
Nankai University,1
Aalto University,4
Université de Montréal,4
Sharif University of Technology,4
"University of California, San Diego",3
University of South Australia,1
Nanjing University of Science and Technology,1
Nanjing University,1
Autonomous University of Barcelona,1
Toyota Technological Institute at Chicago,2
University of Chicago,4
Federal University of Rio de Janeiro,2
Columbia University,1
University of Jena,1
National University of Singapore,1
Northwestern University,1
University of Notre Dame,1
University of Warwick,2
Johannes Kepler University of Linz,1
Beijing University of Posts and Telecommunications,1
Pace University,1
Harvard University,2
Intel,2
University of Toronto,3
Lawrence Berkeley National Laboratory,2
University of Adelaide,2
Czech Technical University in Prague,1
"University of California, Irvine",1
Adobe Systems,1
University of Michigan,1
New York University,3
Dalle Molle Institute for Artificial Intelligence Research,1
University of Freiburg,2
Costa Rica Institute of Technology,1
Rovira i Virgili University,1
University of Southern California,1
Oregon State University,2
