number,name
1,"('Google', 25)"
2,"('Université de Montréal', 7)&('Google', 5)&('Facebook', 3)&('Sharif University of Technology', 2)&('Massachusetts Institute of Technology', 1)&('Aalto University', 1)"
3,"('Alibaba Group', 12)"
4,"('Google', 8)&('Massachusetts Institute of Technology', 1)"
5,"('Intel', 3)&('Harvard University', 2)&('University of Toronto', 2)&('Lawrence Berkeley National Laboratory', 1)&('Massachusetts Institute of Technology', 1)"
6,"('Peking University', 3)&('SenseTime', 1)&('Chinese Academy of Sciences', 1)"
7,
8,"('Autonomous University of Barcelona', 6)"
9,
10,"('University of Washington', 4)&('Microsoft', 1)"
11,"('Singapore University of Technology and Design', 3)&('University of Electronic Science and Technology of China', 1)"
12,"('Naver Corporation', 4)&('Yonsei University', 1)"
13,"('National Research University – Higher School of Economics', 3)&('Cornell University', 2)&('Moscow State University', 1)"
14,"('University of Southampton', 6)"
15,"('Nankai University', 4)&('University of Oxford', 1)&('University of California, Merced', 1)"
16,
17,"('Cornell University', 4)&('Tsinghua University', 1)&('Facebook', 1)"
18,"('New York University', 3)"
19,"('University of Pittsburgh', 2)&('University of Melbourne', 1)&('Microsoft', 1)&('Carnegie Mellon University', 1)"
20,
21,
22,"('Chinese Academy of Sciences', 5)"
23,
24,"('University of Sydney', 3)&('University of California, San Diego', 1)&('University of South Australia', 1)"
25,"('Beijing University of Posts and Telecommunications', 5)"
26,"('University of California, San Diego', 3)&('Microsoft', 1)"
27,"('Costa Rica Institute of Technology', 4)&('Rovira i Virgili University', 1)"
28,"('University of California, Berkeley', 4)"
29,"('Google', 4)"
30,
31,"('Seoul National University', 4)"
32,
33,"('Nanjing University of Science and Technology', 2)&('Tsinghua University', 1)&('Nanjing University', 1)"
34,"('Microsoft', 4)"
35,"('National University of Singapore', 2)&('Tsinghua University', 1)&('Northwestern University', 1)"
36,"('University of California, Irvine', 2)&('University of Michigan', 1)&('Adobe Systems', 1)"
37,"('Dalle Molle Institute for Artificial Intelligence Research', 4)"
38,
39,"('University of Freiburg', 4)"
40,
41,
42,"('Toyota Technological Institute at Chicago', 1)&('University of Chicago', 1)&('Federal University of Rio de Janeiro', 1)"
43,"('University of Southern California', 4)"
44,"('University of Technology, Sydney', 2)&('University of Sydney', 1)"
45,"('Michigan State University', 3)"
46,"('University of Washington', 2)&('Facebook', 1)"
47,"('Facebook', 1)"
48,"('Virginia Tech', 3)"
49,"('Tsinghua University', 3)"
50,"('University of Oxford', 1)"
51,"('Microsoft', 2)&('University of Science and Technology of China', 1)"
52,
53,"('Johannes Kepler University of Linz', 3)"
54,
55,"('Massachusetts Institute of Technology', 3)"
56,"('Oregon State University', 1)&('University of Chicago', 1)&('University of California, Berkeley', 1)"
57,
58,
59,"('Columbia University', 2)"
60,"('University of Jena', 2)"
61,"('University of Notre Dame', 2)"
62,"('University of Adelaide', 2)"
63,"('Czech Technical University in Prague', 2)"
64,"('University of Toronto', 2)"
65,"('New York University', 2)"
66,"('University of Technology, Sydney', 2)"
67,"('University of Warwick', 1)"
68,
69,"('Pace University', 1)"
