"communities","year","papers","results","authors","SOTA"
1,2017,1,1,8,1
1,2018,2,2,15,2
1,2019,2,2,6,1
1,2020,1,1,5,NA
2,2013,1,1,5,1
2,2017,1,1,4,1
2,2018,1,1,8,NA
2,2019,1,1,6,NA
3,2020,4,4,12,1
4,2019,2,2,7,1
4,2020,4,4,4,NA
5,2015,2,2,9,1
7,2020,2,2,7,1
8,2018,1,1,7,1
9,2014,1,1,7,1
10,2013,1,1,7,1
12,2019,1,1,6,1
13,2018,2,2,6,1
14,2020,1,1,6,1
15,2019,1,1,6,1
16,2016,1,1,5,1
16,2018,1,1,6,1
17,2016,2,2,6,2
18,2015,2,2,6,1
23,2019,1,1,5,1
24,2019,1,1,5,1
25,2016,1,1,5,1
26,2014,1,1,5,1
26,2015,1,1,3,1
27,2019,1,1,5,1
29,2020,2,2,4,1
30,2020,1,1,4,1
31,2020,1,1,4,1
32,2019,1,1,4,1
34,2016,1,1,4,1
35,2019,1,1,4,1
36,2014,1,1,4,1
37,2015,1,1,4,1
38,2017,1,1,4,1
39,2013,1,1,2,1
39,2014,1,1,4,1
40,2015,1,1,4,1
42,2016,1,1,3,1
45,2020,1,1,3,1
49,2019,1,1,3,1
50,2017,1,1,3,1
51,2020,1,1,3,1
52,2020,1,1,3,1
53,2015,1,1,3,1
54,2017,1,1,3,1
57,2016,1,1,2,1
58,2015,1,1,2,1
58,2017,1,1,2,1
59,2019,1,1,2,1
60,2020,1,1,2,1
61,2020,1,1,2,1
62,2015,2,2,2,2
63,2015,1,1,2,1
64,2013,1,1,2,1
65,2013,1,1,2,1
67,2014,2,2,1,1
68,2019,1,1,1,1
69,2020,1,1,1,1
