"author","community"
"Dmytro Mishkin",63
"Jiri Matas",63
"Pau Rodríguez",8
"Josep M. Gonfaus",8
"Guillem Cucurull",8
"F. Xavier Roca",8
"Francesc Xavier Roca i Marvà",8
"Jordi Pérez González",8
"Jordi Gonzàlez",8
"Irwan Bello",1
"Barret Zoph",1
"Quoc V. Le",1
"Ashish Vaswani",1
"Jonathon Shlens",1
"Romain Lopez",28
"Jeffrey Regier",28
"Michael I. Jordan",28
"Nir Yosef",28
"Ekin D. Cubuk",1
"Barret Zoph",1
"Dandelion Mane",1
"Vijay K. Vasudevan",1
"Quoc V. Le",1
"Pavel Izmailov",13
"Dmitrii Podoprikhin",13
"D. A. Podoprikhin",13
"Timur Garipov",13
"Dmitry Vetrov",13
"Andrew Gordon Wilson",13
"Pavel Izmailov",13
"Dmitrii Podoprikhin",13
"D. A. Podoprikhin",13
"Timur Garipov",13
"Dmitry Vetrov",13
"Andrew Gordon Wilson",13
"Jia-Ren Chang",58
"Yong-Sheng Chen",58
"Alexander Kolesnikov",4
"Lucas Beyer",4
"Xiaohua Zhai",4
"Joan Puigcerver",4
"Jessica Yung",4
"Sylvain Gelly",4
"Neil Houlsby",4
"Alexander Kolesnikov",4
"Lucas Beyer",4
"Xiaohua Zhai",4
"Joan Puigcerver",4
"Jessica Yung",4
"Sylvain Gelly",4
"Neil Houlsby",4
"Shreyank N Gowda",49
"Shreyank N. Gowda",49
"Chun Yuan",49
"Zhibin Liao",62
"Gustavo Carneiro",62
"Sangdoo Yun",12
"Dongyoon Han",12
"Sanghyuk Chun",12
"Seong Joon Oh",12
"Youngjoon Yoo",12
"Junsuk Choe",12
"Jianlong Chang",22
"Lingfeng Wang",22
"Gaofeng Meng",22
"Shiming Xiang",22
"Chunhong Pan",22
"Dan Hendrycks",56
"Mantas Mazeika",56
"Thomas G. Dietterich",56
"Dan Hendrycks",56
"Mantas Mazeika",56
"Thomas G. Dietterich",56
"Jia-Ren Chang",58
"Yong-Sheng Chen",58
"Jianlong Wu",6
"Keyu Long",6
"Fei Wang",6
"Chen Qian",6
"Cheng Li",6
"Zhouchen Lin",6
"Hongbin Zha",6
"Seungryul Baek",54
"Kwang In Kim",54
"Tae-Kyun Kim",54
"Lars Hertel",38
"Erhardt Barth",38
"Thomas Käster",38
"Thomas Martinetz",38
"Gao Huang",17
"Yu Sun",17
"Zhuang Liu",17
"Daniel Sedra",17
"Kilian Q. Weinberger",17
"Yang Li",25
"Chunxiao Fan",25
"Yong Li",25
"Qiong Wu",25
"Yue Ming",25
"Chen-Yu Lee",26
"Saining Xie",26
"Patrick W. Gallagher",26
"Zhengyou Zhang",26
"Zhuowen Tu",26
"Gao Huang",17
"Zhuang Liu",17
"Laurens van der Maaten",17
"Kilian Q. Weinberger",17
"Gao Huang",17
"Zhuang Liu",17
"Laurens van der Maaten",17
"Kilian Q. Weinberger",17
"zhongzhan huang",35
"Senwei Liang",35
"Mingfu Liang",35
"Haizhao Yang",35
"Nitish Srivastava",64
"Ruslan Salakhutdinov",64
"Mingxing Tan",1
"Quoc V. Le",1
"Bing Xu",40
"Naiyan Wang",40
"Tianqi Chen",40
"Mu Li",40
"Xiao Wang",32
"Daisuke Kihara",32
"Jiebo Luo",32
"Guo-Jun Qi",32
"Yinhao Zhu",61
"Nicholas Zabaras",61
"Djork-Arné Clevert",53
"Thomas Unterthiner",53
"Sepp Hochreiter",53
"Sungbin Lim",23
"Ildoo Kim",23
"Taesup Kim",23
"Chiheon Kim",23
"Sungwoong Kim",23
"Ethan Harris",14
"Antonia Marcu",14
"Matthew Painter",14
"Mahesan Niranjan",14
"Adam Prügel-Bennett",14
"Jonathon S. Hare",14
"Benjamin Graham",67
"Chen-Yu Lee",26
"Patrick W. Gallagher",26
"Zhuowen Tu",26
"Yanping Huang",1
"Youlong Cheng",1
"Ankur Bapna",1
"Orhan Firat",1
"Mia Xu Chen",1
"Dehao Chen",1
"HyoukJoong Lee",1
"Jiquan Ngiam",1
"Quoc V. Le",1
"Yonghui Wu",1
"Zhifeng Chen",1
"Jianlong Fu",51
"Heliang Zheng",51
"Tao Mei",51
"Zhicheng Yan",9
"Hao Zhang",9
"Robinson Piramuthu",9
"Vignesh Jagadeesh",9
"Dennis DeCoste",9
"Wei Di",9
"Yizhou Yu",9
"Qianli Liao",55
"Joel Z. Leibo",55
"Tomaso Poggio",55
"Kaiming He",34
"Xiangyu Zhang",34
"Shaoqing Ren",34
"Jian Sun",34
