"title","authors","affiliations","paper_date","metric","year"
"Twin Auxilary Classifiers GAN@@@TAC-GAN","Mingming Gong","University of Melbourne",2019-12-01,"not available",2019
"Twin Auxilary Classifiers GAN@@@TAC-GAN","Yanwu Xu","University of Pittsburgh",2019-12-01,"not available",2019
"Twin Auxilary Classifiers GAN@@@TAC-GAN","Chunyuan Li","Microsoft",2019-12-01,"not available",2019
"Twin Auxilary Classifiers GAN@@@TAC-GAN","Kun Zhang","Carnegie Mellon University",2019-12-01,"not available",2019
"Twin Auxilary Classifiers GAN@@@TAC-GAN","Kayhan Batmanghelich","University of Pittsburgh",2019-12-01,"not available",2019
"Self-supervised GAN: Analysis and Improvement with Multi-class Minimax Game@@@MSGAN","Ngoc-Trung Tran","Singapore University of Technology and Design",2019-11-16,"not available",2019
"Self-supervised GAN: Analysis and Improvement with Multi-class Minimax Game@@@MSGAN","Viet-Hung Tran","Singapore University of Technology and Design",2019-11-16,"not available",2019
"Self-supervised GAN: Analysis and Improvement with Multi-class Minimax Game@@@MSGAN","Bao-Ngoc Nguyen","",2019-11-16,"not available",2019
"Self-supervised GAN: Analysis and Improvement with Multi-class Minimax Game@@@MSGAN","Ngoc-Bao Nguyen","",2019-11-16,"not available",2019
"Self-supervised GAN: Analysis and Improvement with Multi-class Minimax Game@@@MSGAN","Linxiao Yang","University of Electronic Science and Technology of China",2019-11-16,"not available",2019
"Self-supervised GAN: Analysis and Improvement with Multi-class Minimax Game@@@MSGAN","Ngai-Man Cheung","Singapore University of Technology and Design",2019-11-16,"not available",2019
"Learnable Boundary Guided Adversarial Training@@@wideresnet-34-20","Xiaowei Zhou","University of Technology, Sydney",2020-11-23,"not available",2020
"Learnable Boundary Guided Adversarial Training@@@wideresnet-34-20","Ivor W. Tsang","University of Technology, Sydney",2020-11-23,"not available",2020
"Learnable Boundary Guided Adversarial Training@@@wideresnet-34-20","Jie Yin","University of Sydney",2020-11-23,"not available",2020
"Learnable Boundary Guided Adversarial Training@@@wideresnet-34-10","Xiaowei Zhou","University of Technology, Sydney",2020-11-23,"not available",2020
"Learnable Boundary Guided Adversarial Training@@@wideresnet-34-10","Ivor W. Tsang","University of Technology, Sydney",2020-11-23,"not available",2020
"Learnable Boundary Guided Adversarial Training@@@wideresnet-34-10","Jie Yin","University of Sydney",2020-11-23,"not available",2020
"Neural Architecture Transfer@@@NAT-M4","Catherine Wong","Massachusetts Institute of Technology",2020-05-12,"not available",2020
"Neural Architecture Transfer@@@NAT-M4","Neil Houlsby","Google",2020-05-12,"not available",2020
"Neural Architecture Transfer@@@NAT-M4","Yifeng Lu","",2020-05-12,"not available",2020
"Neural Architecture Transfer@@@NAT-M4","Andrea Gesmundo","Google",2020-05-12,"not available",2020
"Neural Architecture Transfer@@@NAT-M3","Catherine Wong","Massachusetts Institute of Technology",2020-05-12,"not available",2020
"Neural Architecture Transfer@@@NAT-M3","Neil Houlsby","Google",2020-05-12,"not available",2020
"Neural Architecture Transfer@@@NAT-M3","Yifeng Lu","",2020-05-12,"not available",2020
"Neural Architecture Transfer@@@NAT-M3","Andrea Gesmundo","Google",2020-05-12,"not available",2020
"Neural Architecture Transfer@@@NAT-M2","Catherine Wong","Massachusetts Institute of Technology",2020-05-12,"not available",2020
"Neural Architecture Transfer@@@NAT-M2","Neil Houlsby","Google",2020-05-12,"not available",2020
"Neural Architecture Transfer@@@NAT-M2","Yifeng Lu","",2020-05-12,"not available",2020
"Neural Architecture Transfer@@@NAT-M2","Andrea Gesmundo","Google",2020-05-12,"not available",2020
"MUXConv: Information Multiplexing in Convolutional Neural Networks@@@MUXNet-m","Zhichao Lu","Michigan State University",2020-03-31,"not available",2020
"MUXConv: Information Multiplexing in Convolutional Neural Networks@@@MUXNet-m","Kalyanmoy Deb","Michigan State University",2020-03-31,"not available",2020
"MUXConv: Information Multiplexing in Convolutional Neural Networks@@@MUXNet-m","Vishnu Naresh Boddeti","Michigan State University",2020-03-31,"not available",2020
"Neural Architecture Transfer@@@NAT-M1","Catherine Wong","Massachusetts Institute of Technology",2020-05-12,"not available",2020
"Neural Architecture Transfer@@@NAT-M1","Neil Houlsby","Google",2020-05-12,"not available",2020
"Neural Architecture Transfer@@@NAT-M1","Yifeng Lu","",2020-05-12,"not available",2020
"Neural Architecture Transfer@@@NAT-M1","Andrea Gesmundo","Google",2020-05-12,"not available",2020
"SCAN: Learning to Classify Images without Labels@@@SCAN","Wouter Van Gansbeke","",2020-05-25,"not available",2020
"SCAN: Learning to Classify Images without Labels@@@SCAN","Simon Vandenhende","",2020-05-25,"not available",2020
"SCAN: Learning to Classify Images without Labels@@@SCAN","Stamatios Georgoulis","",2020-05-25,"not available",2020
"SCAN: Learning to Classify Images without Labels@@@SCAN","Marc Proesmans","",2020-05-25,"not available",2020
"SCAN: Learning to Classify Images without Labels@@@SCAN","Luc Van Gool","",2020-05-25,"not available",2020
"SCAN: Learning to Classify Images without Labels@@@SCAN (Avg)","Wouter Van Gansbeke","",2020-05-25,"not available",2020
"SCAN: Learning to Classify Images without Labels@@@SCAN (Avg)","Simon Vandenhende","",2020-05-25,"not available",2020
"SCAN: Learning to Classify Images without Labels@@@SCAN (Avg)","Stamatios Georgoulis","",2020-05-25,"not available",2020
"SCAN: Learning to Classify Images without Labels@@@SCAN (Avg)","Marc Proesmans","",2020-05-25,"not available",2020
"SCAN: Learning to Classify Images without Labels@@@SCAN (Avg)","Luc Van Gool","",2020-05-25,"not available",2020
"Learning Diverse and Discriminative Representations via the Principle of Maximal Coding Rate Reduction@@@MCR2","Yaodong Yu","",2020-06-15,"not available",2020
"Learning Diverse and Discriminative Representations via the Principle of Maximal Coding Rate Reduction@@@MCR2","Kwan Ho Ryan Chan","",2020-06-15,"not available",2020
"Learning Diverse and Discriminative Representations via the Principle of Maximal Coding Rate Reduction@@@MCR2","Chong You","",2020-06-15,"not available",2020
"Learning Diverse and Discriminative Representations via the Principle of Maximal Coding Rate Reduction@@@MCR2","Chaobing Song","",2020-06-15,"not available",2020
"Learning Diverse and Discriminative Representations via the Principle of Maximal Coding Rate Reduction@@@MCR2","Yi Ma","",2020-06-15,"not available",2020
"Deep Comprehensive Correlation Mining for Image Clustering@@@DCCM","Jianlong Wu","Peking University",2019-04-15,"not available",2019
