title,communities,metric,paper_date,communities_name
Twin Auxilary Classifiers GAN@@@TAC-GAN,19,not available,2019-12-01,"{'Carnegie Mellon University', 'Microsoft', 'University of Melbourne', 'University of Pittsburgh'}"
Self-supervised GAN: Analysis and Improvement with Multi-class Minimax Game@@@MSGAN,11,not available,2019-11-16,"{'University of Electronic Science and Technology of China', 'Singapore University of Technology and Design'}"
Learnable Boundary Guided Adversarial Training@@@wideresnet-34-20,44,not available,2020-11-23,"{'University of Technology, Sydney', 'University of Sydney'}"
Learnable Boundary Guided Adversarial Training@@@wideresnet-34-10,44,not available,2020-11-23,"{'University of Technology, Sydney', 'University of Sydney'}"
Neural Architecture Transfer@@@NAT-M4,4,88.3,2020-05-12,"{'Massachusetts Institute of Technology', 'Google'}"
Neural Architecture Transfer@@@NAT-M3,4,87.7,2020-05-12,"{'Massachusetts Institute of Technology', 'Google'}"
Neural Architecture Transfer@@@NAT-M2,4,87.5,2020-05-12,"{'Massachusetts Institute of Technology', 'Google'}"
MUXConv: Information Multiplexing in Convolutional Neural Networks@@@MUXNet-m,45,86.1,2020-03-31,{'Michigan State University'}
Neural Architecture Transfer@@@NAT-M1,4,86.0,2020-05-12,"{'Massachusetts Institute of Technology', 'Google'}"
SCAN: Learning to Classify Images without Labels@@@SCAN,20,not available,2020-05-25,set()
SCAN: Learning to Classify Images without Labels@@@SCAN (Avg),20,not available,2020-05-25,set()
Learning Diverse and Discriminative Representations via the Principle of Maximal Coding Rate Reduction@@@MCR2,21,not available,2020-06-15,set()
Deep Comprehensive Correlation Mining for Image Clustering@@@DCCM,6,not available,2019-04-15,"{'SenseTime', 'Chinese Academy of Sciences', 'Peking University'}"
Deep Adaptive Image Clustering@@@DAC,22,not available,2017-10-01,{'Chinese Academy of Sciences'}
Unsupervised Deep Embedding for Clustering Analysis@@@DEC,46,not available,2015-11-19,"{'Facebook', 'University of Washington'}"
Auto-Encoding Variational Bayes@@@VAE,28,not available,2013-12-20,"{'University of California, Berkeley'}"
Unsupervised Representation Learning with Deep Convolutional Generative Adversarial Networks@@@GAN,47,not available,2015-11-19,{'Facebook'}
Joint Unsupervised Learning of Deep Representations and Image Clusters@@@JULE,48,not available,2016-04-13,{'Virginia Tech'}
Sharpness-Aware Minimization for Efficiently Improving Generalization@@@EffNet-L2 (SAM),29,96.08,2020-10-03,{'Google'}
Big Transfer (BiT): General Visual Representation Learning@@@BiT-L (ResNet),4,93.51,2019-12-24,"{'Massachusetts Institute of Technology', 'Google'}"
Big Transfer (BiT): General Visual Representation Learning@@@BiT-M (ResNet),4,92.17,2019-12-24,"{'Massachusetts Institute of Technology', 'Google'}"
EfficientNet: Rethinking Model Scaling for Convolutional Neural Networks@@@EfficientNet-B7,1,91.7,2019-05-28,{'Google'}
TResNet: High Performance GPU-Dedicated Architecture@@@TResNet-XL,30,91.5,2020-03-30,set()
GPipe: Efficient Training of Giant Neural Networks using Pipeline Parallelism@@@GPIPE,1,91.3,2018-11-16,{'Google'}
Sharpness-Aware Minimization for Efficiently Improving Generalization@@@PyramidNet (SAM),29,89.7,2020-10-03,{'Google'}
"SplitNet: Divide and Co-training@@@PyramidNet-272, S=4",3,89.46,2020-11-30,{'Alibaba Group'}
AutoAugment: Learning Augmentation Policies from Data@@@PyramidNet+ShakeDrop,1,89.3,2018-05-24,{'Google'}
ColorNet: Investigating the importance of color spaces for image classification@@@ColorNet,49,88.4,2019-02-01,{'Tsinghua University'}
SpinalNet: Deep Neural Network with Gradual Input@@@Wide-ResNet-101 (Spinal FC),7,88.34,2020-07-07,set()
Fast AutoAugment@@@PyramidNet+ShakeDrop (Fast AA),23,88.3,2019-05-01,set()
"SplitNet: Divide and Co-training@@@DenseNet-BC-190, S=4",3,87.44,2020-11-30,{'Alibaba Group'}
"SplitNet: Divide and Co-training@@@WRN-40-10, S=4",3,86.90,2020-11-30,{'Alibaba Group'}
CutMix: Regularization Strategy to Train Strong Classifiers with Localizable Features@@@PyramidNet-200 + Shakedrop + Cutmix,12,86.19,2019-05-13,"{'Naver Corporation', 'Yonsei University'}"
"SplitNet: Divide and Co-training@@@WRN-28-10, S=4",3,85.74,2020-11-30,{'Alibaba Group'}
Squeeze-and-Excitation Networks@@@SENet + ShakeEven + Cutout,50,84.59,2017-09-05,{'University of Oxford'}
Averaging Weights Leads to Wider Optima and Better Generalization@@@PyramidNet-272 + SWA,13,84.16,2018-03-14,"{'Moscow State University', 'Cornell University', 'National Research University – Higher School of Economics'}"
Puzzle Mix: Exploiting Saliency and Local Statistics for Optimal Mixup@@@WRN28-10,31,84.05,2020-09-15,{'Seoul National University'}
FMix: Enhancing Mixed Sample Data Augmentation@@@DenseNet-BC-190 + FMix,14,83.95,2020-02-27,{'University of Southampton'}
Grafit: Learning fine-grained image representations with coarse labels@@@Grafit (ResNet-50),51,83.7,2020-11-25,"{'Microsoft', 'University of Science and Technology of China'}"
