institution,counter
The Chinese University of Hong Kong,96
Google,142
Tsinghua University,99
Cornell University,91
National University of Singapore,90
Huazhong University of Science and Technology,90
Xi'an Jiaotong University,89
Facebook,93
"University of California, Los Angeles",95
Johns Hopkins University,120
"University of California, San Diego",89
University of Oxford,94
Microsoft,103
Michigan State University,12
Massachusetts Institute of Technology,11
Xiaomi,9
SenseTime,9
University of Illinois at Urbana–Champaign,7
Beijing University of Posts and Telecommunications,7
Tongji University,6
University of Central Florida,6
Shanghai Jiao Tong University,9
University of Texas at San Antonio,6
Huawei,8
Beihang University,6
"University of California, Berkeley",4
Princeton University,2
Carnegie Mellon University,56
University College London,49
University of Michigan,49
Stanford University,49
University of Southern California,49
University of Cincinnati,49
University of North Carolina at Chapel Hill,49
New York University,49
Courant Institute of Mathematical Sciences,49
University of Texas at Austin,1
Amazon.com,3
Naver Corporation,3
Alibaba Group,2
Beijing Institute of Technology,11
National University of Defense Technology,11
"University of California, Merced",2
Nankai University,2
Yonsei University,2
National Chiao Tung University,1
Academia Sinica,1
University of Science and Technology of China,4
Association for Computing Machinery,2
Harbin Institute of Technology,7
Chinese Academy of Sciences,4
Nanjing University,3
National Research University – Higher School of Economics,2
Moscow State University,2
Tianjin University,4
Dalian University of Technology,4
Nanjing University of Science and Technology,1
Sun Yat-sen University,6
Seoul National University,3
Samsung,1
Toyota Technological Institute at Chicago,1
University of Chicago,1
Uber ,1
Allen Institute for Artificial Intelligence,3
University of Washington,3
University of Toronto,1
"University of Technology, Sydney",1
Qualcomm,2
Iowa State University,1
