number,name
1,"('Google', 45)&('Courant Institute of Mathematical Sciences', 5)&('New York University', 2)&('University of Southern California', 2)&('Carnegie Mellon University', 2)&('University of North Carolina at Chapel Hill', 1)&('University of Cincinnati', 1)&('University College London', 1)&('Stanford University', 1)&('University of Michigan', 1)&('Johns Hopkins University', 1)"
2,"('Facebook', 11)&('The Chinese University of Hong Kong', 5)&('Microsoft', 3)&('Google', 3)&('Tsinghua University', 3)&('University of Oxford', 2)&('Cornell University', 2)&(""Xi'an Jiaotong University"", 1)&('National University of Singapore', 1)&('Huazhong University of Science and Technology', 1)&('University of California, Los Angeles', 1)&('University of California, San Diego', 1)&('Johns Hopkins University', 1)"
3,"('Google', 8)&('Massachusetts Institute of Technology', 1)"
4,"('Huawei', 4)&('Shanghai Jiao Tong University', 2)&('Beihang University', 2)&('University of Texas at San Antonio', 1)&('Tongji University', 1)&('University of Central Florida', 1)"
5,"('Amazon.com', 6)"
6,"('Facebook', 6)&('University of California, Berkeley', 2)&('Princeton University', 1)"
7,"('Google', 13)"
8,"('Alibaba Group', 12)"
9,"('Tsinghua University', 2)&('The Chinese University of Hong Kong', 2)&('Beijing University of Posts and Telecommunications', 1)&('SenseTime', 1)&('University of Illinois at Urbana–Champaign', 1)"
10,"('Facebook', 5)&('National University of Singapore', 4)&('National University of Defense Technology', 1)&('Beijing Institute of Technology', 1)"
11,
12,"('Chinese Academy of Sciences', 8)"
13,"('University of Washington', 5)&('Allen Institute for Artificial Intelligence', 3)"
14,"('Harbin Institute of Technology', 3)&('University of Science and Technology of China', 1)&('Microsoft', 1)&('Chinese Academy of Sciences', 1)&('Association for Computing Machinery', 1)"
15,
16,"('Uber ', 7)"
17,"('Microsoft', 4)&('University of California, Berkeley', 1)&('University of Science and Technology of China', 1)&('Tsinghua University', 1)"
18,"('Carnegie Mellon University', 3)&('Microsoft', 3)&('Harbin Institute of Technology', 1)"
19,"('Xiaomi', 5)"
20,"('Microsoft', 1)"
21,"('Massachusetts Institute of Technology', 3)&('Shanghai Jiao Tong University', 1)"
22,"('Nankai University', 4)&('University of California, Merced', 1)&('University of Oxford', 1)"
23,"('Naver Corporation', 4)&('Yonsei University', 1)"
24,"('Academia Sinica', 3)&('National Chiao Tung University', 2)"
25,"('National Research University – Higher School of Economics', 3)&('Cornell University', 2)&('Moscow State University', 1)"
26,"('Tianjin University', 3)&('Harbin Institute of Technology', 1)&('Dalian University of Technology', 1)"
27,"('Huazhong University of Science and Technology', 2)&('Samsung', 1)"
28,"('Microsoft', 6)"
29,"('Chinese Academy of Sciences', 1)"
30,"('Sun Yat-sen University', 2)&('University of California, Los Angeles', 1)"
31,"('Michigan State University', 5)"
32,
33,
34,"('University of Texas at Austin', 2)"
35,
36,
37,"('Google', 3)&('Carnegie Mellon University', 2)"
38,"('Qualcomm', 4)&('Seoul National University', 1)"
39,"('Google', 4)"
40,"('Google', 4)"
41,
42,"('Huawei', 4)"
43,"('SenseTime', 3)"
44,
45,"('Seoul National University', 4)"
46,"('University of Oxford', 2)&('Google', 1)&('Carnegie Mellon University', 1)"
47,"('Naver Corporation', 1)"
48,
49,"('Tsinghua University', 3)"
50,"('Nanjing University', 3)"
51,"('Nanjing University of Science and Technology', 1)"
52,
53,"('Toyota Technological Institute at Chicago', 2)&('University of Chicago', 1)"
54,"('University of Toronto', 3)"
55,
56,"('Iowa State University', 3)"
57,
58,"('Facebook', 1)"
59,"('University of Technology, Sydney', 2)"
60,
61,"('Google', 1)"
