"communities","year","papers","results","authors","SOTA"
"1",2013,4,4,9,2
"1",2014,1,1,9,1
"1",2015,2,2,5,2
"1",2016,1,1,4,1
"1",2017,2,2,12,1
"1",2018,4,4,22,2
"1",2019,13,13,13,2
"1",2020,1,1,7,NA
"1",2021,2,2,5,NA
"1+2",2017,1,1,10,1
"1+2",2018,3,3,7,NA
"1+2",2019,14,14,16,2
"1+6",2018,1,1,10,1
"10",2019,1,1,9,1
"10+2",2017,10,10,6,1
"11",2020,4,4,10,1
"12",2019,1,1,9,1
"13",2018,1,1,4,1
"13",2019,2,2,7,1
"14",2020,1,1,3,1
"15",2020,1,1,4,1
"16",2018,1,1,7,1
"17",2019,2,2,7,2
"18",2019,1,1,7,1
"19",2019,5,5,5,2
"2",2014,2,2,4,1
"2",2015,3,3,4,1
"2",2016,6,6,12,2
"2",2017,1,1,4,NA
"2",2018,4,4,12,1
"2",2019,21,21,20,1
"2",2020,17,17,17,1
"21",2018,1,1,3,1
"22",2019,2,2,6,1
"23",2019,2,2,6,1
"24",2019,1,1,6,1
"25",2018,2,2,6,1
"26",2019,4,4,6,1
"27",2019,1,1,6,1
"28",2019,3,3,6,1
"29",2019,1,1,6,1
"3",2019,2,2,7,1
"3",2020,3,3,15,1
"30",2019,1,1,3,1
"31",2020,4,4,3,1
"34",2020,1,1,5,1
"35",2019,2,2,5,1
"36",2020,1,1,5,1
"37",2017,1,1,4,1
"37",2019,2,2,2,NA
"4",2019,3,3,9,2
"4",2020,2,2,6,1
"40",2020,2,2,4,1
"41",2020,1,1,4,1
"42",2019,2,2,4,1
"43",2019,2,2,4,1
"44",2020,1,1,4,1
"45",2020,1,1,4,1
"46",2014,2,2,2,1
"47",2020,1,1,3,1
"48",2020,1,1,3,1
"49",2019,1,1,3,1
"5",2018,1,1,6,1
"5",2020,2,2,12,1
"50",2019,3,3,3,1
"51",2019,1,1,3,1
"52",2019,1,1,3,1
"53",2016,1,1,3,1
"54",2012,1,1,3,1
"57",2016,1,1,2,1
"58",2019,1,1,2,1
"60",2019,1,1,1,1
"61",2016,1,1,1,1
"7",2019,1,1,13,1
"8",2020,2,2,12,1
"9",2017,1,1,8,1
"9",2020,3,3,6,NA
