"author","community"
"Xuefei Ning","32"
"Yin Zheng","32"
"Tianchen Zhao","32"
"Yu Wang","32"
"Huazhong Yang","32"
"Guangrun Wang","30"
"Keze Wang","30"
"Liang Lin","30"
"Xinyu Zhang","42"
"Qiang Wang","42"
"Jian Zhang","42"
"Zhao Zhong","42"
"Xinyu Zhang","42"
"Qiang Wang","42"
"Jian Zhang","42"
"Zhao Zhong","42"
"Cihang Xie","1+2"
"Mingxing Tan","1+2"
"Boqing Gong","1+2"
"Jiang Wang","1+2"
"Alan L. Yuille","1+2"
"Quoc V. Le","1+2"
"Cihang Xie","1+2"
"Mingxing Tan","1+2"
"Boqing Gong","1+2"
"Jiang Wang","1+2"
"Alan L. Yuille","1+2"
"Quoc V. Le","1+2"
"Saining Xie","2"
"Ross Girshick","2"
"Piotr Dollar","2"
"Zhuowen Tu","2"
"Kaiming He","2"
"Linnan Wang","6"
"Yiyang Zhao","6"
"Yuu Jinnai","6"
"Yuandong Tian","6"
"Rodrigo Fonseca","6"
"Alexey Dosovitskiy","3"
"Lucas Beyer","3"
"Alexander Kolesnikov","3"
"Dirk Weissenborn","3"
"Xiaohua Zhai","3"
"Thomas Unterthiner","3"
"Mostafa Dehghani","3"
"Matthias Minderer","3"
"Georg Heigold","3"
"Sylvain Gelly","3"
"Jakob Uszkoreit","3"
"Neil Houlsby","3"
"Alexey Dosovitskiy","3"
"Lucas Beyer","3"
"Alexander Kolesnikov","3"
"Dirk Weissenborn","3"
"Xiaohua Zhai","3"
"Thomas Unterthiner","3"
"Mostafa Dehghani","3"
"Matthias Minderer","3"
"Georg Heigold","3"
"Sylvain Gelly","3"
"Jakob Uszkoreit","3"
"Neil Houlsby","3"
"Rosanne Liu","16"
"Joel Lehman","16"
"Piero Molino","16"
"Felipe Petroski Such","16"
"Eric Frank","16"
"Alex Sergeev","16"
"Jason Yosinski","16"
"Irwan Bello","1"
"Barret Zoph","1"
"Quoc V. Le","1"
"Ashish Vaswani","1"
"Jonathon Shlens","1"
"Yimian Dai","36"
"Fabian Gieseke","36"
"Stefan Oehmcke","36"
"Yiquan Wu","36"
"Kobus Barnard","36"
"Yu-Tong Wang","2"
"Yi Wang","2"
"Ying-Cong Chen","2"
"Xiangyu Zhang","2"
"Jian Sun","2"
"Jiaya Jia","2"
"Pavel Izmailov","25"
"Dmitrii Podoprikhin","25"
"D. A. Podoprikhin","25"
"Timur Garipov","25"
"Dmitry Vetrov","25"
"Andrew Gordon Wilson","25"
"Pavel Izmailov","25"
"Dmitrii Podoprikhin","25"
"D. A. Podoprikhin","25"
"Timur Garipov","25"
"Dmitry Vetrov","25"
"Andrew Gordon Wilson","25"
"Tong He","5"
"Zhi Zhang","5"
"Hang Zhang","5"
"Zhongyue Zhang","5"
"Junyuan Xie","5"
"Mu Li","5"
"Mingzhu Shen","4"
"Xianglong Liu","4"
"Ruihao Gong","4"
"Kai Han","4"
"Yunhe Wang","4"
"Chang Xu","4"
"Mingzhu Shen","4"
"Xianglong Liu","4"
"Ruihao Gong","4"
"Kai Han","4"
"Yunhe Wang","4"
"Chang Xu","4"
"Sergey Ioffe","1"
"Christian Szegedy","1"
"Alexander Kolesnikov","3"
"Lucas Beyer","3"
"Xiaohua Zhai","3"
"Joan Puigcerver","3"
"Jessica Yung","3"
"Sylvain Gelly","3"
"Neil Houlsby","3"
"Alexander Kolesnikov","3"
"Lucas Beyer","3"
"Xiaohua Zhai","3"
"Joan Puigcerver","3"
"Jessica Yung","3"
"Sylvain Gelly","3"
"Neil Houlsby","3"
"I. Zeki Yalniz","2"
"Hervé Jégou","2"
"Kan Chen","2"
"Manohar Paluri","2"
"Dhruv Mahajan","2"
"I. Zeki Yalniz","2"
"Hervé Jégou","2"
"Kan Chen","2"
"Manohar Paluri","2"
"Dhruv Mahajan","2"
"I. Zeki Yalniz","2"
"Hervé Jégou","2"
"Kan Chen","2"
"Manohar Paluri","2"
"Dhruv Mahajan","2"
"I. Zeki Yalniz","2"
"Hervé Jégou","2"
