"title","authors","affiliations","paper_date","metric","year"
"Feature Denoising for Improving Adversarial Robustness@@@Feature Denoising","Cihang Xie","Johns Hopkins University",2018-12-09,"not available",2018
"Feature Denoising for Improving Adversarial Robustness@@@Feature Denoising","Yuxin Wu","Facebook",2018-12-09,"not available",2018
"Feature Denoising for Improving Adversarial Robustness@@@Feature Denoising","Laurens van der Maaten","Facebook",2018-12-09,"not available",2018
"Feature Denoising for Improving Adversarial Robustness@@@Feature Denoising","Alan L. Yuille","Johns Hopkins University",2018-12-09,"not available",2018
"Feature Denoising for Improving Adversarial Robustness@@@Feature Denoising","Kaiming He","Facebook",2018-12-09,"not available",2018
"Neural Architecture Transfer@@@NAT-M4","","",2020-05-12,"not available",2020
"NSGANetV2: Evolutionary Multi-Objective Surrogate-Assisted Neural Architecture Search@@@NSGANetV2-xl","Zhichao Lu","Michigan State University",2020-07-20,"not available",2020
"NSGANetV2: Evolutionary Multi-Objective Surrogate-Assisted Neural Architecture Search@@@NSGANetV2-xl","Kalyanmoy Deb","Michigan State University",2020-07-20,"not available",2020
"NSGANetV2: Evolutionary Multi-Objective Surrogate-Assisted Neural Architecture Search@@@NSGANetV2-xl","Erik D. Goodman","Michigan State University",2020-07-20,"not available",2020
"NSGANetV2: Evolutionary Multi-Objective Surrogate-Assisted Neural Architecture Search@@@NSGANetV2-xl","Wolfgang Banzhaf","Michigan State University",2020-07-20,"not available",2020
"NSGANetV2: Evolutionary Multi-Objective Surrogate-Assisted Neural Architecture Search@@@NSGANetV2-xl","Vishnu Naresh Boddeti","Michigan State University",2020-07-20,"not available",2020
"Neural Architecture Transfer@@@NAT-M3","Catherine Wong","Massachusetts Institute of Technology",2020-05-12,"not available",2020
"Neural Architecture Transfer@@@NAT-M3","Neil Houlsby","Google",2020-05-12,"not available",2020
"Neural Architecture Transfer@@@NAT-M3","Yifeng Lu","",2020-05-12,"not available",2020
"Neural Architecture Transfer@@@NAT-M3","Andrea Gesmundo","Google",2020-05-12,"not available",2020
"NSGANetV2: Evolutionary Multi-Objective Surrogate-Assisted Neural Architecture Search@@@NSGANetV2-l","Zhichao Lu","Michigan State University",2020-07-20,"not available",2020
"NSGANetV2: Evolutionary Multi-Objective Surrogate-Assisted Neural Architecture Search@@@NSGANetV2-l","Kalyanmoy Deb","Michigan State University",2020-07-20,"not available",2020
"NSGANetV2: Evolutionary Multi-Objective Surrogate-Assisted Neural Architecture Search@@@NSGANetV2-l","Erik D. Goodman","Michigan State University",2020-07-20,"not available",2020
"NSGANetV2: Evolutionary Multi-Objective Surrogate-Assisted Neural Architecture Search@@@NSGANetV2-l","Wolfgang Banzhaf","Michigan State University",2020-07-20,"not available",2020
"NSGANetV2: Evolutionary Multi-Objective Surrogate-Assisted Neural Architecture Search@@@NSGANetV2-l","Vishnu Naresh Boddeti","Michigan State University",2020-07-20,"not available",2020
"Neural Architecture Transfer@@@NAT-M2","Catherine Wong","Massachusetts Institute of Technology",2020-05-12,"not available",2020
"Neural Architecture Transfer@@@NAT-M2","Neil Houlsby","Google",2020-05-12,"not available",2020
"Neural Architecture Transfer@@@NAT-M2","Yifeng Lu","",2020-05-12,"not available",2020
"Neural Architecture Transfer@@@NAT-M2","Andrea Gesmundo","Google",2020-05-12,"not available",2020
"NSGANetV2: Evolutionary Multi-Objective Surrogate-Assisted Neural Architecture Search@@@NSGANetV2-m","Zhichao Lu","Michigan State University",2020-07-20,"not available",2020
"NSGANetV2: Evolutionary Multi-Objective Surrogate-Assisted Neural Architecture Search@@@NSGANetV2-m","Kalyanmoy Deb","Michigan State University",2020-07-20,"not available",2020
"NSGANetV2: Evolutionary Multi-Objective Surrogate-Assisted Neural Architecture Search@@@NSGANetV2-m","Erik D. Goodman","Michigan State University",2020-07-20,"not available",2020
"NSGANetV2: Evolutionary Multi-Objective Surrogate-Assisted Neural Architecture Search@@@NSGANetV2-m","Wolfgang Banzhaf","Michigan State University",2020-07-20,"not available",2020
"NSGANetV2: Evolutionary Multi-Objective Surrogate-Assisted Neural Architecture Search@@@NSGANetV2-m","Vishnu Naresh Boddeti","Michigan State University",2020-07-20,"not available",2020
"Noisy Differentiable Architecture Search@@@NoisyDARTS-A","Xiangxiang Chu","Xiaomi",2020-05-07,"not available",2020
"Noisy Differentiable Architecture Search@@@NoisyDARTS-A","Bo Zhang","Xiaomi",2020-05-07,"not available",2020
"Noisy Differentiable Architecture Search@@@NoisyDARTS-A","Xudong Li","",2020-05-07,"not available",2020
"Neural Architecture Search for Lightweight Non-Local Networks@@@AutoNL-L","Yingwei Li","Johns Hopkins University",2020-04-04,"not available",2020
"Neural Architecture Search for Lightweight Non-Local Networks@@@AutoNL-L","Xiaojie Jin","National University of Singapore",2020-04-04,"not available",2020
"Neural Architecture Search for Lightweight Non-Local Networks@@@AutoNL-L","Jieru Mei","Johns Hopkins University",2020-04-04,"not available",2020
"Neural Architecture Search for Lightweight Non-Local Networks@@@AutoNL-L","Xiaochen Lian","University of California, Los Angeles",2020-04-04,"not available",2020
"Neural Architecture Search for Lightweight Non-Local Networks@@@AutoNL-L","Linjie Yang","The Chinese University of Hong Kong",2020-04-04,"not available",2020
"Neural Architecture Search for Lightweight Non-Local Networks@@@AutoNL-L","Cihang Xie","Johns Hopkins University",2020-04-04,"not available",2020
"Neural Architecture Search for Lightweight Non-Local Networks@@@AutoNL-L","Qihang Yu","Johns Hopkins University",2020-04-04,"not available",2020
"Neural Architecture Search for Lightweight Non-Local Networks@@@AutoNL-L","Yuyin Zhou","Johns Hopkins University",2020-04-04,"not available",2020
"Neural Architecture Search for Lightweight Non-Local Networks@@@AutoNL-L","Song Bai","Huazhong University of Science and Technology",2020-04-04,"not available",2020
"Neural Architecture Search for Lightweight Non-Local Networks@@@AutoNL-L","Alan L. Yuille","Johns Hopkins University",2020-04-04,"not available",2020
"Neural Architecture Transfer@@@NAT-M1","Catherine Wong","Massachusetts Institute of Technology",2020-05-12,"not available",2020
"Neural Architecture Transfer@@@NAT-M1","Neil Houlsby","Google",2020-05-12,"not available",2020
"Neural Architecture Transfer@@@NAT-M1","Yifeng Lu","",2020-05-12,"not available",2020
"Neural Architecture Transfer@@@NAT-M1","Andrea Gesmundo","Google",2020-05-12,"not available",2020
"NSGANetV2: Evolutionary Multi-Objective Surrogate-Assisted Neural Architecture Search@@@NSGANetV2-s","Zhichao Lu","Michigan State University",2020-07-20,"not available",2020
"NSGANetV2: Evolutionary Multi-Objective Surrogate-Assisted Neural Architecture Search@@@NSGANetV2-s","Kalyanmoy Deb","Michigan State University",2020-07-20,"not available",2020
"NSGANetV2: Evolutionary Multi-Objective Surrogate-Assisted Neural Architecture Search@@@NSGANetV2-s","Erik D. Goodman","Michigan State University",2020-07-20,"not available",2020
"NSGANetV2: Evolutionary Multi-Objective Surrogate-Assisted Neural Architecture Search@@@NSGANetV2-s","Wolfgang Banzhaf","Michigan State University",2020-07-20,"not available",2020
"NSGANetV2: Evolutionary Multi-Objective Surrogate-Assisted Neural Architecture Search@@@NSGANetV2-s","Vishnu Naresh Boddeti","Michigan State University",2020-07-20,"not available",2020
"GreedyNAS: Towards Fast One-Shot NAS with Greedy Supernet@@@GreedyNAS-A","Shan You","SenseTime",2020-03-25,"not available",2020
"GreedyNAS: Towards Fast One-Shot NAS with Greedy Supernet@@@GreedyNAS-A","Tao Huang","",2020-03-25,"not available",2020
"GreedyNAS: Towards Fast One-Shot NAS with Greedy Supernet@@@GreedyNAS-A","Mingmin Yang","",2020-03-25,"not available",2020
"GreedyNAS: Towards Fast One-Shot NAS with Greedy Supernet@@@GreedyNAS-A","Fei Wang","Yale University",2020-03-25,"not available",2020
"GreedyNAS: Towards Fast One-Shot NAS with Greedy Supernet@@@GreedyNAS-A","Chen Qian","",2020-03-25,"not available",2020
"GreedyNAS: Towards Fast One-Shot NAS with Greedy Supernet@@@GreedyNAS-A","Changshui Zhang","Tsinghua University",2020-03-25,"not available",2020
"SCARLET-NAS: Bridging the gap between Stability and Scalability in Weight-sharing Neural Architecture Search@@@SCARLET-A","Xiangxiang Chu","Xiaomi",2019-08-16,"not available",2019
"SCARLET-NAS: Bridging the gap between Stability and Scalability in Weight-sharing Neural Architecture Search@@@SCARLET-A","Bo Zhang","",2019-08-16,"not available",2019
"SCARLET-NAS: Bridging the gap between Stability and Scalability in Weight-sharing Neural Architecture Search@@@SCARLET-A","Li Jixiang","Xiaomi",2019-08-16,"not available",2019
"SCARLET-NAS: Bridging the gap between Stability and Scalability in Weight-sharing Neural Architecture Search@@@SCARLET-A","Li Qingyuan","Xiaomi",2019-08-16,"not available",2019
"SCARLET-NAS: Bridging the gap between Stability and Scalability in Weight-sharing Neural Architecture Search@@@SCARLET-A","Xu Ruijun","Xiaomi",2019-08-16,"not available",2019
"GreedyNAS: Towards Fast One-Shot NAS with Greedy Supernet@@@GreedyNAS-B","Shan You","Tsinghua University",2020-03-25,"not available",2020
"GreedyNAS: Towards Fast One-Shot NAS with Greedy Supernet@@@GreedyNAS-B","Tao Huang","",2020-03-25,"not available",2020
"GreedyNAS: Towards Fast One-Shot NAS with Greedy Supernet@@@GreedyNAS-B","Mingmin Yang","",2020-03-25,"not available",2020
"GreedyNAS: Towards Fast One-Shot NAS with Greedy Supernet@@@GreedyNAS-B","Fei Wang","",2020-03-25,"not available",2020
"GreedyNAS: Towards Fast One-Shot NAS with Greedy Supernet@@@GreedyNAS-B","Chen Qian","",2020-03-25,"not available",2020
"GreedyNAS: Towards Fast One-Shot NAS with Greedy Supernet@@@GreedyNAS-B","Changshui Zhang","Tsinghua University",2020-03-25,"not available",2020
"MUXConv: Information Multiplexing in Convolutional Neural Networks@@@MUXNet-l","Zhichao Lu","Michigan State University",2020-03-31,"not available",2020
"MUXConv: Information Multiplexing in Convolutional Neural Networks@@@MUXNet-l","Kalyanmoy Deb","Michigan State University",2020-03-31,"not available",2020
"MUXConv: Information Multiplexing in Convolutional Neural Networks@@@MUXNet-l","Vishnu Naresh Boddeti","Michigan State University",2020-03-31,"not available",2020
"Neural Architecture Search with GBDT@@@GBDT-NAS-3S","Renqian Luo","University of Science and Technology of China",2020-07-09,"not available",2020
"Neural Architecture Search with GBDT@@@GBDT-NAS-3S","Xu Tan","Microsoft",2020-07-09,"not available",2020
"Neural Architecture Search with GBDT@@@GBDT-NAS-3S","Rui Wang","Microsoft",2020-07-09,"not available",2020
"Neural Architecture Search with GBDT@@@GBDT-NAS-3S","Tao Qin","Microsoft",2020-07-09,"not available",2020
"Neural Architecture Search with GBDT@@@GBDT-NAS-3S","Enhong Chen","University of Science and Technology of China",2020-07-09,"not available",2020
"Neural Architecture Search with GBDT@@@GBDT-NAS-3S","Tie-Yan Liu","Microsoft",2020-07-09,"not available",2020
"Semi-Supervised Neural Architecture Search@@@SemiNAS","Renqian Luo","",2020-02-24,"not available",2020
"Semi-Supervised Neural Architecture Search@@@SemiNAS","Xu Tan","",2020-02-24,"not available",2020
"Semi-Supervised Neural Architecture Search@@@SemiNAS","Rui Wang","",2020-02-24,"not available",2020
"Semi-Supervised Neural Architecture Search@@@SemiNAS","Tao Qin","Microsoft",2020-02-24,"not available",2020
"Semi-Supervised Neural Architecture Search@@@SemiNAS","Enhong Chen","",2020-02-24,"not available",2020
"Semi-Supervised Neural Architecture Search@@@SemiNAS","Tie-Yan Liu","",2020-02-24,"not available",2020
"Neural Architecture Search for Lightweight Non-Local Networks@@@AutoNL-S","Yingwei Li","Johns Hopkins University",2020-04-04,"not available",2020
"Neural Architecture Search for Lightweight Non-Local Networks@@@AutoNL-S","Xiaojie Jin","National University of Singapore",2020-04-04,"not available",2020
"Neural Architecture Search for Lightweight Non-Local Networks@@@AutoNL-S","Jieru Mei","Johns Hopkins University",2020-04-04,"not available",2020
"Neural Architecture Search for Lightweight Non-Local Networks@@@AutoNL-S","Xiaochen Lian","University of California, Los Angeles",2020-04-04,"not available",2020
"Neural Architecture Search for Lightweight Non-Local Networks@@@AutoNL-S","Linjie Yang","The Chinese University of Hong Kong",2020-04-04,"not available",2020
"Neural Architecture Search for Lightweight Non-Local Networks@@@AutoNL-S","Cihang Xie","Johns Hopkins University",2020-04-04,"not available",2020
"Neural Architecture Search for Lightweight Non-Local Networks@@@AutoNL-S","Qihang Yu","Johns Hopkins University",2020-04-04,"not available",2020
"Neural Architecture Search for Lightweight Non-Local Networks@@@AutoNL-S","Yuyin Zhou","Johns Hopkins University",2020-04-04,"not available",2020
"Neural Architecture Search for Lightweight Non-Local Networks@@@AutoNL-S","Song Bai","Huazhong University of Science and Technology",2020-04-04,"not available",2020
"Neural Architecture Search for Lightweight Non-Local Networks@@@AutoNL-S","Alan L. Yuille","Johns Hopkins University",2020-04-04,"not available",2020
"SCARLET-NAS: Bridging the gap between Stability and Scalability in Weight-sharing Neural Architecture Search@@@SCARLET-B","Xiangxiang Chu","Xiaomi",2019-08-16,"not available",2019
"SCARLET-NAS: Bridging the gap between Stability and Scalability in Weight-sharing Neural Architecture Search@@@SCARLET-B","Bo Zhang","Xiaomi",2019-08-16,"not available",2019
"SCARLET-NAS: Bridging the gap between Stability and Scalability in Weight-sharing Neural Architecture Search@@@SCARLET-B","Li Jixiang","Xiaomi",2019-08-16,"not available",2019
"SCARLET-NAS: Bridging the gap between Stability and Scalability in Weight-sharing Neural Architecture Search@@@SCARLET-B","Li Qingyuan","Xiaomi",2019-08-16,"not available",2019
"SCARLET-NAS: Bridging the gap between Stability and Scalability in Weight-sharing Neural Architecture Search@@@SCARLET-B","Xu Ruijun","Xiaomi",2019-08-16,"not available",2019
"GreedyNAS: Towards Fast One-Shot NAS with Greedy Supernet@@@GreedyNAS-C","Shan You","Tsinghua University",2020-03-25,"not available",2020
"GreedyNAS: Towards Fast One-Shot NAS with Greedy Supernet@@@GreedyNAS-C","Tao Huang","",2020-03-25,"not available",2020
"GreedyNAS: Towards Fast One-Shot NAS with Greedy Supernet@@@GreedyNAS-C","Mingmin Yang","",2020-03-25,"not available",2020
"GreedyNAS: Towards Fast One-Shot NAS with Greedy Supernet@@@GreedyNAS-C","Fei Wang","",2020-03-25,"not available",2020
"GreedyNAS: Towards Fast One-Shot NAS with Greedy Supernet@@@GreedyNAS-C","Chen Qian","",2020-03-25,"not available",2020
"GreedyNAS: Towards Fast One-Shot NAS with Greedy Supernet@@@GreedyNAS-C","Changshui Zhang","Tsinghua University",2020-03-25,"not available",2020
"A Generic Graph-based Neural Architecture Encoding Scheme for Predictor-based NAS@@@GATES","Xuefei Ning","",2020-04-04,"not available",2020
