institution,counter
Télécom ParisTech,5
Lawrence Livermore National Laboratory,20
Carnegie Mellon University,41
Google,73
Canadian Institute for Advanced Research,20
"University of California, Berkeley",30
Facebook,41
Université de Montréal,36
OpenAI,22
University of Bremen,20
University of Toronto,23
École Polytechnique de Montréal,17
Microsoft,29
Jewish General Hospital,17
Massachusetts Institute of Technology,48
Aalto University,17
Sharif University of Technology,17
Stanford University,26
East China Normal University,6
Shanghai Jiao Tong University,9
Cornell University,7
Salesforce.com,4
National Research University – Higher School of Economics,4
Moscow State University,4
Singapore University of Technology and Design,2
University of Electronic Science and Technology of China,2
Tel Aviv University,1
Nvidia,7
D-Wave Systems,6
University of Chicago,9
University of Illinois at Urbana–Champaign,10
Texas A&M University,1
Huazhong University of Science and Technology,1
IBM,2
Saarland University,1
University of Michigan,2
Heriot-Watt University,1
Johannes Kepler University of Linz,20
"University of California, Los Angeles",21
University of Freiburg,20
Bosch,1
Australian National University,2
University of Melbourne,1
RMIT University,1
National and Kapodistrian University of Athens,1
Imperial College London,2
Baidu,5
University of Oxford,6
National Institute of Informatics,1
Kyoto University,1
Ritsumeikan University,1
University College London,1
Peking University,2
"University of California, Merced",1
Tsinghua University,12
Xiaomi,6
Adobe Systems,2
Virginia Tech,2
Mitsubishi Electric Research Laboratories,1
Ghent University,6
Technical University of Denmark,2
Delhi Technological University,2
University of Tübingen,1
University of Canberra,1
Michigan State University,2
Leibniz University of Hanover,1
King Abdullah University of Science and Technology,1
Intel,4
"University of Technology, Sydney",4
Huawei,3
Tongji University,3
Federal University of Rio de Janeiro,3
"University of California, San Diego",6
ShanghaiTech University,2
"Agency for Science, Technology and Research",2
MediaTek,2
University of Macau,2
SenseTime,1
Chinese Academy of Sciences,2
Xidian University,1
University of Pittsburgh,1
University of Washington,3
Alibaba Group,4
University of Southampton,1
"Trinity College, Dublin",1
University of Coimbra,1
Yonsei University,2
Naver Corporation,2
KAIST,2
University of Sydney,2
University of South Australia,2
Nanjing University,1
Nanjing University of Science and Technology,1
University of Warwick,2
Columbia University,1
University of Notre Dame,1
Beijing University of Posts and Telecommunications,1
Pace University,1
Czech Technical University in Prague,1
Sun Yat-sen University,1
École Polytechnique Fédérale de Lausanne,1
Université de Sherbrooke,3
Lawrence Berkeley National Laboratory,3
Harvard University,3
New York University,3
University of Adelaide,2
"University of California, Irvine",1
Dalle Molle Institute for Artificial Intelligence Research,3
University of Virginia,1
Louisiana State University,1
Princeton University,1
China University of Geosciences,1
University of Southern California,1
Oregon State University,3
University of the Witwatersrand,3
