"communities","year","papers","results","authors","SOTA"
"1",2017,1,1,5,1
"1",2018,1,1,1,NA
"1",2020,1,1,4,NA
"100",2020,1,1,1,1
"12",2019,1,1,3,1
"18",2018,1,1,3,1
"18",2019,1,1,6,NA
"2",2019,1,1,6,1
"2",2020,2,2,3,NA
"3",2017,1,1,5,1
"3",2018,2,2,10,1
"32",2020,5,5,5,1
"33",2019,1,1,5,1
"43",2019,1,1,4,1
"44",2019,1,1,4,1
"45",2018,1,1,4,1
"46",2018,1,1,4,1
"47",2019,1,1,4,1
"5",2020,4,4,13,2
"63",2018,1,1,3,1
"64",2018,1,1,3,1
"65",2019,1,1,3,1
"67",2019,1,1,2,1
"67",2020,1,1,2,NA
"7",2020,3,3,6,2
"83",2019,1,1,2,1
"84",2019,1,1,2,1
"85",2019,1,1,2,1
"86",2019,1,1,2,1
"9",2020,2,2,8,2
