"title","authors","affiliations","paper_date","metric","year"
"Score-Based Generative Modeling through Stochastic Differential Equations@@@NCSN++ cont. (8 blocks/resolution)","Antoine Liutkus","",2020-11-26,"2.2",2020
"Score-Based Generative Modeling through Stochastic Differential Equations@@@NCSN++ cont. (8 blocks/resolution)","Umut Simsekli","Télécom ParisTech",2020-11-26,"2.2",2020
"Score-Based Generative Modeling through Stochastic Differential Equations@@@NCSN++ cont. (8 blocks/resolution)","Szymon Majewski","",2020-11-26,"2.2",2020
"Score-Based Generative Modeling through Stochastic Differential Equations@@@NCSN++ cont. (8 blocks/resolution)","Alain Durmus","",2020-11-26,"2.2",2020
"Score-Based Generative Modeling through Stochastic Differential Equations@@@NCSN++ cont. (8 blocks/resolution)","Fabian-Robert Stöter","",2020-11-26,"2.2",2020
"Score-Based Generative Modeling through Stochastic Differential Equations@@@NCSN++ cont. (4 blocks/resolution) ","Antoine Liutkus","",2020-11-26,"2.38",2020
"Score-Based Generative Modeling through Stochastic Differential Equations@@@NCSN++ cont. (4 blocks/resolution) ","Umut Simsekli","Télécom ParisTech",2020-11-26,"2.38",2020
"Score-Based Generative Modeling through Stochastic Differential Equations@@@NCSN++ cont. (4 blocks/resolution) ","Szymon Majewski","",2020-11-26,"2.38",2020
"Score-Based Generative Modeling through Stochastic Differential Equations@@@NCSN++ cont. (4 blocks/resolution) ","Alain Durmus","",2020-11-26,"2.38",2020
"Score-Based Generative Modeling through Stochastic Differential Equations@@@NCSN++ cont. (4 blocks/resolution) ","Fabian-Robert Stöter","",2020-11-26,"2.38",2020
"Score-Based Generative Modeling through Stochastic Differential Equations@@@NCSN++ (4 blocks/resolution)","Antoine Liutkus","",2020-11-26,"2.45",2020
"Score-Based Generative Modeling through Stochastic Differential Equations@@@NCSN++ (4 blocks/resolution)","Umut Simsekli","Télécom ParisTech",2020-11-26,"2.45",2020
"Score-Based Generative Modeling through Stochastic Differential Equations@@@NCSN++ (4 blocks/resolution)","Szymon Majewski","",2020-11-26,"2.45",2020
"Score-Based Generative Modeling through Stochastic Differential Equations@@@NCSN++ (4 blocks/resolution)","Alain Durmus","",2020-11-26,"2.45",2020
