title,communities,metric,paper_date,communities_name
Score-Based Generative Modeling through Stochastic Differential Equations@@@NCSN++ cont. (8 blocks/resolution),32,2.2,2020-11-26,{'Télécom ParisTech'}
Score-Based Generative Modeling through Stochastic Differential Equations@@@NCSN++ cont. (4 blocks/resolution) ,32,2.38,2020-11-26,{'Télécom ParisTech'}
Score-Based Generative Modeling through Stochastic Differential Equations@@@NCSN++ (4 blocks/resolution),32,2.45,2020-11-26,{'Télécom ParisTech'}
Denoising Diffusion Probabilistic Models@@@Denoising Diffusion,2,3.17,2020-06-19,"{'Lawrence Livermore National Laboratory', 'Carnegie Mellon University', 'Google', 'Canadian Institute for Advanced Research', 'University of California, Berkeley', 'Facebook', 'Université de Montréal', 'OpenAI', 'University of Bremen', 'University of Toronto'}"
Adversarial score matching and improved sampling for image generation@@@DSM-ALS,1,3.65,2020-09-11,"{'École Polytechnique de Montréal', 'Microsoft', 'Jewish General Hospital', 'Google', 'Carnegie Mellon University', 'Facebook', 'Massachusetts Institute of Technology', 'Université de Montréal', 'Aalto University', 'Sharif University of Technology', 'Stanford University'}"
Score-Based Generative Modeling through Stochastic Differential Equations@@@DDPM (probability flow),32,3.77,2020-11-26,{'Télécom ParisTech'}
Score-Based Generative Modeling through Stochastic Differential Equations@@@DDPM cont. (probability flow),32,4.02,2020-11-26,{'Télécom ParisTech'}
Lessons Learned from the Training of GANs on Artificial Datasets@@@MIX-BigGAN,100,8.17,2020-07-13,set()
Differentiable Augmentation for Data-Efficient GAN Training@@@DiffAugment-CR-BigGAN,5,8.49,2020-06-18,"{'East China Normal University', 'Shanghai Jiao Tong University', 'Massachusetts Institute of Technology'}"
Differentiable Augmentation for Data-Efficient GAN Training@@@DiffAugment-BigGAN,5,8.7,2020-06-18,"{'East China Normal University', 'Shanghai Jiao Tong University', 'Massachusetts Institute of Technology'}"
Differentiable Augmentation for Data-Efficient GAN Training@@@DiffAugment-StyleGAN2,5,9.89,2020-06-18,"{'East China Normal University', 'Shanghai Jiao Tong University', 'Massachusetts Institute of Technology'}"
Improving GAN Training with Probability Ratio Clipping and Sample Reweighting@@@PPOGAN,9,10.7,2020-06-12,"{'Cornell University', 'Carnegie Mellon University', 'Salesforce.com', 'National Research University – Higher School of Economics', 'Moscow State University'}"
Improved Techniques for Training Score-Based Generative Models@@@NCSNv2,67,10.87,2020-06-16,{'Stanford University'}
Off-Policy Reinforcement Learning for Efficient and Effective GAN Architecture Search@@@E2GAN,5,11.26,2020-07-17,"{'East China Normal University', 'Shanghai Jiao Tong University', 'Massachusetts Institute of Technology'}"
Self-supervised GAN: Analysis and Improvement with Multi-class Minimax Game@@@MSGAN,18,11.40,2019-11-16,"{'Singapore University of Technology and Design', 'University of Electronic Science and Technology of China'}"
DEGAS: Differentiable Efficient Generator Search@@@DEGAS,83,12.01,2019-12-02,{'Tel Aviv University'}
VAEBM: A Symbiosis between Variational Autoencoders and Energy-based Models@@@VAEBM w/ persistent chain,7,12.19,2020-10-01,"{'Nvidia', 'D-Wave Systems', 'University of Chicago', 'University of Illinois at Urbana–Champaign'}"
VAEBM: A Symbiosis between Variational Autoencoders and Energy-based Models@@@VAEBM w/o persistent chain,7,12.26,2020-10-01,"{'Nvidia', 'D-Wave Systems', 'University of Chicago', 'University of Illinois at Urbana–Champaign'}"
AutoGAN: Neural Architecture Search for Generative Adversarial Networks@@@AutoGAN,43,12.42,2019-08-11,"{'Texas A&M University', 'Huazhong University of Science and Technology', 'IBM'}"
Adversarial Lipschitz Regularization@@@WGAN-ALP,84,12.96,2019-07-12,{'Saarland University'}
Denoising Diffusion Probabilistic Models@@@DDPM (L),2,13.51,2020-06-19,"{'Lawrence Livermore National Laboratory', 'Carnegie Mellon University', 'Google', 'Canadian Institute for Advanced Research', 'University of California, Berkeley', 'Facebook', 'Université de Montréal', 'OpenAI', 'University of Bremen', 'University of Toronto'}"
