institution,counter
University of Rochester,3
Northeastern University,3
Huaqiao University,3
Wuhan University,2
The Chinese University of Hong Kong,7
Harbin Institute of Technology,13
Microsoft,6
Chinese Academy of Sciences,7
Xidian University,4
Hong Kong Polytechnic University,11
Graz University of Technology,7
Tsinghua University,9
Sun Yat-sen University,7
Xi'an Jiaotong University,7
Huazhong University of Science and Technology,3
University of Illinois at Urbana–Champaign,3
IBM,3
Toyota Technological Institute,2
Incheon National University,2
"University of California, Santa Barbara",2
University of British Columbia,2
Sichuan University,2
Peking University,1
Dalian University of Technology,1
Seoul National University,2
Yonsei University,3
Ajou University,1
Twitter,5
Imperial College London,5
Nanjing University of Science and Technology,2
China Three Gorges University,1
Max Planck Society,1
Technische Universität Darmstadt,1
Weizmann Institute of Science,1
ETH Zurich,1
University of Florida,1
Adobe Systems,1
University of Toronto,1
"University of California, Santa Cruz",1
Technion – Israel Institute of Technology,1
Shenzhen University,2
Guangdong University of Technology,2
Tencent,1
"University of Maryland, College Park",1
University of Bern,1
University of Ontario Institute of Technology,1
Stanford University,1
