"communities","year","papers","results","authors","SOTA"
"1",2015,1,1,2,1
"1",2016,1,1,5,1
"1",2017,2,2,4,1
"1",2018,1,1,5,1
"1",2019,1,1,5,1
"10",2018,3,3,6,3
"11",2017,1,1,4,1
"11",2018,1,1,4,1
"12",2020,1,1,6,1
"13",2019,2,2,5,2
"14",2020,1,1,5,1
"15",2019,1,1,5,1
"16",2019,1,1,5,1
"17",2017,1,1,5,1
"18",2018,1,1,3,1
"18",2019,1,1,4,1
"19",2016,1,1,4,1
"2",2018,1,1,7,1
"2",2020,1,1,6,1
"20",2017,1,1,4,1
"21",2020,1,1,4,1
"22",2017,2,2,4,2
"23",2017,1,1,4,1
"24",2016,1,1,3,1
"25",2018,1,1,3,1
"26",2018,1,1,3,1
"27",2016,2,1,3,1
"28",2017,1,1,3,1
"29",2015,1,1,3,1
"3",2016,5,5,13,1
"30",2019,1,1,3,1
"31",2019,1,1,3,1
"32",2016,1,1,3,1
"33",2019,1,1,2,1
"34",2018,1,1,2,1
"35",2019,1,1,2,1
"36",2018,1,1,2,1
"4",2014,1,1,4,1
"4",2018,2,2,9,1
"4",2019,1,1,3,NA
"4+1",2019,1,1,4,1
"4+2",2018,1,1,6,1
"5",2020,1,1,9,1
"6",2019,2,2,9,2
"7",2018,2,2,8,2
"8",2015,1,1,4,1
"8",2017,1,1,5,1
"9",2018,1,1,4,1
"9",2019,2,2,6,1
