"title","authors","affiliations","paper_date","metric","year"
"Image Super-Resolution Using Very Deep Residual Channel Attention Networks@@@RCAN","Yulun Zhang","Northeastern University",2018-07-08,"32.63",2018
"Image Super-Resolution Using Very Deep Residual Channel Attention Networks@@@RCAN","Kunpeng Li","Northeastern University",2018-07-08,"32.63",2018
"Image Super-Resolution Using Very Deep Residual Channel Attention Networks@@@RCAN","Kai Li","Northeastern University",2018-07-08,"32.63",2018
"Image Super-Resolution Using Very Deep Residual Channel Attention Networks@@@RCAN","Lichen Wang","Northeastern University",2018-07-08,"32.63",2018
"Image Super-Resolution Using Very Deep Residual Channel Attention Networks@@@RCAN","Bineng Zhong","Northeastern University",2018-07-08,"32.63",2018
"Image Super-Resolution Using Very Deep Residual Channel Attention Networks@@@RCAN","Yun Fu","Northeastern University",2018-07-08,"32.63",2018
"Learned Image Downscaling for Upscaling using Content Adaptive Resampler@@@CAR","Wanjie Sun","Wuhan University",2019-07-22,"33.88",2019
"Learned Image Downscaling for Upscaling using Content Adaptive Resampler@@@CAR","Zhenzhong Chen","Wuhan University",2019-07-22,"33.88",2019
"Single Image Super-Resolution via a Holistic Attention Network@@@HAN+","Ben Niu","",2020-08-20,"32.75",2020
"Single Image Super-Resolution via a Holistic Attention Network@@@HAN+","Weilei Wen","",2020-08-20,"32.75",2020
"Single Image Super-Resolution via a Holistic Attention Network@@@HAN+","Wenqi Ren","",2020-08-20,"32.75",2020
"Single Image Super-Resolution via a Holistic Attention Network@@@HAN+","Xiangde Zhang","",2020-08-20,"32.75",2020
"Single Image Super-Resolution via a Holistic Attention Network@@@HAN+","Lianping Yang","",2020-08-20,"32.75",2020
"Single Image Super-Resolution via a Holistic Attention Network@@@HAN+","Shuzhen Wang","",2020-08-20,"32.75",2020
"Single Image Super-Resolution via a Holistic Attention Network@@@HAN+","Kaihao Zhang","",2020-08-20,"32.75",2020
"Single Image Super-Resolution via a Holistic Attention Network@@@HAN+","Xiaochun Cao","",2020-08-20,"32.75",2020
"Single Image Super-Resolution via a Holistic Attention Network@@@HAN+","Haifeng Shen","",2020-08-20,"32.75",2020
"Image Reconstruction with Predictive Filter Flow@@@PFF","Shu Kong","",2018-11-28,"32.74",2018
"Image Reconstruction with Predictive Filter Flow@@@PFF","Charless C. Fowlkes","",2018-11-28,"32.74",2018
"Densely Residual Laplacian Super-Resolution@@@DRLN+","Saeed Anwar","",2019-06-28,"32.74",2019
"Densely Residual Laplacian Super-Resolution@@@DRLN+","Nick Barnes","",2019-06-28,"32.74",2019
"ESRGAN: Enhanced Super-Resolution Generative Adversarial Networks@@@SRGAN + Residual-in-Residual Dense Block","Xintao Wang","The Chinese University of Hong Kong",2018-09-01,"32.73",2018
"ESRGAN: Enhanced Super-Resolution Generative Adversarial Networks@@@SRGAN + Residual-in-Residual Dense Block","Ke Yu","The Chinese University of Hong Kong",2018-09-01,"32.73",2018
"ESRGAN: Enhanced Super-Resolution Generative Adversarial Networks@@@SRGAN + Residual-in-Residual Dense Block","Shixiang Wu","Chinese Academy of Sciences",2018-09-01,"32.73",2018
"ESRGAN: Enhanced Super-Resolution Generative Adversarial Networks@@@SRGAN + Residual-in-Residual Dense Block","Jinjin Gu","The Chinese University of Hong Kong",2018-09-01,"32.73",2018
"ESRGAN: Enhanced Super-Resolution Generative Adversarial Networks@@@SRGAN + Residual-in-Residual Dense Block","Yihao Liu","Chinese Academy of Sciences",2018-09-01,"32.73",2018
"ESRGAN: Enhanced Super-Resolution Generative Adversarial Networks@@@SRGAN + Residual-in-Residual Dense Block","Chao Dong","Chinese Academy of Sciences",2018-09-01,"32.73",2018
"ESRGAN: Enhanced Super-Resolution Generative Adversarial Networks@@@SRGAN + Residual-in-Residual Dense Block","Chen Change Loy","Nanyang Technological University",2018-09-01,"32.73",2018
"ESRGAN: Enhanced Super-Resolution Generative Adversarial Networks@@@SRGAN + Residual-in-Residual Dense Block","Yu Qiao","Chinese Academy of Sciences",2018-09-01,"32.73",2018
"ESRGAN: Enhanced Super-Resolution Generative Adversarial Networks@@@SRGAN + Residual-in-Residual Dense Block","Xiaoou Tang","The Chinese University of Hong Kong",2018-09-01,"32.73",2018
"Progressive Perception-Oriented Network for Single Image Super-Resolution@@@RFN","Zheng Hui","",2019-07-24,"32.71",2019
"Progressive Perception-Oriented Network for Single Image Super-Resolution@@@RFN","Jie Li","Xidian University",2019-07-24,"32.71",2019
"Progressive Perception-Oriented Network for Single Image Super-Resolution@@@RFN","Gao Xinbo","Xidian University",2019-07-24,"32.71",2019
"Progressive Perception-Oriented Network for Single Image Super-Resolution@@@RFN","Xinbo Gao","Xidian University",2019-07-24,"32.71",2019
"Progressive Perception-Oriented Network for Single Image Super-Resolution@@@RFN","Xiumei Wang","Xidian University",2019-07-24,"32.71",2019
"Second-Order Attention Network for Single Image Super-Resolution@@@SAN","Tao Dai","Tsinghua University",2019-06-01,"32.70",2019
"Second-Order Attention Network for Single Image Super-Resolution@@@SAN","Jianrui Cai","Hong Kong Polytechnic University",2019-06-01,"32.70",2019
"Second-Order Attention Network for Single Image Super-Resolution@@@SAN","Yongbing Zhang","Tsinghua University",2019-06-01,"32.70",2019
"Second-Order Attention Network for Single Image Super-Resolution@@@SAN","Shu-Tao Xia","Tsinghua University",2019-06-01,"32.70",2019
"Second-Order Attention Network for Single Image Super-Resolution@@@SAN","Lei Zhang","Hong Kong Polytechnic University",2019-06-01,"32.70",2019
"Image Super-Resolution via Attention based Back Projection Networks@@@ABPN","Zhi-Song Liu","Hong Kong Polytechnic University",2019-10-10,"32.69",2019
"Image Super-Resolution via Attention based Back Projection Networks@@@ABPN","Li-Wen Wang","Hong Kong Polytechnic University",2019-10-10,"32.69",2019
"Image Super-Resolution via Attention based Back Projection Networks@@@ABPN","Chu-Tak Li","Hong Kong Polytechnic University",2019-10-10,"32.69",2019
"Image Super-Resolution via Attention based Back Projection Networks@@@ABPN","Wan-Chi Siu","Hong Kong Polytechnic University",2019-10-10,"32.69",2019
"Image Super-Resolution via Attention based Back Projection Networks@@@ABPN","Yui-Lam Chan","Hong Kong Polytechnic University",2019-10-10,"32.69",2019
"Image Super-Resolution with Cross-Scale Non-Local Attention and Exhaustive Self-Exemplars Mining@@@CSNLN","Yiqun Mei","",2020-06-02,"32.68",2020
"Image Super-Resolution with Cross-Scale Non-Local Attention and Exhaustive Self-Exemplars Mining@@@CSNLN","Yuchen Fan","University of Illinois at Urbana–Champaign",2020-06-02,"32.68",2020
"Image Super-Resolution with Cross-Scale Non-Local Attention and Exhaustive Self-Exemplars Mining@@@CSNLN","Yuqian Zhou","University of Illinois at Urbana–Champaign",2020-06-02,"32.68",2020
"Image Super-Resolution with Cross-Scale Non-Local Attention and Exhaustive Self-Exemplars Mining@@@CSNLN","Lichao Huang","Huazhong University of Science and Technology",2020-06-02,"32.68",2020
