institution,counter
Google,9
Boston College,1
Oracle Corporation,1
Microsoft,2
Peking University,2
University of Texas at Austin,2
Tokyo Institute of Technology,2
Tohoku University,2
Nippon Telegraph and Telephone,2
IBM,1
Carnegie Mellon University,6
Idiap Research Institute,2
University of Edinburgh,1
University of Washington,2
Salesforce.com,3
Northwestern University,3
Stanford University,3
North Carolina State University,1
Université de Montréal,1
Jagiellonian University,1
Dalle Molle Institute for Artificial Intelligence Research,1
ETH Zurich,1
University of Cambridge,2
Michigan State University,1
