"author","community"
"Yarin Gal",17
"Zoubin Ghahramani",17
"Yarin Gal",17
"Zoubin Ghahramani",17
"Shaojie Bai",11
"J. Zico Kolter",11
"V. Koltun",11
"Vladlen Koltun",11
"Shaojie Bai",11
"J. Zico Kolter",11
"V. Koltun",11
"Vladlen Koltun",11
"Zhilin Yang",2
"Zihang Dai",2
"Ruslan Salakhutdinov",2
"William W. Cohen",2
"Zhilin Yang",2
"Zihang Dai",2
"Ruslan Salakhutdinov",2
"William W. Cohen",2
"Hanxiao Liu",2
"Karen Simonyan",2
"Yiming Yang",2
"Shaojie Bai",11
"J. Zico Kolter",11
"V. Koltun",11
"Vladlen Koltun",11
"Shuai Li",6
"Wanqing Li",6
"Christopher David Cook",6
"Yanbo Gao",6
"Ce Zhu",6
"Shuai Li",6
"Wanqing Li",6
"Christopher David Cook",6
"Yanbo Gao",6
"Ce Zhu",6
"Nikolaos Pappas",16
"James Henderson I",16
"James Henderson",16
"Nikolaos Pappas",16
"James Henderson I",16
"James Henderson",16
"Sho Takase",15
"Jun Suzuki",15
"Masaaki Nagata",15
"Sho Takase",15
"Jun Suzuki",15
"Masaaki Nagata",15
"Ben Krause",10
"Emmanuel Kahembwe",10
"Iain Murray",10
"Steve Renals",10
"Hieu Pham",2
"Melody Y. Guan",2
"Barret Zoph",2
"Quoc V. Le",2
"Jeffrey Dean",2
"Chengyue Gong",3
"Di He",3
"Xu Tan",3
"Tao Qin",3
"Liwei Wang",3
"Tie-Yan Liu",3
"Konrad Zolna",12
"Devansh Arpit",12
"Dendi Suhubdy",12
"Yoshua Bengio",12
"Ziv Aharoni",14
"Gal Rattner",14
"Haim H. Permuter",14
"Siddhartha Brahma",18
"Dilin Wang",3
"Chengyue Gong",3
"Qiang Liu",3
"Tom B. Brown",1
"Benjamin Mann",1
"Nick Ryder",1
"Melanie Subbiah",1
"Jared Kaplan",1
"Prafulla Dhariwal",1
"Arvind Neelakantan",1
"Pranav Shyam",1
"Girish Sastry",1
"Amanda Askell",1
"Ilya Sutskever",1
"Dario Amodei",1
"Michael Wick",5
"Kate Silverstein",5
"Jean-Baptiste Tristan",5
"Adam Craig Pocock",5
"Mark Johnson",5
"Jacob Devlin",9
"Ming-Wei Chang",9
"Kenton Lee",9
"Kristina Toutanova",9
"Gábor Melis",4
"Tomáš Kociský",4
"Tomás Kociský",4
"Phil Blunsom",4
"Barret Zoph",2
"Quoc V. Le",2
"Ofir Press",19
"Ofir Press",19
"Gábor Melis",4
"Charles Blundell",4
"Tomáš Kociský",4
"Karl Moritz Hermann",4
"Chris Dyer",4
"Phil Blunsom",4
"Zhiwei Wang",13
"Yao Ma",13
"Zitao Liu",13
"Jiliang Tang",13
"Julian G. Zilly",7
"Rupesh Kumar Srivastava",7
"Jan Koutník",7
"Juergen Schmidhuber",7
"Jürgen Schmidhuber",7
"Wojciech Zaremba",1
"Ilya Sutskever",1
"Oriol Vinyals",1
"Wojciech Zaremba",1
"Ilya Sutskever",1
"Oriol Vinyals",1
"Stephen Merity",8
"Nitish Shirish Keskar",8
"Richard Socher",8
"Stephen Merity",8
"Nitish Shirish Keskar",8
"Richard Socher",8
"Zihang Dai",2
"Zhilin Yang",2
"Yiming Yang",2
"Jaime G. Carbonell",2
"Quoc V. Le",2
"Ruslan Salakhutdinov",2
"Shaojie Bai",11
"J. Zico Kolter",11
"V. Koltun",11
"Vladlen Koltun",11
"Hakan Inan",8
"Khashayar Khosravi",8
"Richard Socher",8
