"title","authors","affiliations","paper_date","metric","year"
"Language Models are Few-Shot Learners@@@GPT-3 (Zero-Shot)","Tom B. Brown","",2020-05-28,"20.5",2020
"Language Models are Few-Shot Learners@@@GPT-3 (Zero-Shot)","Benjamin Mann","",2020-05-28,"20.5",2020
"Language Models are Few-Shot Learners@@@GPT-3 (Zero-Shot)","Nick Ryder","",2020-05-28,"20.5",2020
"Language Models are Few-Shot Learners@@@GPT-3 (Zero-Shot)","Melanie Subbiah","",2020-05-28,"20.5",2020
"Language Models are Few-Shot Learners@@@GPT-3 (Zero-Shot)","Jared Kaplan","",2020-05-28,"20.5",2020
"Language Models are Few-Shot Learners@@@GPT-3 (Zero-Shot)","Prafulla Dhariwal","",2020-05-28,"20.5",2020
"Language Models are Few-Shot Learners@@@GPT-3 (Zero-Shot)","Arvind Neelakantan","",2020-05-28,"20.5",2020
"Language Models are Few-Shot Learners@@@GPT-3 (Zero-Shot)","Pranav Shyam","",2020-05-28,"20.5",2020
"Language Models are Few-Shot Learners@@@GPT-3 (Zero-Shot)","Girish Sastry","",2020-05-28,"20.5",2020
"Language Models are Few-Shot Learners@@@GPT-3 (Zero-Shot)","Amanda Askell","",2020-05-28,"20.5",2020
"Language Models are Few-Shot Learners@@@GPT-3 (Zero-Shot)","Ilya Sutskever","",2020-05-28,"20.5",2020
"Language Models are Few-Shot Learners@@@GPT-3 (Zero-Shot)","Dario Amodei","",2020-05-28,"20.5",2020
"Language Models with Transformers@@@BERT-Large-CAS","Jacob Devlin","Google",2019-04-20,"31.3",2019
"Language Models with Transformers@@@BERT-Large-CAS","Ming-Wei Chang","Google",2019-04-20,"31.3",2019
"Language Models with Transformers@@@BERT-Large-CAS","Kenton Lee","Google",2019-04-20,"31.3",2019
"Language Models with Transformers@@@BERT-Large-CAS","Kristina Toutanova","Google",2019-04-20,"31.3",2019
"Language Models are Unsupervised Multitask Learners@@@GPT-2","Michael Wick","Oracle Corporation",2019-02-14,"35.76",2019
"Language Models are Unsupervised Multitask Learners@@@GPT-2","Kate Silverstein","Oracle Corporation",2019-02-14,"35.76",2019
"Language Models are Unsupervised Multitask Learners@@@GPT-2","Jean-Baptiste Tristan","Boston College",2019-02-14,"35.76",2019
