"author","community"
"Angela Fan",1
"Thibaut Lavril",1
"Edouard Grave",1
"Armand Joulin",1
"Sainbayar Sukhbaatar",1
"Sainbayar Sukhbaatar",1
"Edouard Grave",1
"Piotr Bojanowski",1
"Armand Joulin",1
"Sainbayar Sukhbaatar",1
"Edouard Grave",1
"Piotr Bojanowski",1
"Armand Joulin",1
"Stephen Merity",16
"Nitish Shirish Keskar",16
"Richard Socher",16
"Sainbayar Sukhbaatar",1
"Edouard Grave",1
"Guillaume Lample",1
"Hervé Jégou",1
"Armand Joulin",1
"Sainbayar Sukhbaatar",1
"Edouard Grave",1
"Guillaume Lample",1
"Hervé Jégou",1
"Armand Joulin",1
"Zihao Ye",7
"Qipeng Guo",7
"Quan Gan",7
"Xipeng Qiu",7
"Zheng Zhang",7
"Rami Al-Rfou",8
"Dokook Choe",8
"Noah Constant",8
"Mandy Guo",8
"Llion Jones",8
"Rami Al-Rfou",8
"Dokook Choe",8
"Noah Constant",8
"Mandy Guo",8
"Llion Jones",8
"Shuohang Wang",2
"Luowei Zhou",2
"Zhe Gan",2
"Yen-Chun Chen",2
"Yuwei Fang",2
"Siqi Sun",2
"Yu Cheng",2
"Jingjing Liu",2
"Jack W. Rae",11
"Anna Potapenko",11
"Siddhant M. Jayakumar",11
"Timothy P. Lillicrap",11
"Ben Krause",9
"Emmanuel Kahembwe",9
"Iain Murray",9
"Steve Renals",9
"Aurko Roy",6
"Mohammad Saffar",6
"Mohammad Taghi Saffar",6
"David Grangier",6
"Ashish Vaswani",6
"Asier Mujika",17
"Florian Meier",17
"Angelika Steger",17
"Rewon Child",12
"Scott Gray",12
"Alec Radford",12
"Ilya Sutskever",12
"Alex Graves",4
"Junyoung Chung",18
"Sungjin Ahn",18
"Yoshua Bengio",18
"David Ha",3
"Andrew M. Dai",3
"Quoc V. Le",3
"Ofir Press",14
"Noah A. Smith",14
"Omer Levy",14
"Michael Wick",5
"Kate Silverstein",5
"Jean-Baptiste Tristan",5
"Adam Craig Pocock",5
"Mark Johnson",5
"Iz Beltagy",15
"Matthew E. Peters",15
"Arman Cohan",15
"Iz Beltagy",15
"Matthew E. Peters",15
"Arman Cohan",15
"Gábor Melis",13
"Tomás Kociský",13
"Tomáš Kociský",13
"Phil Blunsom",13
"Gábor Melis",13
"Tomás Kociský",13
"Tomáš Kociský",13
"Phil Blunsom",13
"Ben Krause",9
"Liang Lu",9
"Iain Murray",9
"Steve Renals",9
"Nal Kalchbrenner",4
"Lasse Espeholt",4
"Karen Simonyan",4
"Aaron van den Oord",4
"Alex Graves",4
"Koray Kavukcuoglu",4
"Julian G. Zilly",10
"Rupesh Kumar Srivastava",10
"Jan Koutník",10
"Juergen Schmidhuber",10
"Jürgen Schmidhuber",10
"Stephen Merity",16
"Stephen Merity",16
"Stephen Merity",16
"Zihang Dai",3
"Zhilin Yang",3
"Yiming Yang",3
"Jaime G. Carbonell",3
"Quoc V. Le",3
"Ruslan Salakhutdinov",3
"Zihang Dai",3
"Zhilin Yang",3
"Yiming Yang",3
"Jaime G. Carbonell",3
"Quoc V. Le",3
"Ruslan Salakhutdinov",3
"Zihang Dai",3
"Zhilin Yang",3
"Yiming Yang",3
"Jaime G. Carbonell",3
"Quoc V. Le",3
"Ruslan Salakhutdinov",3
