institution,counter
Johns Hopkins University,2
Microsoft,3
University of Illinois at Urbana–Champaign,3
Harvard University,10
Cornell University,10
Facebook,10
Fudan University,1
University of Southern California,8
Google,15
University of Oxford,8
Polytechnic University of Catalonia,1
Sun Yat-sen University,1
Carleton University,1
Carnegie Mellon University,1
Northwestern University,1
Jagiellonian University,8
Stanford University,8
Baidu,2
Université de Montréal,2
École Polytechnique de Montréal,2
University of the Basque Country,1
