number,name
1,"('Google', 14)&('University of Oxford', 1)&('University of Southern California', 1)"
2,"('Facebook', 11)&('Harvard University', 1)&('Cornell University', 1)"
3,"('Google', 6)&('Jagiellonian University', 1)&('Stanford University', 1)"
4,"('Fudan University', 3)"
5,
6,"('Microsoft', 5)&('Sun Yat-sen University', 2)&('University of Illinois at Urbana–Champaign', 1)"
7,"('Université de Montréal', 3)&('École Polytechnique de Montréal', 1)"
8,"('Google', 6)"
9,
10,"('Baidu', 5)"
11,"('Microsoft', 2)&('University of Illinois at Urbana–Champaign', 1)&('Johns Hopkins University', 1)"
12,"('Polytechnic University of Catalonia', 4)"
13,"('Carnegie Mellon University', 4)"
14,"('Northwestern University', 1)"
15,"('University of the Basque Country', 3)"
16,"('Carleton University', 2)"
