"author","community"
"Jonas Gehring","2"
"Michael Auli","2"
"David Grangier","2"
"Yann N. Dauphin","2"
"Thang Luong","3"
"Ilya Sutskever","3"
"Quoc V. Le","3"
"Oriol Vinyals","3"
"Wojciech Zaremba","3"
"Ashish Vaswani","1"
"Noam Shazeer","1"
"Niki Parmar","1"
"Jakob Uszkoreit","1"
"Llion Jones","1"
"Aidan N. Gomez","1"
"Lukasz Kaiser","1"
"Lukasz Kaiser","1"
"Illia Polosukhin","1"
"Ashish Vaswani","1"
"Noam Shazeer","1"
"Niki Parmar","1"
"Jakob Uszkoreit","1"
"Llion Jones","1"
"Aidan N. Gomez","1"
"Lukasz Kaiser","1"
"Lukasz Kaiser","1"
"Illia Polosukhin","1"
"Lukasz Kaiser","1"
"Samy Bengio","1"
"Jonas Gehring","2"
"Michael Auli","2"
"David Grangier","2"
"Denis Yarats","2"
"Yann N. Dauphin","2"
"Jonas Gehring","2"
"Michael Auli","2"
"David Grangier","2"
"Denis Yarats","2"
"Yann N. Dauphin","2"
"Jie Zhou","10"
"Ying Cao","10"
"Xuguang Wang","10"
"Peng Li","10"
"Wei Xu","10"
"Jie Zhou","10"
"Ying Cao","10"
"Xuguang Wang","10"
"Peng Li","10"
"Wei Xu","10"
"Lijun Wu","6"
"Yiren Wang","6"
"Yingce Xia","6"
"Fei Tian","6"
"Fei Gao","6"
"Tao Qin","6"
"Jianhuang Lai","6"
"Tie-Yan Liu","6"
"Colin Raffel","5+1"
"Noam Shazeer","5+1"
"Adam Roberts","5+1"
"Katherine Lee","5+1"
"Sharan Narang","5+1"
"Michael Matena","5+1"
"Yanqi Zhou","5+1"
"Wei Li","5+1"
"Peter J. Liu","5+1"
"Xiang Kong","13"
"Qizhe Xie","13"
"Zihang Dai","13"
"Eduard Hovy","13"
"Yonghui Wu","3+1"
"Mike Schuster Atr","3+1"
"Mike Schuster","3+1"
"Zhifeng Chen","3+1"
"Quoc V. Le","3+1"
"Mohammad Norouzi","3+1"
"Wolfgang Macherey","3+1"
"Maxim Krikun","3+1"
"Yuan Cao","3+1"
"Qin Gao","3+1"
"Klaus Macherey","3+1"
"Macduff Hughes","3+1"
"Jeffrey Dean","3+1"
"José A. Rodriguez-Fonollosa","12"
"José A. R. Fonollosa","12"
"Noe Casas","12"
"Marta R. Costa-jussà","12"
"Kyunghyun Cho","7"
"Bart van Merriënboer","7"
"Caglar Gulcehre","7"
"Dzmitry Bahdanau","7"
"Fethi Bougares","7"
"Holger Schwenk","7"
"Yoshua Bengio","7"
"Guangxiang Zhao","9"
"Xu Sun","9"
"Jingjing Xu","9"
"Zhiyuan Zhang","9"
"Liangchen Luo","9"
"Dzmitry Bahdanau","7"
"Kyunghyun Cho","7"
"Yoshua Bengio","7"
"Noam Shazeer","3+1"
"Azalia Mirhoseini","3+1"
"Krzysztof Maziarz","3+1"
"Andy Davis","3+1"
"Quoc V. Le","3+1"
"Geoffrey E. Hinton","3+1"
"Jeffrey Dean","3+1"
"Felix Wu","2"
"Angela Fan","2"
"Alexei Baevski","2"
"Yann N. Dauphin","2"
"Michael Auli","2"
"Guillaume Lample","2"
"Myle Ott","2"
"Alexis Conneau","2"
"Ludovic Denoyer","2"
"Marc'Aurelio Ranzato","2"
"Guillaume Lample","2"
"Myle Ott","2"
"Alexis Conneau","2"
"Ludovic Denoyer","2"
"Marc'Aurelio Ranzato","2"
"Guillaume Lample","2"
"Myle Ott","2"
"Alexis Conneau","2"
"Ludovic Denoyer","2"
"Marc'Aurelio Ranzato","2"
"Zehui Lin","4"
"Pan Xiao","4"
"Mingxuan Wang","4"
"Xipeng Qiu","4"
"Jiangtao Feng","4"
"Hao Zhou","4"
"Li Lei","4"
"Lei Li","4"
"Wojciech Zaremba","3"
"Ilya Sutskever","3"
"Oriol Vinyals","3"
"Myle Ott","2"
"Sergey Edunov","2"
"David Grangier","2"
"Michael Auli","2"
"Peter Shaw","1"
"Jakob Uszkoreit","1"
"Ashish Vaswani","1"
"Ilya Sutskever","3"
"Oriol Vinyals","3"
"Quoc V. Le","3"
"Ilya Sutskever","3"
"Oriol Vinyals","3"
"Quoc V. Le","3"
"Yi Tay","8"
"Dara Bahri","8"
"Donald Metzler","8"
"Da-Cheng Juan","8"
"Zhe Zhao","8"
"Che Zheng","8"
"Mia Xu Chen","1"
"Orhan Firat","1"
"Ankur Bapna","1"
"Melvin Johnson","1"
"Wolfgang Macherey","1"
"George Foster","1"
"Llion Jones","1"
"Mike Schuster Atr","1"
"Mike Schuster","1"
"Noam Shazeer","1"
"Niki Parmar","1"
"Yonghui Wu","1"
"Macduff Hughes","1"
"David R. So","3"
"Quoc V. Le","3"
"Chen Liang","3"
"David R. So","3"
"Quoc V. Le","3"
"Chen Liang","3"
"Vasileios Lioutas","16"
"Yuhong Guo","16"
"Sergey Edunov","2"
"Myle Ott","2"
"Michael Auli","2"
"David Grangier","2"
"Guillaume Lample","2"
"Myle Ott","2"
"Alexis Conneau","2"
"Ludovic Denoyer","2"
"Marc'Aurelio Ranzato","2"
"Mikel Artetxe","15"
"Gorka Labaka","15"
"Eneko Agirre","15"
"Xiaodong Liu","11"
"Kevin Duh","11"
"Liyuan Liu","11"
"Jianfeng Gao","11"
"Xiaodong Liu","11"
"Kevin Duh","11"
"Liyuan Liu","11"
"Jianfeng Gao","11"
"Karim Ahmed","14"
"Nitish Shirish Keskar","14"
"Richard Socher","14"
