"title","authors","affiliations","paper_date","metric","year"
"Very Deep Transformers for Neural Machine Translation@@@Transformer+BT (ADMIN init)","Xiaodong Liu","Microsoft",2020-08-18,"46.4",2020
"Very Deep Transformers for Neural Machine Translation@@@Transformer+BT (ADMIN init)","Kevin Duh","Microsoft",2020-08-18,"46.4",2020
"Very Deep Transformers for Neural Machine Translation@@@Transformer+BT (ADMIN init)","Liyuan Liu","Johns Hopkins University",2020-08-18,"46.4",2020
"Very Deep Transformers for Neural Machine Translation@@@Transformer+BT (ADMIN init)","Jianfeng Gao","University of Illinois at Urbana–Champaign",2020-08-18,"46.4",2020
"Understanding Back-Translation at Scale@@@Noisy back-translation","Sergey Edunov","Facebook",2018-08-28,"45.6",2018
"Understanding Back-Translation at Scale@@@Noisy back-translation","Myle Ott","Facebook",2018-08-28,"45.6",2018
"Understanding Back-Translation at Scale@@@Noisy back-translation","Michael Auli","Microsoft",2018-08-28,"45.6",2018
"Understanding Back-Translation at Scale@@@Noisy back-translation","David Grangier","Facebook",2018-08-28,"45.6",2018
"Pre-training Multilingual Neural Machine Translation by Leveraging Alignment Information@@@mRASP+Fine-Tune","Zehui Lin","",2020-10-07,"44.3",2020
"Pre-training Multilingual Neural Machine Translation by Leveraging Alignment Information@@@mRASP+Fine-Tune","Pan Xiao","",2020-10-07,"44.3",2020
"Pre-training Multilingual Neural Machine Translation by Leveraging Alignment Information@@@mRASP+Fine-Tune","Mingxuan Wang","",2020-10-07,"44.3",2020
"Pre-training Multilingual Neural Machine Translation by Leveraging Alignment Information@@@mRASP+Fine-Tune","Xipeng Qiu","",2020-10-07,"44.3",2020
"Pre-training Multilingual Neural Machine Translation by Leveraging Alignment Information@@@mRASP+Fine-Tune","Jiangtao Feng","",2020-10-07,"44.3",2020
"Pre-training Multilingual Neural Machine Translation by Leveraging Alignment Information@@@mRASP+Fine-Tune","Hao Zhou","Fudan University",2020-10-07,"44.3",2020
"Pre-training Multilingual Neural Machine Translation by Leveraging Alignment Information@@@mRASP+Fine-Tune","Li Lei","Fudan University",2020-10-07,"44.3",2020
"Pre-training Multilingual Neural Machine Translation by Leveraging Alignment Information@@@mRASP+Fine-Tune","Lei Li","Fudan University",2020-10-07,"44.3",2020
"Very Deep Transformers for Neural Machine Translation@@@Transformer (ADMIN init)","Xiaodong Liu","Microsoft",2020-08-18,"43.8",2020
"Very Deep Transformers for Neural Machine Translation@@@Transformer (ADMIN init)","Kevin Duh","Microsoft",2020-08-18,"43.8",2020
"Very Deep Transformers for Neural Machine Translation@@@Transformer (ADMIN init)","Liyuan Liu","Johns Hopkins University",2020-08-18,"43.8",2020
"Very Deep Transformers for Neural Machine Translation@@@Transformer (ADMIN init)","Jianfeng Gao","University of Illinois at Urbana–Champaign",2020-08-18,"43.8",2020
"MUSE: Parallel Multi-Scale Attention for Sequence to Sequence Learning@@@MUSE(Paralllel Multi-scale Attention)","Guangxiang Zhao","",2019-11-17,"43.5",2019
"MUSE: Parallel Multi-Scale Attention for Sequence to Sequence Learning@@@MUSE(Paralllel Multi-scale Attention)","Xu Sun","",2019-11-17,"43.5",2019
"MUSE: Parallel Multi-Scale Attention for Sequence to Sequence Learning@@@MUSE(Paralllel Multi-scale Attention)","Jingjing Xu","",2019-11-17,"43.5",2019
"MUSE: Parallel Multi-Scale Attention for Sequence to Sequence Learning@@@MUSE(Paralllel Multi-scale Attention)","Zhiyuan Zhang","",2019-11-17,"43.5",2019
"MUSE: Parallel Multi-Scale Attention for Sequence to Sequence Learning@@@MUSE(Paralllel Multi-scale Attention)","Liangchen Luo","",2019-11-17,"43.5",2019
"Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer@@@T5","Colin Raffel","",2019-10-23,"43.4",2019
"Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer@@@T5","Noam Shazeer","",2019-10-23,"43.4",2019
"Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer@@@T5","Adam Roberts","",2019-10-23,"43.4",2019
"Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer@@@T5","Katherine Lee","",2019-10-23,"43.4",2019
"Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer@@@T5","Sharan Narang","",2019-10-23,"43.4",2019
"Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer@@@T5","Michael Matena","",2019-10-23,"43.4",2019
"Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer@@@T5","Yanqi Zhou","",2019-10-23,"43.4",2019
"Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer@@@T5","Wei Li","",2019-10-23,"43.4",2019
"Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer@@@T5","Peter J. Liu","",2019-10-23,"43.4",2019
"Joint Source-Target Self Attention with Locality Constraints@@@Local Joint Self-attention","José A. Rodriguez-Fonollosa","Polytechnic University of Catalonia",2019-05-16,"43.3",2019
"Joint Source-Target Self Attention with Locality Constraints@@@Local Joint Self-attention","José A. R. Fonollosa","Polytechnic University of Catalonia",2019-05-16,"43.3",2019
"Joint Source-Target Self Attention with Locality Constraints@@@Local Joint Self-attention","Noe Casas","Polytechnic University of Catalonia",2019-05-16,"43.3",2019
"Joint Source-Target Self Attention with Locality Constraints@@@Local Joint Self-attention","Marta R. Costa-jussà","Polytechnic University of Catalonia",2019-05-16,"43.3",2019
"Depth Growing for Neural Machine Translation@@@Depth Growing","Lijun Wu","Sun Yat-sen University",2019-07-03,"43.27",2019
"Depth Growing for Neural Machine Translation@@@Depth Growing","Yiren Wang","University of Illinois at Urbana–Champaign",2019-07-03,"43.27",2019
"Depth Growing for Neural Machine Translation@@@Depth Growing","Yingce Xia","Microsoft",2019-07-03,"43.27",2019
"Depth Growing for Neural Machine Translation@@@Depth Growing","Fei Tian","Microsoft",2019-07-03,"43.27",2019
"Depth Growing for Neural Machine Translation@@@Depth Growing","Fei Gao","Microsoft",2019-07-03,"43.27",2019
"Depth Growing for Neural Machine Translation@@@Depth Growing","Tao Qin","Microsoft",2019-07-03,"43.27",2019
"Depth Growing for Neural Machine Translation@@@Depth Growing","Jianhuang Lai","Sun Yat-sen University",2019-07-03,"43.27",2019
"Depth Growing for Neural Machine Translation@@@Depth Growing","Tie-Yan Liu","Microsoft",2019-07-03,"43.27",2019
"Scaling Neural Machine Translation@@@Transformer Big","Myle Ott","",2018-06-01,"43.2",2018
"Scaling Neural Machine Translation@@@Transformer Big","Sergey Edunov","",2018-06-01,"43.2",2018
"Scaling Neural Machine Translation@@@Transformer Big","David Grangier","",2018-06-01,"43.2",2018
"Scaling Neural Machine Translation@@@Transformer Big","Michael Auli","",2018-06-01,"43.2",2018
"Time-aware Large Kernel Convolutions@@@TaLK Convolutions","Vasileios Lioutas","Carleton University",2020-02-08,"43.2",2020
"Time-aware Large Kernel Convolutions@@@TaLK Convolutions","Yuhong Guo","Carleton University",2020-02-08,"43.2",2020
"Pay Less Attention with Lightweight and Dynamic Convolutions@@@LightConv","Felix Wu","Cornell University",2019-01-29,"43.1",2019
"Pay Less Attention with Lightweight and Dynamic Convolutions@@@LightConv","Angela Fan","Harvard University",2019-01-29,"43.1",2019
"Pay Less Attention with Lightweight and Dynamic Convolutions@@@LightConv","Alexei Baevski","Facebook",2019-01-29,"43.1",2019
"Pay Less Attention with Lightweight and Dynamic Convolutions@@@LightConv","Yann N. Dauphin","Google",2019-01-29,"43.1",2019
"Pay Less Attention with Lightweight and Dynamic Convolutions@@@LightConv","Michael Auli","Facebook",2019-01-29,"43.1",2019
"Fast and Simple Mixture of Softmaxes with BPE and Hybrid-LightRNN for Language Generation@@@Transformer Big + MoS","Xiang Kong","Carnegie Mellon University",2018-09-25,"42.1",2018
"Fast and Simple Mixture of Softmaxes with BPE and Hybrid-LightRNN for Language Generation@@@Transformer Big + MoS","Qizhe Xie","Carnegie Mellon University",2018-09-25,"42.1",2018
"Fast and Simple Mixture of Softmaxes with BPE and Hybrid-LightRNN for Language Generation@@@Transformer Big + MoS","Zihang Dai","Carnegie Mellon University",2018-09-25,"42.1",2018
"Fast and Simple Mixture of Softmaxes with BPE and Hybrid-LightRNN for Language Generation@@@Transformer Big + MoS","Eduard Hovy","Carnegie Mellon University",2018-09-25,"42.1",2018
"Synthesizer: Rethinking Self-Attention in Transformer Models@@@Synthesizer (Random + Vanilla)","Yi Tay","Google",2020-05-02,"41.85",2020
"Synthesizer: Rethinking Self-Attention in Transformer Models@@@Synthesizer (Random + Vanilla)","Dara Bahri","Google",2020-05-02,"41.85",2020
"Synthesizer: Rethinking Self-Attention in Transformer Models@@@Synthesizer (Random + Vanilla)","Donald Metzler","Google",2020-05-02,"41.85",2020
"Synthesizer: Rethinking Self-Attention in Transformer Models@@@Synthesizer (Random + Vanilla)","Da-Cheng Juan","Google",2020-05-02,"41.85",2020
"Synthesizer: Rethinking Self-Attention in Transformer Models@@@Synthesizer (Random + Vanilla)","Zhe Zhao","Google",2020-05-02,"41.85",2020
"Synthesizer: Rethinking Self-Attention in Transformer Models@@@Synthesizer (Random + Vanilla)","Che Zheng","Google",2020-05-02,"41.85",2020
"Self-Attention with Relative Position Representations@@@Transformer (big) + Relative Position Representations","Peter Shaw","Google",2018-03-06,"41.5",2018
"Self-Attention with Relative Position Representations@@@Transformer (big) + Relative Position Representations","Jakob Uszkoreit","Google",2018-03-06,"41.5",2018
"Self-Attention with Relative Position Representations@@@Transformer (big) + Relative Position Representations","Ashish Vaswani","Google",2018-03-06,"41.5",2018
"Weighted Transformer Network for Machine Translation@@@Weighted Transformer (large)","Karim Ahmed","",2017-11-06,"41.4",2017
"Weighted Transformer Network for Machine Translation@@@Weighted Transformer (large)","Nitish Shirish Keskar","Northwestern University",2017-11-06,"41.4",2017
"Weighted Transformer Network for Machine Translation@@@Weighted Transformer (large)","Richard Socher","",2017-11-06,"41.4",2017
"Convolutional Sequence to Sequence Learning@@@ConvS2S (ensemble)","Jonas Gehring","Facebook",2017-05-08,"41.3",2017
"Convolutional Sequence to Sequence Learning@@@ConvS2S (ensemble)","Michael Auli","Facebook",2017-05-08,"41.3",2017
"Convolutional Sequence to Sequence Learning@@@ConvS2S (ensemble)","David Grangier","Facebook",2017-05-08,"41.3",2017
"Convolutional Sequence to Sequence Learning@@@ConvS2S (ensemble)","Denis Yarats","Facebook",2017-05-08,"41.3",2017
