institution,counter
Harvard University,9
Cornell University,9
Facebook,15
University of Amsterdam,13
Jagiellonian University,13
University of Southern California,13
Google,14
Microsoft,8
University of Science and Technology of China,7
Sun Yat-sen University,7
Peking University,7
University of Texas at Austin,7
University of Illinois at Urbana–Champaign,8
Johns Hopkins University,1
Polytechnic University of Catalonia,1
Carnegie Mellon University,7
Tencent,7
Carleton University,1
Chinese Academy of Sciences,1
Northwestern University,1
"University of California, Berkeley",1
Massachusetts Institute of Technology,1
Stanford University,6
Idiap Research Institute,1
New York University,1
Baidu,1
University of Edinburgh,1
University of Massachusetts Medical School,1
University of the Basque Country,1
