number,name
1,"('Google', 21)&('University of Amsterdam', 1)&('Jagiellonian University', 1)&('University of Southern California', 1)"
2,"('Microsoft', 8)&('University of Science and Technology of China', 5)&('Peking University', 3)&('University of Texas at Austin', 3)&('Sun Yat-sen University', 1)&('University of Illinois at Urbana–Champaign', 1)"
3,"('Facebook', 11)&('Harvard University', 1)&('Cornell University', 1)"
4,"('Carnegie Mellon University', 7)&('Tencent', 3)&('Facebook', 1)"
5,
6,"('Google', 6)"
7,
8,"('University of Edinburgh', 1)"
9,
10,"('Massachusetts Institute of Technology', 2)&('Stanford University', 1)&('Cornell University', 1)"
11,"('Baidu', 5)"
12,
13,"('Microsoft', 2)&('University of Illinois at Urbana–Champaign', 1)&('Johns Hopkins University', 1)"
14,"('Polytechnic University of Catalonia', 4)"
15,"('Google', 3)&('University of California, Berkeley', 1)"
16,"('Stanford University', 4)"
17,"('Chinese Academy of Sciences', 3)"
18,"('Northwestern University', 1)"
19,"('Idiap Research Institute', 1)"
20,"('New York University', 3)"
21,"('University of the Basque Country', 3)"
22,"('Carleton University', 2)"
23,"('Harvard University', 2)"
24,"('University of Massachusetts Medical School', 2)"
