"communities","year","papers","results","authors","SOTA"
"1",2016,1,1,13,1
"1",2017,4,4,16,1
"1",2018,3,3,20,1
"1",2019,2,3,3,1
"10",2017,1,1,5,1
"11",2016,1,1,5,1
"12",2019,1,1,4,1
"13",2020,1,1,4,1
"14",2019,1,1,4,1
"15+1",2019,1,1,5,1
"16",2015,3,3,4,1
"16",2020,2,2,4,1
"17",2019,1,1,3,1
"18",2017,1,1,3,1
"19",2019,1,1,3,1
"2",2017,1,1,6,1
"2",2018,2,2,7,2
"2",2019,2,2,11,2
"2",2020,1,1,8,1
"20",2018,1,1,3,1
"21",2018,1,1,3,1
"22",2020,1,1,2,1
"23",2016,1,1,2,1
"24",2016,1,1,2,1
"3",2017,2,2,5,1
"3",2018,5,5,8,2
"3",2019,1,1,5,NA
"4",2018,2,2,7,1
"4",2019,5,5,5,NA
"5+1",2019,1,1,9,1
"6",2020,1,1,6,1
"7",2016,1,1,6,1
"8",2015,1,1,6,1
"9",2019,1,1,5,1
