"author","community"
"Ashish Vaswani","1"
"Noam Shazeer","1"
"Niki Parmar","1"
"Jakob Uszkoreit","1"
"Llion Jones","1"
"Aidan N. Gomez","1"
"Lukasz Kaiser","1"
"Lukasz Kaiser","1"
"Illia Polosukhin","1"
"Ashish Vaswani","1"
"Noam Shazeer","1"
"Niki Parmar","1"
"Jakob Uszkoreit","1"
"Llion Jones","1"
"Aidan N. Gomez","1"
"Lukasz Kaiser","1"
"Lukasz Kaiser","1"
"Illia Polosukhin","1"
"Jonas Gehring","3"
"Michael Auli","3"
"David Grangier","3"
"Denis Yarats","3"
"Yann N. Dauphin","3"
"Jonas Gehring","3"
"Michael Auli","3"
"David Grangier","3"
"Denis Yarats","3"
"Yann N. Dauphin","3"
"Xuan-Phi Nguyen","12"
"Shafiq Joty","12"
"Wu Kui","12"
"Ai Ti Aw","12"
"Jie Zhou","11"
"Ying Cao","11"
"Xuguang Wang","11"
"Peng Li","11"
"Wei Xu","11"
"Nikolaos Pappas","19"
"James Henderson I","19"
"James Henderson","19"
"Yanyao Shen","2"
"Xu Tan","2"
"Di He","2"
"Tao Qin","2"
"Tie-Yan Liu","2"
"Lijun Wu","2"
"Yiren Wang","2"
"Yingce Xia","2"
"Fei Tian","2"
"Fei Gao","2"
"Tao Qin","2"
"Jianhuang Lai","2"
"Tie-Yan Liu","2"
"Lukasz Kaiser","1"
"Aidan N. Gomez","1"
"François Chollet","1"
"Jason Lee","20"
"Elman Mansimov","20"
"Kyunghyun Cho","20"
"Barry Haddow","8"
"Matthias Huck","8"
"Alexandra Birch","8"
"Nikolay Bogoychev","8"
"PhilippKoehn","8"
"Philipp Koehn","8"
"Thang Luong","16"
"Minh-Thang Luong","16"
"Hieu Pham","16"
"Christopher D. Manning","16"
"Thang Luong","16"
"Minh-Thang Luong","16"
"Hieu Pham","16"
"Christopher D. Manning","16"
"Thang Luong","16"
"Minh-Thang Luong","16"
"Hieu Pham","16"
"Christopher D. Manning","16"
"Colin Raffel","5+1"
"Noam Shazeer","5+1"
"Adam Roberts","5+1"
"Katherine Lee","5+1"
"Sharan Narang","5+1"
"Michael Matena","5+1"
"Yanqi Zhou","5+1"
"Wei Li","5+1"
"Peter J. Liu","5+1"
"Xiang Kong","4"
"Qizhe Xie","4"
"Zihang Dai","4"
"Eduard Hovy","4"
"Xuezhe Ma","4"
"Chunting Zhou","4"
"Xian Li","4"
"Graham Neubig","4"
"Eduard Hovy","4"
"Xuezhe Ma","4"
"Chunting Zhou","4"
"Xian Li","4"
"Graham Neubig","4"
"Eduard Hovy","4"
"Xuezhe Ma","4"
"Chunting Zhou","4"
"Xian Li","4"
"Graham Neubig","4"
"Eduard Hovy","4"
"Xuezhe Ma","4"
"Chunting Zhou","4"
"Xian Li","4"
"Graham Neubig","4"
"Eduard Hovy","4"
"Xuezhe Ma","4"
"Chunting Zhou","4"
"Xian Li","4"
"Graham Neubig","4"
"Eduard Hovy","4"
"Chengyue Gong","2"
"Di He","2"
"Xu Tan","2"
"Tao Qin","2"
"Liwei Wang","2"
"Tie-Yan Liu","2"
"Yonghui Wu","1"
"Mike Schuster Atr","1"
"Mike Schuster","1"
"Zhifeng Chen","1"
"Quoc V. Le","1"
"Mohammad Norouzi","1"
"Wolfgang Macherey","1"
"Maxim Krikun","1"
"Yuan Cao","1"
"Qin Gao","1"
"Klaus Macherey","1"
"Macduff Hughes","1"
"Jeffrey Dean","1"
"Dilin Wang","2"
"Chengyue Gong","2"
"Qiang Liu","2"
"Thang Luong","16"
"Minh-Thang Luong","16"
"Hieu Pham","16"
"Christopher D. Manning","16"
"Thang Luong","16"
"Minh-Thang Luong","16"
"Hieu Pham","16"
"Christopher D. Manning","16"
"Jinhua Zhu","2"
"Yingce Xia","2"
"Lijun Wu","2"
"Di He","2"
"Tao Qin","2"
"Wengang Zhou","2"
"Houqiang Li","2"
"Tie-Yan Liu","2"
"José A. Rodriguez-Fonollosa","14"
"José A. R. Fonollosa","14"
"Noe Casas","14"
"Marta R. Costa-jussà","14"
"William Chan","15+1"
"Nikita Kitaev","15+1"
"Kelvin Guu","15+1"
"Mitchell Stern","15+1"
"Jakob Uszkoreit","15+1"
"Yang Fan","2"
"Shufang Xie","2"
"Yingce Xia","2"
"Lijun Wu","2"
"Tao Qin","2"
"Xiang-Yang Li","2"
"Tie-Yan Liu","2"
"Guangxiang Zhao","9"
"Xu Sun","9"
"Jingjing Xu","9"
"Zhiyuan Zhang","9"
"Liangchen Luo","9"
"Nal Kalchbrenner","7"
"Lasse Espeholt","7"
"Karen Simonyan","7"
"Aaron van den Oord","7"
"Alex Graves","7"
"Koray Kavukcuoglu","7"
"Xiang Kong","4"
"Zhaopeng Tu","4"
"Shuming Shi","4"
"Eduard Hovy","4"
"Tong Zhang","4"
"Tsendsuren Munkhdalai","24"
"Hong Yu","24"
"Junliang Guo","2"
"Xu Tan","2"
"Di He","2"
"Tao Qin","2"
"Linli Xu","2"
"Tie-Yan Liu","2"
"Noam Shazeer","1"
"Azalia Mirhoseini","1"
"Krzysztof Maziarz","1"
"Andy Davis","1"
"Quoc V. Le","1"
"Geoffrey E. Hinton","1"
"Jeffrey Dean","1"
"Felix Wu","3"
"Angela Fan","3"
"Alexei Baevski","3"
"Yann N. Dauphin","3"
"Michael Auli","3"
"Guillaume Lample","3"
"Myle Ott","3"
"Alexis Conneau","3"
"Ludovic Denoyer","3"
"Marc'Aurelio Ranzato","3"
"Guillaume Lample","3"
"Myle Ott","3"
"Alexis Conneau","3"
"Ludovic Denoyer","3"
"Marc'Aurelio Ranzato","3"
"Guillaume Lample","3"
"Myle Ott","3"
"Alexis Conneau","3"
"Ludovic Denoyer","3"
"Marc'Aurelio Ranzato","3"
"Myle Ott","3"
"Sergey Edunov","3"
"David Grangier","3"
"Michael Auli","3"
"Peter Shaw","1"
"Jakob Uszkoreit","1"
"Ashish Vaswani","1"
"Yoon Kim","23"
"Alexander M. Rush","23"
"Tao Lei","10"
"Yu Zhang","10"
"Sida I. Wang","10"
"Hui Dai","10"
"Yoav Artzi","10"
"Long Zhou","17"
"Jiajun Zhang","17"
"Chengqing Zong","17"
"Yi Tay","6"
"Dara Bahri","6"
"Donald Metzler","6"
"Da-Cheng Juan","6"
"Zhe Zhao","6"
"Che Zheng","6"
"Mia Xu Chen","1"
"Orhan Firat","1"
"Ankur Bapna","1"
"Melvin Johnson","1"
"Wolfgang Macherey","1"
"George Foster","1"
"Llion Jones","1"
"Mike Schuster Atr","1"
"Mike Schuster","1"
"Noam Shazeer","1"
"Niki Parmar","1"
"Yonghui Wu","1"
"Macduff Hughes","1"
"David R. So","1"
"Quoc V. Le","1"
"Chen Liang","1"
"David R. So","1"
"Quoc V. Le","1"
"Chen Liang","1"
"David R. So","1"
"Quoc V. Le","1"
"Chen Liang","1"
"Vasileios Lioutas","22"
"Yuhong Guo","22"
"Sergey Edunov","3"
"Myle Ott","3"
"Michael Auli","3"
"David Grangier","3"
"Mostafa Dehghani","1"
"Stephan Gouws","1"
"Oriol Vinyals","1"
"Jakob Uszkoreit","1"
"Lukasz Kaiser","1"
"Mikel Artetxe","21"
"Gorka Labaka","21"
"Eneko Agirre","21"
"Xiaodong Liu","13"
"Kevin Duh","13"
"Liyuan Liu","13"
"Jianfeng Gao","13"
"Karim Ahmed","18"
"Nitish Shirish Keskar","18"
"Richard Socher","18"
