"title","authors","affiliations","paper_date","metric","year"
"Understanding Back-Translation at Scale@@@Noisy back-translation","Sergey Edunov","Facebook",2018-08-28,"35.0",2018
"Understanding Back-Translation at Scale@@@Noisy back-translation","Myle Ott","Facebook",2018-08-28,"35.0",2018
"Understanding Back-Translation at Scale@@@Noisy back-translation","Michael Auli","Microsoft",2018-08-28,"35.0",2018
"Understanding Back-Translation at Scale@@@Noisy back-translation","David Grangier","Facebook",2018-08-28,"35.0",2018
"Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer@@@T5-11B","Colin Raffel","",2019-10-23,"32.1",2019
"Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer@@@T5-11B","Noam Shazeer","",2019-10-23,"32.1",2019
"Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer@@@T5-11B","Adam Roberts","",2019-10-23,"32.1",2019
"Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer@@@T5-11B","Katherine Lee","",2019-10-23,"32.1",2019
"Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer@@@T5-11B","Sharan Narang","",2019-10-23,"32.1",2019
"Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer@@@T5-11B","Michael Matena","",2019-10-23,"32.1",2019
"Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer@@@T5-11B","Yanqi Zhou","",2019-10-23,"32.1",2019
"Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer@@@T5-11B","Wei Li","",2019-10-23,"32.1",2019
"Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer@@@T5-11B","Peter J. Liu","",2019-10-23,"32.1",2019
"Incorporating BERT into Neural Machine Translation@@@BERT-fused NMT","Jinhua Zhu","University of Science and Technology of China",2020-02-17,"30.75",2020
"Incorporating BERT into Neural Machine Translation@@@BERT-fused NMT","Yingce Xia","Microsoft",2020-02-17,"30.75",2020
"Incorporating BERT into Neural Machine Translation@@@BERT-fused NMT","Lijun Wu","University of Science and Technology of China",2020-02-17,"30.75",2020
