title,communities,metric,paper_date,communities_name
Understanding Back-Translation at Scale@@@Noisy back-translation,3,35.0,2018-08-28,"{'Harvard University', 'Cornell University', 'Facebook'}"
Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer@@@T5-11B,5+1,32.1,2019-10-23,"{'University of Amsterdam', 'Jagiellonian University', 'University of Southern California', 'Google'}"
Incorporating BERT into Neural Machine Translation@@@BERT-fused NMT,2,30.75,2020-02-17,"{'Microsoft', 'University of Science and Technology of China', 'Sun Yat-sen University', 'Peking University', 'University of Texas at Austin', 'University of Illinois at Urbana–Champaign'}"
Data Diversification: A Simple Strategy For Neural Machine Translation@@@Data Diversification - Transformer,12,30.7,2019-11-05,set()
Very Deep Transformers for Neural Machine Translation@@@Transformer (ADMIN init),13,30.1,2020-08-18,"{'Johns Hopkins University', 'Microsoft', 'University of Illinois at Urbana–Champaign'}"
Depth Growing for Neural Machine Translation@@@Depth Growing,2,30.07,2019-07-03,"{'Microsoft', 'University of Science and Technology of China', 'Sun Yat-sen University', 'Peking University', 'University of Texas at Austin', 'University of Illinois at Urbana–Champaign'}"
MUSE: Parallel Multi-Scale Attention for Sequence to Sequence Learning@@@MUSE(Parallel Multi-scale Attention),9,29.9,2019-11-17,set()
The Evolved Transformer@@@Evolved Transformer Big,1,29.3,2019-01-30,"{'University of Amsterdam', 'Jagiellonian University', 'University of Southern California', 'Google'}"
Pay Less Attention with Lightweight and Dynamic Convolutions@@@DynamicConv,3,29.7,2019-01-29,"{'Harvard University', 'Cornell University', 'Facebook'}"
Joint Source-Target Self Attention with Locality Constraints@@@Local Joint Self-attention,14,29.7,2019-05-16,{'Polytechnic University of Catalonia'}
Fast and Simple Mixture of Softmaxes with BPE and Hybrid-LightRNN for Language Generation@@@Transformer Big + MoS,4,29.6,2018-09-25,"{'Facebook', 'Carnegie Mellon University', 'Tencent'}"
Time-aware Large Kernel Convolutions@@@TaLK Convolutions,22,29.6,2020-02-08,{'Carleton University'}
Improving Neural Language Modeling via Adversarial Training@@@Transformer Big + adversarial MLE,2,29.52,2019-06-10,"{'Microsoft', 'University of Science and Technology of China', 'Sun Yat-sen University', 'Peking University', 'University of Texas at Austin', 'University of Illinois at Urbana–Champaign'}"
Scaling Neural Machine Translation@@@Transformer Big,3,29.3,2018-06-01,"{'Harvard University', 'Cornell University', 'Facebook'}"
Synchronous Bidirectional Neural Machine Translation@@@SB-NMT,17,29.21,2019-05-13,{'Chinese Academy of Sciences'}
Self-Attention with Relative Position Representations@@@Transformer (big) + Relative Position Representations,1,29.2,2018-03-06,"{'University of Amsterdam', 'Jagiellonian University', 'University of Southern California', 'Google'}"
FRAGE: Frequency-Agnostic Word Representation@@@Transformer Big with FRAGE,2,29.11,2018-09-18,"{'Microsoft', 'University of Science and Technology of China', 'Sun Yat-sen University', 'Peking University', 'University of Texas at Austin', 'University of Illinois at Urbana–Champaign'}"
