number,name
1,"('Allen Institute for Artificial Intelligence', 5)&('Facebook', 4)&('University of Washington', 3)&('Google', 3)&('Northwestern University', 1)&('Carnegie Mellon University', 1)"
2,
3,"('University of Illinois at Urbana–Champaign', 6)&('University of Southern California', 1)&('Shanghai Jiao Tong University', 1)&('Facebook', 1)"
4,"('Duke University', 7)&('University of Notre Dame', 2)&('Princeton University', 1)"
5,"('Tencent', 4)&('University of Illinois at Chicago', 3)&('Alibaba Group', 1)&('Penn State College of Information Sciences and Technology', 1)"
6,"('Zhejiang University', 1)&('Stony Brook University', 1)"
7,"('Alibaba Group', 4)&('ShanghaiTech University', 2)"
8,"('Fudan University', 7)"
9,"('Tencent', 4)&('Beijing Jiaotong University', 1)"
10,"('Microsoft', 3)&('Tsinghua University', 2)&('Beijing Institute of Technology', 1)"
11,"('Beijing University of Posts and Telecommunications', 2)&('Beijing Normal University', 1)"
12,"('Nara Institute of Science and Technology', 2)&('National Institute of Informatics', 1)&('University of Washington', 1)"
13,"('Northeastern University', 2)"
14,"('University of Rochester', 1)&(""Brigham and Women's Hospital"", 1)&('Singapore University of Technology and Design', 1)&('University of Science and Technology of China', 1)"
15,"('Carnegie Mellon University', 5)"
16,"('Carnegie Mellon University', 3)&('Google', 1)&('Pompeu Fabra University', 1)"
17,"('Charles University in Prague', 4)"
18,"('IBM', 1)&('German Center for Neurodegenerative Diseases', 1)"
19,"('Fudan University', 2)"
20,"('Stanford University', 2)&('Google', 2)"
21,"('Carnegie Mellon University', 1)&('University of California, San Diego', 1)&('Ohio State University', 1)&('Bosch', 1)"
22,"('eBay', 1)"
23,"('Toyota Technological Institute at Chicago', 4)"
24,"('Queen Mary University of London', 2)&('Google', 1)"
25,"('Shanghai Jiao Tong University', 3)"
26,"('Microsoft', 2)"
27,"('University of Lisbon', 1)"
28,"('Xerox', 1)&('University of Melbourne', 1)"
29,"('Yale University', 2)&('University of Washington', 1)"
30,"('Carnegie Mellon University', 3)"
31,"('University of Düsseldorf', 1)&('University of Freiburg', 1)&('Dublin City University', 1)"
32,"('University of Science and Technology of China', 2)"
