"communities","year","papers","results","authors","SOTA"
1,2017,1,1,4,1
1,2018,3,3,10,2
1,2019,1,1,5,1
2,2019,2,2,13,1
3,2017,1,1,7,1
3,2018,1,1,6,1
3,2019,1,1,6,1
4,2018,1,1,10,1
5,2019,1,1,9,1
6,2019,2,2,8,2
7,2020,4,5,7,2
8,2018,1,1,7,1
9,2019,2,2,6,1
10,2019,1,1,6,1
11,2019,1,1,6,1
12,2020,1,1,5,1
13,2019,1,1,5,1
14,2017,1,1,3,1
14,2018,2,2,4,NA
15,2016,2,2,5,1
16,2016,1,1,5,1
17,2019,1,1,4,1
18,2018,1,1,3,1
18,2019,1,1,3,1
19,2019,1,1,4,1
20,2018,2,1,4,1
21,2019,1,1,4,1
22,2018,1,1,4,1
23,2019,1,1,4,1
24,2020,1,1,3,1
25,2019,2,2,3,1
26,2019,1,1,3,1
27,2019,1,1,3,1
28,2018,2,2,3,1
29,2017,1,1,3,1
30,2017,1,1,3,1
31,2018,1,1,3,1
32,2018,1,1,2,1
