"author","community"
"Mohammed Attia",31
"Younes Samih",31
"Wolfgang Maier",31
"Kun Liu",11
"Shen Li",11
"Daqi Zheng",11
"Zhengdong Lu",11
"Sheng Gao",11
"Si Li",11
"Xiaoya Li",6
"Jingrong Feng",6
"Yuxian Meng",6
"Qinghong Han",6
"Fei Wu",6
"Jiwei Li",6
"Xinyu Wang",7
"Yong Jiang",7
"Nguyen Bach",7
"Tao Wang",7
"Zhongqiang Huang",7
"Fei Huang",7
"Kewei Tu",7
"Xinyu Wang",7
"Yong Jiang",7
"Nguyen Bach",7
"Tao Wang",7
"Zhongqiang Huang",7
"Fei Huang",7
"Kewei Tu",7
"Xinyu Wang",7
"Yong Jiang",7
"Nguyen Bach",7
"Tao Wang",7
"Zhongqiang Huang",7
"Fei Huang",7
"Kewei Tu",7
"Xinyu Wang",7
"Yong Jiang",7
"Nguyen Bach",7
"Tao Wang",7
"Zhongqiang Huang",7
"Fei Huang",7
"Kewei Tu",7
"Dinghan Shen",4
"Guoyin Wang",4
"Wenlin Wang",4
"Martin Renqiang Min",4
"Qinliang Su",4
"Zhang Yizhe",4
"Yizhe Zhang",4
"Chunyuan Li",4
"Ricardo Henao",4
"Lawrence Carin",4
"Jacob Devlin",1
"Ming-Wei Chang",1
"Kenton Lee",1
"Kristina Toutanova",1
"Jacob Devlin",1
"Ming-Wei Chang",1
"Kenton Lee",1
"Kristina Toutanova",1
"Alexei Baevski",1
"Sergey Edunov",1
"Yinhan Liu",1
"Luke Zettlemoyer",1
"Michael Auli",1
"Alan Akbik",18
"Duncan A. J. Blythe",18
"Roland Vollgraf",18
"Zihan Wang",3
"Jingbo Shang",3
"Liyuan Liu",3
"Lihao Lu",3
"Jiacheng Liu",3
"Jiawei Han",3
"Matthew E. Peters",1
"Mark Neumann",1
"Mohit Iyyer",1
"Matt Gardner",1
"Christopher Clark",1
"Kenton Lee",1
"Luke Zettlemoyer",1
"Kun Han",2
"Junwen Chen",2
"Hui Zhang",2
"Haiyang Xu",2
"Yiping Peng",2
"Yun Wang",2
"Ning Ding",2
"Hui Deng",2
"Yonghu Gao",2
"Tingwei Guo",2
"Hui Song",2
"Song Hui",2
"Xiangang Li",2
"Kun Han",2
"Junwen Chen",2
"Hui Zhang",2
"Haiyang Xu",2
"Yiping Peng",2
"Yun Wang",2
"Ning Ding",2
"Hui Deng",2
"Yonghu Gao",2
"Tingwei Guo",2
"Hui Song",2
"Song Hui",2
"Xiangang Li",2
"Xiaoya Li",6
"Xiaofei Sun",6
"Yuxian Meng",6
"Junjun Liang",6
"Fei Wu",6
"Jiwei Li",6
"Liyuan Liu",3
"Xiang Ren",3
"Jingbo Shang",3
"Xiaotao Gu",3
"Jian Peng",3
"Jiawei Han",3
"Liyuan Liu",3
"Jingbo Shang",3
"Frank F. Xu",3
"Xiang Ren",3
"Huan Gui",3
"Jian Peng",3
"Jiawei Han",3
"Xuezhe Ma",15
"Eduard Hovy",15
"Minghao Wu",28
"Fei Liu",28
"Trevor Cohn",28
"Minghao Wu",28
"Fei Liu",28
"Trevor Cohn",28
"Yijin Liu",9
"Fandong Meng",9
"Jinchao Zhang",9
"Jinan Xu",9
"Yufeng Chen",9
"Jie Zhou",9
"Yijin Liu",9
"Fandong Meng",9
"Jinchao Zhang",9
"Jinan Xu",9
"Yufeng Chen",9
"Jie Zhou",9
"Zhengbao Jiang",21
"Wei Xu",21
"Jun Araki",21
"Graham Neubig",21
"Hui Chen",10
"Zijia Lin",10
"Guiguang Ding",10
"Jian-Guang Lou",10
"Yusen Zhang",10
"Börje F. Karlsson",10
"Zhiting Hu",15
"Xuezhe Ma",15
