"title","authors","affiliations","paper_date","metric","year"
"LUKE: Deep Contextualized Entity Representations with Entity-aware Self-attention@@@LUKE","Ikuya Yamada","",2020-10-02,"94.3",2020
"LUKE: Deep Contextualized Entity Representations with Entity-aware Self-attention@@@LUKE","Akari Asai","University of Washington",2020-10-02,"94.3",2020
"LUKE: Deep Contextualized Entity Representations with Entity-aware Self-attention@@@LUKE","Hiroyuki Shindo","Nara Institute of Science and Technology",2020-10-02,"94.3",2020
"LUKE: Deep Contextualized Entity Representations with Entity-aware Self-attention@@@LUKE","Hideaki Takeda","National Institute of Informatics",2020-10-02,"94.3",2020
"LUKE: Deep Contextualized Entity Representations with Entity-aware Self-attention@@@LUKE","Yuji Matsumoto","Nara Institute of Science and Technology",2020-10-02,"94.3",2020
"Automated Concatenation of Embeddings for Structured Prediction@@@ACE + document-context","Xinyu Wang","ShanghaiTech University",2020-10-10,"94.14",2020
"Automated Concatenation of Embeddings for Structured Prediction@@@ACE + document-context","Yong Jiang","ShanghaiTech University",2020-10-10,"94.14",2020
"Automated Concatenation of Embeddings for Structured Prediction@@@ACE + document-context","Nguyen Bach","Alibaba Group",2020-10-10,"94.14",2020
"Automated Concatenation of Embeddings for Structured Prediction@@@ACE + document-context","Tao Wang","Alibaba Group",2020-10-10,"94.14",2020
"Automated Concatenation of Embeddings for Structured Prediction@@@ACE + document-context","Zhongqiang Huang","Alibaba Group",2020-10-10,"94.14",2020
"Automated Concatenation of Embeddings for Structured Prediction@@@ACE + document-context","Fei Huang","Alibaba Group",2020-10-10,"94.14",2020
"Automated Concatenation of Embeddings for Structured Prediction@@@ACE + document-context","Kewei Tu","Alibaba Group",2020-10-10,"94.14",2020
"Automated Concatenation of Embeddings for Structured Prediction@@@ACE","Xinyu Wang","ShanghaiTech University",2020-10-10,"93.64",2020
"Automated Concatenation of Embeddings for Structured Prediction@@@ACE","Yong Jiang","ShanghaiTech University",2020-10-10,"93.64",2020
"Automated Concatenation of Embeddings for Structured Prediction@@@ACE","Nguyen Bach","Alibaba Group",2020-10-10,"93.64",2020
