institution,counter
Zhejiang University,3
Stony Brook University,2
Google,2
Queen Mary University of London,1
Shanghai Jiao Tong University,2
Microsoft,2
Singapore University of Technology and Design,3
IBM,2
German Center for Neurodegenerative Diseases,1
Stanford University,1
National Tsing Hua University,1
Academia Sinica,1
Université de Montréal,1
Beijing Institute of Technology,1
Tsinghua University,1
University of Massachusetts Amherst,2
University of Maine,2
Tohoku University,1
University of Texas at Austin,1
"University of California, Santa Barbara",1
University of Washington,1
