number,name
1,"('Zhejiang University', 1)&('Stony Brook University', 1)"
2,"('University of California, Santa Barbara', 3)&('IBM', 3)"
3,"('Microsoft', 3)&('Tsinghua University', 2)&('Beijing Institute of Technology', 1)"
4,"('Stanford University', 2)&('Google', 2)"
5,"('University of Massachusetts Amherst', 3)&('University of Maine', 1)"
6,"('University of Washington', 4)"
7,"('Queen Mary University of London', 2)&('Google', 1)"
8,"('Shanghai Jiao Tong University', 3)"
9,"('Microsoft', 2)"
10,"('IBM', 1)&('German Center for Neurodegenerative Diseases', 1)"
11,"('National Tsing Hua University', 1)&('Academia Sinica', 1)"
12,"('Singapore University of Technology and Design', 2)"
13,"('Zhejiang University', 1)&('Singapore University of Technology and Design', 1)"
14,"('Université de Montréal', 1)"
15,"('Tohoku University', 1)"
16,"('University of Texas at Austin', 2)"
