"author","community"
"Xiaoya Li",1
"Jingrong Feng",1
"Yuxian Meng",1
"Qinghong Han",1
"Fei Wu",1
"Jiwei Li",1
"Alan Akbik",10
"Duncan A. J. Blythe",10
"Roland Vollgraf",10
"Zhanming Jie",12
"Wei Lu",12
"Zhanming Jie",12
"Wei Lu",12
"Xiaoya Li",1
"Xiaofei Sun",1
"Yuxian Meng",1
"Junjun Liang",1
"Fei Wu",1
"Jiwei Li",1
"Emma Strubell",5
"Patrick Verga",5
"David Belanger",5
"Andrew McCallum",5
"Emma Strubell",5
"Patrick Verga",5
"David Belanger",5
"Andrew McCallum",5
"Hui Chen",3
"Zijia Lin",3
"Guiguang Ding",3
"Jian-Guang Lou",3
"Yusen Zhang",3
"Börje F. Karlsson",3
"Ying Luo",8
"Fengshun Xiao",8
"Hai Zhao",8
"Ying Luo",8
"Fengshun Xiao",8
"Hai Zhao",8
"Leyang Cui",13
"Yue Zhang",13
"Wenhan Xiong",2
"Jiawei Wu",2
"Deren Lei",2
"Mo Yu",2
"Shiyu Chang",2
"Xiaoxiao Guo",2
"William Yang Wang",2
"Yasumasa Onoe",16
"Greg Durrett",16
"Juntao Yu",7
"Bernd Bohnet",7
"Massimo Poesio",7
"Fabrice Dugas",15
"Eric Nichols",15
"Abbas Ghaddar",14
"Philippe Langlais",14
"Kevin Clark",4
"Minh-Thang Luong",4
"Christopher D. Manning",4
"Quoc V. Le",4
"Tianyu Liu",9
"Jin-Ge Yao",9
"Chin-Yew Lin",9
"Eunsol Choi",6
"Omer Levy",6
"Yejin Choi",6
"Luke Zettlemoyer",6
"Peng-Hsuan Li",11
"Tsu-Jui Fu",11
"Wei-Yun Ma",11
