"title","authors","affiliations","paper_date","metric","year"
"Dice Loss for Data-imbalanced NLP Tasks@@@BERT-MRC+DSC","Xiaoya Li","",2019-11-07,"92.07",2019
"Dice Loss for Data-imbalanced NLP Tasks@@@BERT-MRC+DSC","Xiaofei Sun","Stony Brook University",2019-11-07,"92.07",2019
"Dice Loss for Data-imbalanced NLP Tasks@@@BERT-MRC+DSC","Yuxian Meng","",2019-11-07,"92.07",2019
"Dice Loss for Data-imbalanced NLP Tasks@@@BERT-MRC+DSC","Junjun Liang","",2019-11-07,"92.07",2019
"Dice Loss for Data-imbalanced NLP Tasks@@@BERT-MRC+DSC","Fei Wu","Zhejiang University",2019-11-07,"92.07",2019
"Dice Loss for Data-imbalanced NLP Tasks@@@BERT-MRC+DSC","Jiwei Li","",2019-11-07,"92.07",2019
"Named Entity Recognition as Dependency Parsing@@@Biaffine-NER","Juntao Yu","Queen Mary University of London",2020-05-14,"91.3",2020
"Named Entity Recognition as Dependency Parsing@@@Biaffine-NER","Bernd Bohnet","Google",2020-05-14,"91.3",2020
"Named Entity Recognition as Dependency Parsing@@@Biaffine-NER","Massimo Poesio","Queen Mary University of London",2020-05-14,"91.3",2020
"A Unified MRC Framework for Named Entity Recognition@@@BERT-MRC","Xiaoya Li","",2019-10-25,"91.11",2019
"A Unified MRC Framework for Named Entity Recognition@@@BERT-MRC","Jingrong Feng","",2019-10-25,"91.11",2019
"A Unified MRC Framework for Named Entity Recognition@@@BERT-MRC","Yuxian Meng","",2019-10-25,"91.11",2019
"A Unified MRC Framework for Named Entity Recognition@@@BERT-MRC","Qinghong Han","",2019-10-25,"91.11",2019
"A Unified MRC Framework for Named Entity Recognition@@@BERT-MRC","Fei Wu","Zhejiang University",2019-10-25,"91.11",2019
"A Unified MRC Framework for Named Entity Recognition@@@BERT-MRC","Jiwei Li","",2019-10-25,"91.11",2019
"Hierarchical Contextualized Representation for Named Entity Recognition@@@Hierarchical + BERT","Ying Luo","Shanghai Jiao Tong University",2019-11-06,"90.30",2019
"Hierarchical Contextualized Representation for Named Entity Recognition@@@Hierarchical + BERT","Fengshun Xiao","Shanghai Jiao Tong University",2019-11-06,"90.30",2019
"Hierarchical Contextualized Representation for Named Entity Recognition@@@Hierarchical + BERT","Hai Zhao","Shanghai Jiao Tong University",2019-11-06,"90.30",2019
"Towards Improving Neural Named Entity Recognition with Gazetteers@@@HSCRF + softdict","Tianyu Liu","",2019-07-01,"89.94",2019
"Towards Improving Neural Named Entity Recognition with Gazetteers@@@HSCRF + softdict","Jin-Ge Yao","Microsoft",2019-07-01,"89.94",2019
"Towards Improving Neural Named Entity Recognition with Gazetteers@@@HSCRF + softdict","Chin-Yew Lin","Microsoft",2019-07-01,"89.94",2019
"Dependency-Guided LSTM-CRF for Named Entity Recognition@@@DGLSTM-CRF + ELMo","Zhanming Jie","Singapore University of Technology and Design",2019-09-23,"89.88",2019
"Dependency-Guided LSTM-CRF for Named Entity Recognition@@@DGLSTM-CRF + ELMo","Wei Lu","Singapore University of Technology and Design",2019-09-23,"89.88",2019
"Contextual String Embeddings for Sequence Labeling@@@Flair embeddings","Alan Akbik","IBM",2018-08-01,"89.3",2018
"Contextual String Embeddings for Sequence Labeling@@@Flair embeddings","Duncan A. J. Blythe","German Center for Neurodegenerative Diseases",2018-08-01,"89.3",2018
"Contextual String Embeddings for Sequence Labeling@@@Flair embeddings","Roland Vollgraf","",2018-08-01,"89.3",2018
"Semi-Supervised Sequence Modeling with Cross-View Training@@@CVT + Multi-Task + Large","Kevin Clark","Stanford University",2018-09-22,"88.81",2018
