institution,counter
Cornell University,32
Microsoft,44
Google,32
Carnegie Mellon University,36
Nanyang Technological University,32
Tsinghua University,48
Zhejiang University,35
Amirkabir University of Technology,32
Purdue University,32
Facebook,32
Peking University,47
The Chinese University of Hong Kong,35
Samsung,32
University of California,32
Xi'an Jiaotong University,32
University of Sydney,32
Shanghai Jiao Tong University,2
University of Adelaide,6
Electronics and Telecommunications Research Institute,7
University of Science and Technology of China,12
Hong Kong University of Science and Technology,12
Nankai University,4
"University of California, Merced",4
University of Oxford,5
Huazhong University of Science and Technology,17
Middle East Technical University,7
Hacettepe University,7
University of Texas at Austin,2
"University of California, San Diego",2
University of Michigan,3
Chinese Academy of Sciences,2
Nanjing University,1
SenseTime,3
Huawei,1
University of North Carolina at Chapel Hill,1
Sun Yat-sen University,2
"University of California, Los Angeles",2
University of Parma,4
Temple University,2
"University of California, Davis",1
