number,name
1,"('The Chinese University of Hong Kong', 12)&('Google', 5)&('Facebook', 4)&('University of Sydney', 3)&('Cornell University', 2)&('Carnegie Mellon University', 2)&('Tsinghua University', 1)&('Microsoft', 1)&('Amirkabir University of Technology', 1)&('University of California', 1)&('Nanyang Technological University', 1)&('Peking University', 1)&('Zhejiang University', 1)&('Samsung', 1)&(""Xi'an Jiaotong University"", 1)&('Purdue University', 1)"
2,"('Huazhong University of Science and Technology', 3)"
3,"('University of Adelaide', 3)"
4,"('Microsoft', 5)&('Peking University', 2)&('Hong Kong University of Science and Technology', 1)&('University of Science and Technology of China', 1)&('Tsinghua University', 1)"
5,"('Tsinghua University', 2)"
6,"('The Chinese University of Hong Kong', 3)&('SenseTime', 2)&('Zhejiang University', 1)"
7,"('Peking University', 4)&('Temple University', 1)"
8,"('Shanghai Jiao Tong University', 6)"
9,"('Nankai University', 4)&('University of Oxford', 1)&('University of California, Merced', 1)"
10,
11,"('Chinese Academy of Sciences', 3)&('Huawei', 2)&('University of Oxford', 1)"
12,"('Middle East Technical University', 5)&('Hacettepe University', 1)"
13,
14,"('University of Michigan', 2)"
15,"('Peking University', 1)&('Chinese Academy of Sciences', 1)"
16,"('University of California, Davis', 4)"
17,"('University of Texas at Austin', 3)"
18,"('Nanjing University', 3)"
19,"('Carnegie Mellon University', 3)"
20,"('University of North Carolina at Chapel Hill', 1)"
21,"('Sun Yat-sen University', 2)&('University of California, Los Angeles', 1)"
22,"('University of Parma', 3)"
23,"('Electronics and Telecommunications Research Institute', 2)"
24,"('University of California, San Diego', 2)"
