"communities","year","papers","results","authors","SOTA"
1,2016,1,1,6,1
1,2017,6,6,6,2
1,2018,6,6,4,1
1,2019,6,6,28,1
1,2020,5,5,11,NA
2,2019,12,12,12,1
3,2019,1,1,4,1
3,2020,2,2,12,1
4,2018,2,2,4,1
4,2019,9,8,8,1
5,2019,4,4,8,1
6,2018,3,3,7,2
7,2018,2,2,7,1
8,2020,1,1,6,1
9,2019,2,2,6,1
10,2020,2,2,6,1
11,2019,1,1,6,1
12,2019,1,1,4,1
12,2020,6,6,6,1
13,2019,1,1,5,1
14,2018,1,1,2,1
14,2019,2,2,4,1
15,2019,1,1,4,1
17,2019,2,2,3,1
18,2019,1,1,3,1
19,2019,4,4,3,1
20,2019,1,1,3,1
21,2019,1,1,3,1
22,2020,2,2,3,1
23,2019,5,5,2,1
24,2017,2,2,2,1
