"title","authors","affiliations","paper_date","metric","year"
"Rethinking on Multi-Stage Networks for Human Pose Estimation@@@MSPN","Wenbo Li","",2019-01-01,"not available",2019
"Rethinking on Multi-Stage Networks for Human Pose Estimation@@@MSPN","Zhicheng Wang","",2019-01-01,"not available",2019
"Rethinking on Multi-Stage Networks for Human Pose Estimation@@@MSPN","Binyi Yin","",2019-01-01,"not available",2019
"Rethinking on Multi-Stage Networks for Human Pose Estimation@@@MSPN","Qixiang Peng","",2019-01-01,"not available",2019
"Rethinking on Multi-Stage Networks for Human Pose Estimation@@@MSPN","Yuming Du","",2019-01-01,"not available",2019
"Rethinking on Multi-Stage Networks for Human Pose Estimation@@@MSPN","Tianzi Xiao","",2019-01-01,"not available",2019
"Rethinking on Multi-Stage Networks for Human Pose Estimation@@@MSPN","Gang Yu","",2019-01-01,"not available",2019
"Rethinking on Multi-Stage Networks for Human Pose Estimation@@@MSPN","Hongtao Lu","",2019-01-01,"not available",2019
"Rethinking on Multi-Stage Networks for Human Pose Estimation@@@MSPN","Yichen Wei","",2019-01-01,"not available",2019
"Rethinking on Multi-Stage Networks for Human Pose Estimation@@@MSPN","Jian Sun","Shanghai Jiao Tong University",2019-01-01,"not available",2019
"Simple Copy-Paste is a Strong Data Augmentation Method for Instance Segmentation@@@Cascade Eff-B7 NAS-FPN (1280, self-training Copy Paste, single-scale)","Hao-Shu Fang","Shanghai Jiao Tong University",2020-12-13,"57.0",2020
"Simple Copy-Paste is a Strong Data Augmentation Method for Instance Segmentation@@@Cascade Eff-B7 NAS-FPN (1280, self-training Copy Paste, single-scale)","Jianhua Sun","Shanghai Jiao Tong University",2020-12-13,"57.0",2020
"Simple Copy-Paste is a Strong Data Augmentation Method for Instance Segmentation@@@Cascade Eff-B7 NAS-FPN (1280, self-training Copy Paste, single-scale)","Runzhong Wang","Shanghai Jiao Tong University",2020-12-13,"57.0",2020
"Simple Copy-Paste is a Strong Data Augmentation Method for Instance Segmentation@@@Cascade Eff-B7 NAS-FPN (1280, self-training Copy Paste, single-scale)","Minghao Gou","Shanghai Jiao Tong University",2020-12-13,"57.0",2020
"Simple Copy-Paste is a Strong Data Augmentation Method for Instance Segmentation@@@Cascade Eff-B7 NAS-FPN (1280, self-training Copy Paste, single-scale)","Yong-Lu Li","Shanghai Jiao Tong University",2020-12-13,"57.0",2020
"Simple Copy-Paste is a Strong Data Augmentation Method for Instance Segmentation@@@Cascade Eff-B7 NAS-FPN (1280, self-training Copy Paste, single-scale)","Cewu Lu","Shanghai Jiao Tong University",2020-12-13,"57.0",2020
"EfficientDet: Scalable and Efficient Object Detection@@@EfficientDet-D7x (single-scale)","Mingxing Tan","Google",2019-11-20,"54.4",2019
"EfficientDet: Scalable and Efficient Object Detection@@@EfficientDet-D7x (single-scale)","Ruoming Pang","Google",2019-11-20,"54.4",2019
"EfficientDet: Scalable and Efficient Object Detection@@@EfficientDet-D7x (single-scale)","Quoc V. Le","Google",2019-11-20,"54.4",2019
"Rethinking Pre-training and Self-training@@@SpineNet-190 (1280, with Self-training on OpenImages, single-scale)","Barret Zoph","",2020-06-11,"54.2",2020
"Rethinking Pre-training and Self-training@@@SpineNet-190 (1280, with Self-training on OpenImages, single-scale)","Golnaz Ghiasi","",2020-06-11,"54.2",2020
"Rethinking Pre-training and Self-training@@@SpineNet-190 (1280, with Self-training on OpenImages, single-scale)","Tsung-Yi Lin","",2020-06-11,"54.2",2020
"Rethinking Pre-training and Self-training@@@SpineNet-190 (1280, with Self-training on OpenImages, single-scale)","Yin Cui","",2020-06-11,"54.2",2020
"Rethinking Pre-training and Self-training@@@SpineNet-190 (1280, with Self-training on OpenImages, single-scale)","Hanxiao Liu","",2020-06-11,"54.2",2020
"Rethinking Pre-training and Self-training@@@SpineNet-190 (1280, with Self-training on OpenImages, single-scale)","Ekin D. Cubuk","",2020-06-11,"54.2",2020
"Rethinking Pre-training and Self-training@@@SpineNet-190 (1280, with Self-training on OpenImages, single-scale)","Quoc V. Le","",2020-06-11,"54.2",2020
"ResNeSt: Split-Attention Networks@@@ResNeSt-200 (multi-scale)","Hang Zhang","",2020-04-19,"52.47",2020
"ResNeSt: Split-Attention Networks@@@ResNeSt-200 (multi-scale)","Chongruo Wu","",2020-04-19,"52.47",2020
"ResNeSt: Split-Attention Networks@@@ResNeSt-200 (multi-scale)","Zhongyue Zhang","",2020-04-19,"52.47",2020
"ResNeSt: Split-Attention Networks@@@ResNeSt-200 (multi-scale)","Yi Zhu","",2020-04-19,"52.47",2020
"ResNeSt: Split-Attention Networks@@@ResNeSt-200 (multi-scale)","Zhi Zhang","",2020-04-19,"52.47",2020
"ResNeSt: Split-Attention Networks@@@ResNeSt-200 (multi-scale)","Haibin Lin","",2020-04-19,"52.47",2020
"ResNeSt: Split-Attention Networks@@@ResNeSt-200 (multi-scale)","Yue Sun","",2020-04-19,"52.47",2020
"ResNeSt: Split-Attention Networks@@@ResNeSt-200 (multi-scale)","Tong He","",2020-04-19,"52.47",2020
"ResNeSt: Split-Attention Networks@@@ResNeSt-200 (multi-scale)","Jonas Mueller","",2020-04-19,"52.47",2020
"ResNeSt: Split-Attention Networks@@@ResNeSt-200 (multi-scale)","R. Manmatha","",2020-04-19,"52.47",2020
"ResNeSt: Split-Attention Networks@@@ResNeSt-200 (multi-scale)","Mu Li","",2020-04-19,"52.47",2020
"ResNeSt: Split-Attention Networks@@@ResNeSt-200 (multi-scale)","Alexander J. Smola","",2020-04-19,"52.47",2020
"SpineNet: Learning Scale-Permuted Backbone for Recognition and Localization@@@SpineNet-190 (Mask R-CNN, single-scale)","Xianzhi Du","Samsung",2019-12-10,"52.2",2019
"SpineNet: Learning Scale-Permuted Backbone for Recognition and Localization@@@SpineNet-190 (Mask R-CNN, single-scale)","Tsung-Yi Lin","Google",2019-12-10,"52.2",2019
"SpineNet: Learning Scale-Permuted Backbone for Recognition and Localization@@@SpineNet-190 (Mask R-CNN, single-scale)","Pengchong Jin","Purdue University",2019-12-10,"52.2",2019
"SpineNet: Learning Scale-Permuted Backbone for Recognition and Localization@@@SpineNet-190 (Mask R-CNN, single-scale)","Golnaz Ghiasi","Amirkabir University of Technology",2019-12-10,"52.2",2019
"SpineNet: Learning Scale-Permuted Backbone for Recognition and Localization@@@SpineNet-190 (Mask R-CNN, single-scale)","Mingxing Tan","Google",2019-12-10,"52.2",2019
"SpineNet: Learning Scale-Permuted Backbone for Recognition and Localization@@@SpineNet-190 (Mask R-CNN, single-scale)","Yin Cui","Cornell University",2019-12-10,"52.2",2019
"SpineNet: Learning Scale-Permuted Backbone for Recognition and Localization@@@SpineNet-190 (Mask R-CNN, single-scale)","Quoc V. Le","Google",2019-12-10,"52.2",2019
"SpineNet: Learning Scale-Permuted Backbone for Recognition and Localization@@@SpineNet-190 (Mask R-CNN, single-scale)","Xiaodan Song","Google",2019-12-10,"52.2",2019
"SpineNet: Learning Scale-Permuted Backbone for Recognition and Localization@@@SpineNet-190 (RetinaNet, single-scale)","Xianzhi Du","Samsung",2019-12-10,"52.0",2019
"SpineNet: Learning Scale-Permuted Backbone for Recognition and Localization@@@SpineNet-190 (RetinaNet, single-scale)","Tsung-Yi Lin","Google",2019-12-10,"52.0",2019
"SpineNet: Learning Scale-Permuted Backbone for Recognition and Localization@@@SpineNet-190 (RetinaNet, single-scale)","Pengchong Jin","Purdue University",2019-12-10,"52.0",2019
"SpineNet: Learning Scale-Permuted Backbone for Recognition and Localization@@@SpineNet-190 (RetinaNet, single-scale)","Golnaz Ghiasi","Amirkabir University of Technology",2019-12-10,"52.0",2019
"SpineNet: Learning Scale-Permuted Backbone for Recognition and Localization@@@SpineNet-190 (RetinaNet, single-scale)","Mingxing Tan","Google",2019-12-10,"52.0",2019
"SpineNet: Learning Scale-Permuted Backbone for Recognition and Localization@@@SpineNet-190 (RetinaNet, single-scale)","Yin Cui","Cornell University",2019-12-10,"52.0",2019
"SpineNet: Learning Scale-Permuted Backbone for Recognition and Localization@@@SpineNet-190 (RetinaNet, single-scale)","Quoc V. Le","Google",2019-12-10,"52.0",2019
"SpineNet: Learning Scale-Permuted Backbone for Recognition and Localization@@@SpineNet-190 (RetinaNet, single-scale)","Xiaodan Song","Google",2019-12-10,"52.0",2019
"ResNeSt: Split-Attention Networks@@@ResNeSt-200 (single-scale)","Hang Zhang","",2020-04-19,"50.54",2020
"ResNeSt: Split-Attention Networks@@@ResNeSt-200 (single-scale)","Chongruo Wu","",2020-04-19,"50.54",2020
"ResNeSt: Split-Attention Networks@@@ResNeSt-200 (single-scale)","Zhongyue Zhang","",2020-04-19,"50.54",2020
"ResNeSt: Split-Attention Networks@@@ResNeSt-200 (single-scale)","Yi Zhu","",2020-04-19,"50.54",2020
"ResNeSt: Split-Attention Networks@@@ResNeSt-200 (single-scale)","Zhi Zhang","",2020-04-19,"50.54",2020
"ResNeSt: Split-Attention Networks@@@ResNeSt-200 (single-scale)","Haibin Lin","",2020-04-19,"50.54",2020
"ResNeSt: Split-Attention Networks@@@ResNeSt-200 (single-scale)","Yue Sun","",2020-04-19,"50.54",2020
"ResNeSt: Split-Attention Networks@@@ResNeSt-200 (single-scale)","Tong He","",2020-04-19,"50.54",2020
"ResNeSt: Split-Attention Networks@@@ResNeSt-200 (single-scale)","Jonas Mueller","",2020-04-19,"50.54",2020
"ResNeSt: Split-Attention Networks@@@ResNeSt-200 (single-scale)","R. Manmatha","",2020-04-19,"50.54",2020
"ResNeSt: Split-Attention Networks@@@ResNeSt-200 (single-scale)","Mu Li","",2020-04-19,"50.54",2020
"ResNeSt: Split-Attention Networks@@@ResNeSt-200 (single-scale)","Alexander J. Smola","",2020-04-19,"50.54",2020
"CenterMask : Real-Time Anchor-Free Instance Segmentation@@@CenterMask+VoVNet99 (multi-scale)","Youngwan Lee","Electronics and Telecommunications Research Institute",2019-11-15,"48.6",2019
"CenterMask : Real-Time Anchor-Free Instance Segmentation@@@CenterMask+VoVNet99 (multi-scale)","Jongyoul Park","Electronics and Telecommunications Research Institute",2019-11-15,"48.6",2019
"Rethinking ImageNet Pre-training@@@Mask R-CNN (ResNeXt-152-FPN, cascade)","Kaiming He","Facebook",2018-11-21,"48.6",2018
"Rethinking ImageNet Pre-training@@@Mask R-CNN (ResNeXt-152-FPN, cascade)","Ross Girshick","",2018-11-21,"48.6",2018
"Rethinking ImageNet Pre-training@@@Mask R-CNN (ResNeXt-152-FPN, cascade)","Piotr Dollar","",2018-11-21,"48.6",2018
"GCNet: Non-local Networks Meet Squeeze-Excitation Networks and Beyond@@@GCNet (ResNeXt-101 + DCN + cascade + GC r16)","Yue Cao","Microsoft",2019-04-25,"47.9",2019
"GCNet: Non-local Networks Meet Squeeze-Excitation Networks and Beyond@@@GCNet (ResNeXt-101 + DCN + cascade + GC r16)","Jiarui Xu","Hong Kong University of Science and Technology",2019-04-25,"47.9",2019
"GCNet: Non-local Networks Meet Squeeze-Excitation Networks and Beyond@@@GCNet (ResNeXt-101 + DCN + cascade + GC r16)","Stephen Lin","Microsoft",2019-04-25,"47.9",2019
"GCNet: Non-local Networks Meet Squeeze-Excitation Networks and Beyond@@@GCNet (ResNeXt-101 + DCN + cascade + GC r16)","Fangyun Wei","Microsoft",2019-04-25,"47.9",2019
"GCNet: Non-local Networks Meet Squeeze-Excitation Networks and Beyond@@@GCNet (ResNeXt-101 + DCN + cascade + GC r16)","Han Hu","Microsoft",2019-04-25,"47.9",2019
"Res2Net: A New Multi-scale Backbone Architecture@@@Res2Net101+HTC","Shanghua Gao","Nankai University",2019-04-02,"47.5",2019
"Res2Net: A New Multi-scale Backbone Architecture@@@Res2Net101+HTC","Ming-Ming Cheng","Nankai University",2019-04-02,"47.5",2019
"Res2Net: A New Multi-scale Backbone Architecture@@@Res2Net101+HTC","Kai Zhao","Nankai University",2019-04-02,"47.5",2019
"Res2Net: A New Multi-scale Backbone Architecture@@@Res2Net101+HTC","Xin-Yu Zhang","Nankai University",2019-04-02,"47.5",2019
"Res2Net: A New Multi-scale Backbone Architecture@@@Res2Net101+HTC","Ming-Hsuan Yang","University of California, Merced",2019-04-02,"47.5",2019
"Res2Net: A New Multi-scale Backbone Architecture@@@Res2Net101+HTC","Philip H. S. Torr","University of Oxford",2019-04-02,"47.5",2019
"Rethinking ImageNet Pre-training@@@Mask R-CNN (ResNet-101-FPN, GN, Cascade)","Kaiming He","Facebook",2018-11-21,"47.4",2018
