title,communities,metric,paper_date,communities_name
Rethinking on Multi-Stage Networks for Human Pose Estimation@@@MSPN,1,not available,2019-01-01,"{'Cornell University', 'Microsoft', 'Google', 'Carnegie Mellon University', 'Nanyang Technological University', 'Tsinghua University', 'Zhejiang University', 'Amirkabir University of Technology', 'Purdue University', 'Facebook', 'Peking University', 'The Chinese University of Hong Kong', 'Samsung', 'University of California', ""Xi'an Jiaotong University"", 'University of Sydney'}"
"Simple Copy-Paste is a Strong Data Augmentation Method for Instance Segmentation@@@Cascade Eff-B7 NAS-FPN (1280, self-training Copy Paste, single-scale)",8,not available,2020-12-13,{'Shanghai Jiao Tong University'}
EfficientDet: Scalable and Efficient Object Detection@@@EfficientDet-D7x (single-scale),1,54.4,2019-11-20,"{'Cornell University', 'Microsoft', 'Google', 'Carnegie Mellon University', 'Nanyang Technological University', 'Tsinghua University', 'Zhejiang University', 'Amirkabir University of Technology', 'Purdue University', 'Facebook', 'Peking University', 'The Chinese University of Hong Kong', 'Samsung', 'University of California', ""Xi'an Jiaotong University"", 'University of Sydney'}"
"Rethinking Pre-training and Self-training@@@SpineNet-190 (1280, with Self-training on OpenImages, single-scale)",1,54.2,2020-06-11,"{'Cornell University', 'Microsoft', 'Google', 'Carnegie Mellon University', 'Nanyang Technological University', 'Tsinghua University', 'Zhejiang University', 'Amirkabir University of Technology', 'Purdue University', 'Facebook', 'Peking University', 'The Chinese University of Hong Kong', 'Samsung', 'University of California', ""Xi'an Jiaotong University"", 'University of Sydney'}"
ResNeSt: Split-Attention Networks@@@ResNeSt-200 (multi-scale),3,not available,2020-04-19,{'University of Adelaide'}
"SpineNet: Learning Scale-Permuted Backbone for Recognition and Localization@@@SpineNet-190 (Mask R-CNN, single-scale)",1,not available,2019-12-10,"{'Cornell University', 'Microsoft', 'Google', 'Carnegie Mellon University', 'Nanyang Technological University', 'Tsinghua University', 'Zhejiang University', 'Amirkabir University of Technology', 'Purdue University', 'Facebook', 'Peking University', 'The Chinese University of Hong Kong', 'Samsung', 'University of California', ""Xi'an Jiaotong University"", 'University of Sydney'}"
"SpineNet: Learning Scale-Permuted Backbone for Recognition and Localization@@@SpineNet-190 (RetinaNet, single-scale)",1,52.0,2019-12-10,"{'Cornell University', 'Microsoft', 'Google', 'Carnegie Mellon University', 'Nanyang Technological University', 'Tsinghua University', 'Zhejiang University', 'Amirkabir University of Technology', 'Purdue University', 'Facebook', 'Peking University', 'The Chinese University of Hong Kong', 'Samsung', 'University of California', ""Xi'an Jiaotong University"", 'University of Sydney'}"
ResNeSt: Split-Attention Networks@@@ResNeSt-200 (single-scale),3,not available,2020-04-19,{'University of Adelaide'}
CenterMask : Real-Time Anchor-Free Instance Segmentation@@@CenterMask+VoVNet99 (multi-scale),23,48.6,2019-11-15,{'Electronics and Telecommunications Research Institute'}
"Rethinking ImageNet Pre-training@@@Mask R-CNN (ResNeXt-152-FPN, cascade)",1,48.6,2018-11-21,"{'Cornell University', 'Microsoft', 'Google', 'Carnegie Mellon University', 'Nanyang Technological University', 'Tsinghua University', 'Zhejiang University', 'Amirkabir University of Technology', 'Purdue University', 'Facebook', 'Peking University', 'The Chinese University of Hong Kong', 'Samsung', 'University of California', ""Xi'an Jiaotong University"", 'University of Sydney'}"
GCNet: Non-local Networks Meet Squeeze-Excitation Networks and Beyond@@@GCNet (ResNeXt-101 + DCN + cascade + GC r16),4,not available,2019-04-25,"{'Microsoft', 'Tsinghua University', 'University of Science and Technology of China', 'Peking University', 'Hong Kong University of Science and Technology'}"
Res2Net: A New Multi-scale Backbone Architecture@@@Res2Net101+HTC,9,47.5,2019-04-02,"{'Nankai University', 'University of California, Merced', 'University of Oxford'}"
"Rethinking ImageNet Pre-training@@@Mask R-CNN (ResNet-101-FPN, GN, Cascade)",1,47.4,2018-11-21,"{'Cornell University', 'Microsoft', 'Google', 'Carnegie Mellon University', 'Nanyang Technological University', 'Tsinghua University', 'Zhejiang University', 'Amirkabir University of Technology', 'Purdue University', 'Facebook', 'Peking University', 'The Chinese University of Hong Kong', 'Samsung', 'University of California', ""Xi'an Jiaotong University"", 'University of Sydney'}"
Deep High-Resolution Representation Learning for Visual Recognition@@@HTC (HRNetV2p-W48),2,not available,2019-08-20,{'Huazhong University of Science and Technology'}
"RepPoints: Point Set Representation for Object Detection@@@RPDet (ResNeXt-101-DCN, multi-scale)",4,46.8,2019-04-25,"{'Microsoft', 'Tsinghua University', 'University of Science and Technology of China', 'Peking University', 'Hong Kong University of Science and Technology'}"
Rethinking ImageNet Pre-training@@@Mask R-CNN (ResNeXt-152-FPN),1,46.4,2018-11-21,"{'Cornell University', 'Microsoft', 'Google', 'Carnegie Mellon University', 'Nanyang Technological University', 'Tsinghua University', 'Zhejiang University', 'Amirkabir University of Technology', 'Purdue University', 'Facebook', 'Peking University', 'The Chinese University of Hong Kong', 'Samsung', 'University of California', ""Xi'an Jiaotong University"", 'University of Sydney'}"
"RepPoints: Point Set Representation for Object Detection@@@RPDet (ResNet-101-DCN, multi-scale)",4,46.4,2019-04-25,"{'Microsoft', 'Tsinghua University', 'University of Science and Technology of China', 'Peking University', 'Hong Kong University of Science and Technology'}"
"HoughNet: Integrating near and long-range evidence for bottom-up object detection@@@HoughNet (HG-104, MS)",12,46.1,2020-07-05,"{'Middle East Technical University', 'Hacettepe University'}"
"Deep High-Resolution Representation Learning for Visual Recognition@@@Mask R-CNN (HRNetV2p-W48, cascade)",2,46.0,2019-08-20,{'Huazhong University of Science and Technology'}
"Sparse R-CNN: End-to-End Object Detection with Learnable Proposals@@@Sparse R-CNN (ResNet-101, learnable proposals, random crop aug, FPN)",1,45.6,2020-11-25,"{'Cornell University', 'Microsoft', 'Google', 'Carnegie Mellon University', 'Nanyang Technological University', 'Tsinghua University', 'Zhejiang University', 'Amirkabir University of Technology', 'Purdue University', 'Facebook', 'Peking University', 'The Chinese University of Hong Kong', 'Samsung', 'University of California', ""Xi'an Jiaotong University"", 'University of Sydney'}"
CenterMask : Real-Time Anchor-Free Instance Segmentation@@@CenterMask+VoVNetV2-99 (single-scale),23,45.6,2019-11-15,{'Electronics and Telecommunications Research Institute'}
Deep High-Resolution Representation Learning for Visual Recognition@@@HTC (HRNetV2p-W32),2,45.3,2019-08-20,{'Huazhong University of Science and Technology'}
Non-local Neural Networks@@@Mask R-CNN (ResNeXt-152 + 1 NL),1,45.0,2017-11-21,"{'Cornell University', 'Microsoft', 'Google', 'Carnegie Mellon University', 'Nanyang Technological University', 'Tsinghua University', 'Zhejiang University', 'Amirkabir University of Technology', 'Purdue University', 'Facebook', 'Peking University', 'The Chinese University of Hong Kong', 'Samsung', 'University of California', ""Xi'an Jiaotong University"", 'University of Sydney'}"
Attentive Normalization@@@Mask R-CNN-FPN (AOGNet-40M),1,not available,2019-08-04,"{'Cornell University', 'Microsoft', 'Google', 'Carnegie Mellon University', 'Nanyang Technological University', 'Tsinghua University', 'Zhejiang University', 'Amirkabir University of Technology', 'Purdue University', 'Facebook', 'Peking University', 'The Chinese University of Hong Kong', 'Samsung', 'University of California', ""Xi'an Jiaotong University"", 'University of Sydney'}"
End-to-End Object Detection with Transformers@@@DETR-DC5 (ResNet-101),10,44.9,2020-05-26,set()
"CenterMask : Real-Time Anchor-Free Instance Segmentation@@@Mask R-CNN (VoVNetV2-99, single-scale)",23,44.9,2019-11-15,{'Electronics and Telecommunications Research Institute'}
"RepPoints: Point Set Representation for Object Detection@@@RPDet (ResNet-101-DCN, multi-scale train)",4,44.8,2019-04-25,"{'Microsoft', 'Tsinghua University', 'University of Science and Technology of China', 'Peking University', 'Hong Kong University of Science and Technology'}"
Deep High-Resolution Representation Learning for Visual Recognition@@@Cascade R-CNN (HRNetV2p-W48),2,44.6,2019-08-20,{'Huazhong University of Science and Technology'}
CenterMask : Real-Time Anchor-Free Instance Segmentation@@@CenterMask+VoVNetV2-57 (single-scale),23,44.6,2019-11-15,{'Electronics and Telecommunications Research Institute'}
"Sparse R-CNN: End-to-End Object Detection with Learnable Proposals@@@Sparse R-CNN (ResNet-50, learnable proposals, random crop aug, FPN)",1,44.5,2020-11-25,"{'Cornell University', 'Microsoft', 'Google', 'Carnegie Mellon University', 'Nanyang Technological University', 'Tsinghua University', 'Zhejiang University', 'Amirkabir University of Technology', 'Purdue University', 'Facebook', 'Peking University', 'The Chinese University of Hong Kong', 'Samsung', 'University of California', ""Xi'an Jiaotong University"", 'University of Sydney'}"
"Deep High-Resolution Representation Learning for Visual Recognition@@@Mask R-CNN (HRNetV2p-W32, cascade)",2,44.5,2019-08-20,{'Huazhong University of Science and Technology'}
RepPoints: Point Set Representation for Object Detection@@@RPDet (ResNeXt-101-DCN),4,44.5,2019-04-25,"{'Microsoft', 'Tsinghua University', 'University of Science and Technology of China', 'Peking University', 'Hong Kong University of Science and Technology'}"
CenterMask : Real-Time Anchor-Free Instance Segmentation@@@CenterMask+X101-32x8d (single-scale),23,44.4,2019-11-15,{'Electronics and Telecommunications Research Institute'}
End-to-End Object Detection with Transformers@@@Faster RCNN-R101-FPN+,10,44,2020-05-26,set()
"Sparse R-CNN: End-to-End Object Detection with Learnable Proposals@@@Sparse R-CNN (ResNet-101, FPN)",1,43.5,2020-11-25,"{'Cornell University', 'Microsoft', 'Google', 'Carnegie Mellon University', 'Nanyang Technological University', 'Tsinghua University', 'Zhejiang University', 'Amirkabir University of Technology', 'Purdue University', 'Facebook', 'Peking University', 'The Chinese University of Hong Kong', 'Samsung', 'University of California', ""Xi'an Jiaotong University"", 'University of Sydney'}"
"Bottom-up Object Detection by Grouping Extreme and Center Points@@@ExtremeNet (Hourglass-104, multi-scale)",17,43.3,2019-01-23,{'University of Texas at Austin'}
Hybrid Task Cascade for Instance Segmentation@@@HTC (cascade),1,43.2,2019-01-22,"{'Cornell University', 'Microsoft', 'Google', 'Carnegie Mellon University', 'Nanyang Technological University', 'Tsinghua University', 'Zhejiang University', 'Amirkabir University of Technology', 'Purdue University', 'Facebook', 'Peking University', 'The Chinese University of Hong Kong', 'Samsung', 'University of California', ""Xi'an Jiaotong University"", 'University of Sydney'}"
"Micro-Batch Training with Batch-Channel Normalization and Weight Standardization@@@Mask R-CNN-FPN (ResNeXt-101, GN+WS)",13,not available,2019-03-25,set()
Deep High-Resolution Representation Learning for Visual Recognition@@@HTC (HRNetV2p-W18),2,43.1,2019-08-20,{'Huazhong University of Science and Technology'}
"Deformable ConvNets v2: More Deformable, Better Results@@@Mask R-CNN (ResNet-101, DCNv2)",4,43.1,2018-11-27,"{'Microsoft', 'Tsinghua University', 'University of Science and Technology of China', 'Peking University', 'Hong Kong University of Science and Technology'}"
HoughNet: Integrating near and long-range evidence for bottom-up object detection@@@HoughNet (HG-104),12,43.0,2020-07-05,"{'Middle East Technical University', 'Hacettepe University'}"
"Cascade R-CNN: Delving into High Quality Object Detection@@@Cascade R-CNN (ResNet-101-FPN+, cascade)",24,42.7,2017-12-03,"{'University of California, San Diego'}"
CornerNet-Lite: Efficient Keypoint Based Object Detection@@@CornerNet-Saccade (Hourglass-54),14,42.6,2019-04-18,{'University of Michigan'}
"Group Normalization@@@Mask R-CNN (ResNet-101-FPN, GroupNorm, long)",1,42.3,2018-03-22,"{'Cornell University', 'Microsoft', 'Google', 'Carnegie Mellon University', 'Nanyang Technological University', 'Tsinghua University', 'Zhejiang University', 'Amirkabir University of Technology', 'Purdue University', 'Facebook', 'Peking University', 'The Chinese University of Hong Kong', 'Samsung', 'University of California', ""Xi'an Jiaotong University"", 'University of Sydney'}"
"Sparse R-CNN: End-to-End Object Detection with Learnable Proposals@@@Sparse R-CNN (ResNet-50, FPN)",1,42.3,2020-11-25,"{'Cornell University', 'Microsoft', 'Google', 'Carnegie Mellon University', 'Nanyang Technological University', 'Tsinghua University', 'Zhejiang University', 'Amirkabir University of Technology', 'Purdue University', 'Facebook', 'Peking University', 'The Chinese University of Hong Kong', 'Samsung', 'University of California', ""Xi'an Jiaotong University"", 'University of Sydney'}"
Deep High-Resolution Representation Learning for Visual Recognition@@@Mask R-CNN (HRNetV2p-W32),2,42.3,2019-08-20,{'Huazhong University of Science and Technology'}
Scale-Aware Trident Networks for Object Detection@@@TridentNet (ResNet-101),15,42,2019-01-07,"{'Peking University', 'Chinese Academy of Sciences'}"
Deep High-Resolution Representation Learning for Visual Recognition@@@Faster R-CNN (HRNetV2p-W48),2,41.8,2019-08-20,{'Huazhong University of Science and Technology'}
LIP: Local Importance-based Pooling@@@Faster R-CNN (LIP-ResNet-101),18,41.7,2019-08-12,{'Nanjing University'}
"Deformable ConvNets v2: More Deformable, Better Results@@@Faster R-CNN (ResNet-101, DCNv2)",4,41.7,2018-11-27,"{'Microsoft', 'Tsinghua University', 'University of Science and Technology of China', 'Peking University', 'Hong Kong University of Science and Technology'}"
"Feature Selective Anchor-Free Module for Single-Shot Object Detection@@@FSAF (ResNeXt-101, anchor-based branches)",19,41.6,2019-03-02,{'Carnegie Mellon University'}
CornerNet-Lite: Efficient Keypoint Based Object Detection@@@CornerNet-Saccade (Hourglass-104),14,41.4,2019-04-18,{'University of Michigan'}
Grid R-CNN@@@Grid R-CNN (ResNet-101-FPN),6,41.3,2018-11-29,"{'Zhejiang University', 'The Chinese University of Hong Kong', 'SenseTime'}"
Deep High-Resolution Representation Learning for Visual Recognition@@@Cascade R-CNN (HRNetV2p-W18),2,41.3,2019-08-20,{'Huazhong University of Science and Technology'}
CenterNet: Keypoint Triplets for Object Detection@@@CenterNet511 (Hourglass-52),11,41.3,2019-04-17,"{'Chinese Academy of Sciences', 'Huawei', 'University of Oxford'}"
RetinaMask: Learning to predict masks improves state-of-the-art single-shot detection for free@@@RetinaMask (ResNet-101-FPN),20,41.1,2019-01-10,{'University of North Carolina at Chapel Hill'}
Deep High-Resolution Representation Learning for Visual Recognition@@@Faster R-CNN (HRNetV2p-W32),2,40.9,2019-08-20,{'Huazhong University of Science and Technology'}
Non-local Neural Networks@@@Mask R-CNN (ResNet-101 + 1 NL),1,40.8,2017-11-21,"{'Cornell University', 'Microsoft', 'Google', 'Carnegie Mellon University', 'Nanyang Technological University', 'Tsinghua University', 'Zhejiang University', 'Amirkabir University of Technology', 'Purdue University', 'Facebook', 'Peking University', 'The Chinese University of Hong Kong', 'Samsung', 'University of California', ""Xi'an Jiaotong University"", 'University of Sydney'}"
"Group Normalization@@@Mask R-CNN (ResNet-50-FPN, GroupNorm, long)",1,40.8,2018-03-22,"{'Cornell University', 'Microsoft', 'Google', 'Carnegie Mellon University', 'Nanyang Technological University', 'Tsinghua University', 'Zhejiang University', 'Amirkabir University of Technology', 'Purdue University', 'Facebook', 'Peking University', 'The Chinese University of Hong Kong', 'Samsung', 'University of California', ""Xi'an Jiaotong University"", 'University of Sydney'}"
"RepPoints: Point Set Representation for Object Detection@@@RPDet (ResNet-50, multi-scale train)",4,40.8,2019-04-25,"{'Microsoft', 'Tsinghua University', 'University of Science and Technology of China', 'Peking University', 'Hong Kong University of Science and Technology'}"
"A Ranking-based, Balanced Loss Function Unifying Classification and Localisation in Object Detection@@@Faster R-CNN+aLRP Loss (ResNet-50, 500 scale)",12,40.7,2020-09-28,"{'Middle East Technical University', 'Hacettepe University'}"
Reducing Label Noise in Anchor-Free Object Detection@@@PPDet (ResNet-101-FPN),12,40.5,2020-08-03,"{'Middle East Technical University', 'Hacettepe University'}"
"GCNet: Non-local Networks Meet Squeeze-Excitation Networks and Beyond@@@GCnet (ResNet-50-FPN, GRoIE)",4,40.3,2019-04-25,"{'Microsoft', 'Tsinghua University', 'University of Science and Technology of China', 'Peking University', 'Hong Kong University of Science and Technology'}"
