institution,counter
University of Nottingham,4
Imperial College London,4
Rochester Institute of Technology,1
Microsoft,3
University of Science and Technology of China,3
Peking University,3
Tongji University,3
Shanghai Jiao Tong University,3
The Chinese University of Hong Kong,3
Baidu,1
Northwestern University,1
State University of New York System,1
Chinese Academy of Sciences,1
Tsinghua University,2
Johns Hopkins University,2
University of Adelaide,1
Nanjing University,1
Nanjing University of Science and Technology,2
National Tsing Hua University,1
SenseTime,3
Binghamton University,3
Facebook,3
IBM,3
Rutgers University,3
Shenzhen University,1
University of Missouri,1
Norwegian University of Science and Technology,3
University of Electronic Science and Technology of China,1
University of Michigan,1
Southeast University,1
Carnegie Mellon University,1
Max Planck Society,2
Weizmann Institute of Science,1
New York University,1
